"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Surface_Sensitivity"	"Solution_Sensor"
0	9.999995231628420e-01	1.588018349139020e-04	4.136418315502565e+00	-1.444530031095308e-02	-5.592190447714953e-03	7.666353343089731e-06	0.000000000000000e+00	0.000000000000000e+00	
1	9.999990463256840e-01	1.467872498324140e-04	3.524762313623230e+00	-2.308113195615565e-02	-1.424302703764799e-05	-1.989673925250205e-06	0.000000000000000e+00	0.000000000000000e+00	
2	9.999985098838809e-01	1.325350604020060e-04	5.261394518821774e+00	-3.070540374465818e-02	-3.337228590552233e-03	3.838309867291318e-06	0.000000000000000e+00	0.000000000000000e+00	
3	9.999977350234990e-01	1.123900292441250e-04	4.809813337865484e+00	-3.288830917532219e-02	-6.564127284839293e-04	-1.370009225513648e-06	0.000000000000000e+00	0.000000000000000e+00	
4	9.999965429306030e-01	7.934604946058239e-05	6.448770003000315e+00	-4.140887142006233e-02	-1.953089569392665e-03	6.969625332770503e-07	0.000000000000000e+00	0.000000000000000e+00	
5	9.999945163726810e-01	2.192894316976890e-05	5.489190158400016e+00	-3.767743581582343e-02	-8.167287191336259e-04	-3.482047150479170e-07	0.000000000000000e+00	0.000000000000000e+00	
6	9.999911785125730e-01	-7.692110375501220e-05	4.861502389714127e+00	-3.241561706169778e-02	-2.022023322232297e-03	7.970496482907153e-07	0.000000000000000e+00	0.000000000000000e+00	
7	9.999858736991880e-01	-2.409676089882850e-04	3.467123598600010e+00	-2.351070788778559e-02	-1.429927874911408e-03	2.409924853349519e-07	0.000000000000000e+00	0.000000000000000e+00	
8	9.999779462814330e-01	-5.017960211262110e-04	2.225061665452010e+00	-1.468909351248179e-02	-2.275127402440955e-03	1.064862223349111e-06	0.000000000000000e+00	0.000000000000000e+00	
9	9.999666213989260e-01	-8.999322308227420e-04	1.051927901846625e+00	-7.411278861334619e-03	-1.730448813929814e-03	7.029274599447500e-07	0.000000000000000e+00	0.000000000000000e+00	
10	9.999511837959290e-01	-1.485960907302800e-03	5.056065635019498e-01	-3.432676096627729e-03	-2.051619764219912e-03	1.116955010279270e-06	0.000000000000000e+00	0.000000000000000e+00	
11	9.999309778213500e-01	-2.321643754839900e-03	1.842544530543776e-01	-1.563836911347653e-03	-1.504417078642609e-03	6.975313941302381e-07	0.000000000000000e+00	0.000000000000000e+00	
12	9.999055266380310e-01	-3.481036517769100e-03	2.072478653984251e-01	-1.336988999747145e-03	-1.639334188201146e-03	8.063921460490250e-07	0.000000000000000e+00	0.000000000000000e+00	
