TITLE = "Equivalent Area evaluation at each azimuthal angle"
VARIABLES = "Height (m) at r=220.38 m. (cylindrical coordinate system)","Equivalent Area (m<sup>2</sup>), <greek>F</greek>= 0 deg.","Equivalent Area (m<sup>2</sup>), <greek>F</greek>= 6 deg.","Equivalent Area (m<sup>2</sup>), <greek>F</greek>= 12 deg.","Equivalent Area (m<sup>2</sup>), <greek>F</greek>= 18 deg.","Equivalent Area (m<sup>2</sup>), <greek>F</greek>= 24 deg.","Equivalent Area (m<sup>2</sup>), <greek>F</greek>= 30 deg.","Equivalent Area (m<sup>2</sup>), <greek>F</greek>= 36 deg.","Equivalent Area (m<sup>2</sup>), <greek>F</greek>= 42 deg.","Equivalent Area (m<sup>2</sup>), <greek>F</greek>= 48 deg.","Equivalent Area (m<sup>2</sup>), <greek>F</greek>= 54 deg.","Equivalent Area (m<sup>2</sup>), <greek>F</greek>= 60 deg."
0,0,0,0,0,0,0,0,0,0,0,0
17.070147787701,0,0,0,0,0,0,0,0,0,0,0
32.0196532232991,-0.005310997379438,-0.002997670132623,0.002026707278797,0.00319364956381,-0.001918170396521,0.00607532249815,0.001583501093164,-0.003826050131495,0.034192088475204,0.030397331858224,0.007850630613388
45.3139469149439,-0.012642031588417,-0.004570328630303,-0.001629757942986,0.002356883605255,0.004668777150381,0.004840167951532,0.017426500690964,-0.004260308522311,0.081323742003841,0.043817122684999,0.044277421232542
57.2982076581722,-0.030352208460193,-0.011515548149418,-0.011800875747585,-0.016438924079758,-0.033881065353842,-0.017094611051495,0.005900676660547,-0.038265020630101,0.032196836045266,-0.001125507503413,0.105276107623704
68.2347355705981,-0.051265322321346,-0.016578772607177,-0.018295601625807,-0.121669178571645,-0.030776401708125,0.087720209740925,-0.07185653988626,0.011452939477448,0.049620963175278,-0.082288445002158,0.16628551010281
78.3272969596501,-0.089570057615917,0.102779787052804,-0.068833366612734,-0.230522151637191,0.181622284051595,0.38915455659684,-0.128914956106612,0.155928495402078,0.441160530377199,-0.511288025819233,0.251222188177205
87.7375515233471,-0.234349807232786,0.136643697430382,-0.73144429638174,0.034802702284142,0.205303334713339,0.473453777015708,-0.327877735540013,-0.08723322719406,0.661885381304833,-1.54211270272607,-0.262409218050124
96.596336761993,1.14576151064073,0.241097038398787,-1.60374429493961,1.02442562400858,0.239846943869456,0.990600598793204,-0.48550556035078,0.471097315155774,0.795161581270239,-1.13680570283847,-0.754170999509449
105.011737861526,8.68782076290698,2.49390377491583,0.308865665040161,4.74128951850982,2.35202338927881,3.98854733325798,1.7001934785961,4.13246385157401,1.83197110622225,6.04026109628718,3.56732245149323
113.074908005775,24.0901572290579,9.40017118509329,7.07765028464713,13.1834762766711,7.99482328358637,10.7231356720964,8.58531260186429,11.9531733595737,7.43412578336544,22.3040432485705,14.5066829038041
120.864420481037,43.4501474529159,20.5999613280182,17.7425459936773,25.9139481910048,17.7007008591038,22.2758601162428,19.8916985891633,24.4170728207492,20.3390634872312,43.2724602902795,28.9375081758949
128.44961050987,63.2358700843659,34.3639858502435,30.912886139926,42.7774671898284,31.4405492836617,38.0553081428515,33.7926057232795,40.1320260571569,35.6528233076345,66.3995354193614,46.0491847449593
135.893217466146,80.4833124654958,50.912669331549,46.5806783608574,61.5234426162145,45.4757159657263,55.5677363850363,48.5446399372695,56.5894893132087,51.0575394200009,90.4186103730111,64.5876924828874
143.253564863654,92.5802090520184,68.4494436288212,63.2036907282428,80.698779080333,58.0352049251127,74.402181267143,63.7278472863294,72.1725326702332,65.1902843409189,113.523987509032,82.7508586732177
150.586435136347,99.2351385297996,84.9450411323851,78.8273355169458,99.4556880515623,70.4683820418235,92.9498579974744,78.354260774466,87.2063466029637,78.4005454842187,134.588354404372,96.7705811535077
157.946782533855,100.740011542926,96.5601853558153,91.7476051852949,114.82984498775,81.4930373528326,107.822130855456,91.1808790350805,99.5028598695178,89.9301896501145,150.296957608731,103.640157052434
165.390389490131,96.402428315585,101.11563301439,100.13942501714,123.970293051813,88.2036962068135,116.81444765785,99.4557622582015,106.834182475226,96.8030237504454,159.576524834302,104.777895184604
172.975579518964,86.5465094408098,99.825674281733,103.31990018029,127.184637550536,89.4873486639632,118.819305087902,102.895530770072,107.580942836461,98.4712249445117,163.330869893018,100.772672214298
180.765091994225,73.5413382151401,92.9011770298577,101.398198191386,125.276739522449,85.4918714458047,115.386064656077,101.3264568428,103.162966544632,94.7752420285688,163.640770925066,93.1487225278721
188.828262138475,62.0556596159658,81.2341246033821,95.3414425224709,119.30436681076,76.8124167973365,108.476528713983,95.0862562410163,96.1552490732359,87.488092217455,161.199536032025,83.6262685768272
197.243663238008,57.1994792732762,68.603961442215,87.5568320942609,110.855640339438,66.4434931123075,98.4474341046036,86.3090393922595,86.6061287781901,77.7400673370753,156.368822675409,73.9268103903656
206.102448476653,57.5776242778696,59.2861366075362,79.1735608215857,103.733352245313,57.1167151005406,87.7337122377137,77.7299705376814,75.8362437389668,66.839016429529,150.797356638968,65.6839884954958
215.51270304035,60.2391012572086,54.4964233253006,72.2429810173484,100.915501102256,47.5626894850453,79.4225455892291,72.4560979778323,65.3342997259591,55.6327769001733,145.780610122334,58.9632596072711
225.605264429402,63.2925357777785,52.8635797493528,67.1885093452518,100.033118333088,39.8536567706781,74.6884457774072,70.6503258871068,54.3345099658663,44.2508629790124,142.542423283248,53.3596159244751
236.541792341828,66.1594192215346,52.211669099867,63.3865419154662,100.447869821789,35.2270345214417,73.5130863819999,72.0294325334745,44.3202679049989,33.1659260984382,141.019302310732,50.1472600444862
