"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Conservative_5","Pressure","Temperature","Pressure_Coefficient","Mach","Laminar_Viscosity","Skin_Friction_Coefficient","Heat_Flux","Y_Plus","Eddy_Viscosity"
0,5.010000078023450e+02,5.352202629500000e-08,9.999997520560028e-01,1.747877994525543e-01,3.081196958562840e-02,2.515749210083350e+00,8.875474254105660e-08,9.999996520098423e-01,9.999998999538150e-01,-2.209461318664858e-05,1.500004073309640e-01,2.958039663969745e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.228449573556643e-09,
1,3.278693397908290e+02,5.352202629500000e-08,9.999999954101932e-01,1.747934994931845e-01,3.078439355843033e-02,2.515750201468281e+00,8.875589244664425e-08,9.999999912880291e-01,9.999999958778361e-01,-5.531410109490881e-07,1.500010637363381e-01,2.958039882172915e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.228754233422430e-09,
2,2.146849004455700e+02,5.352202629500000e-08,1.000000647705665e+00,1.747971601449614e-01,3.075224534643117e-02,2.515752111485861e+00,8.875945916026470e-08,1.000000899117136e+00,1.000000251411309e+00,5.708680230471813e-05,1.499992834842870e-01,2.958040463447640e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.229714609875966e-09,
3,1.406903998926780e+02,5.352202629500000e-08,1.000001293604963e+00,1.748089049169357e-01,3.071169600873039e-02,2.515755117258038e+00,8.876651889424608e-08,1.000001782751270e+00,1.000000489145675e+00,1.131905568216429e-04,1.500030109240826e-01,2.958041004233786e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.231611788860551e-09,
4,9.231638184086459e+01,5.352202629500000e-08,1.000002123261739e+00,1.748353315737886e-01,3.065588568245896e-02,2.515760827043954e+00,8.877131536556612e-08,1.000002908898451e+00,1.000000785635045e+00,1.846919651431080e-04,1.500167084621305e-01,2.958041678672764e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.232897407103733e-09,
5,6.069179345940150e+01,5.352202629500000e-08,1.000003353530117e+00,1.748654268402226e-01,3.057245368586079e-02,2.515767864943463e+00,8.877309930272255e-08,1.000004648627322e+00,1.000001295092862e+00,2.951509410914402e-04,1.500293786972311e-01,2.958042837561335e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.233394902171766e-09,
6,4.001717037504760e+01,5.352202629500000e-08,1.000004989875548e+00,1.748602870224589e-01,3.044198453802199e-02,2.515769077466495e+00,8.880981510967806e-08,1.000007095545447e+00,1.000002105659392e+00,4.505108220444400e-04,1.500058419782838e-01,2.958044681396002e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.243207782483719e-09,
7,2.650110387248250e+01,5.352202629500000e-08,1.000007069349842e+00,1.747582669243607e-01,3.023501087748974e-02,2.515752290577182e+00,8.894945252075205e-08,1.000010039155050e+00,1.000002969784214e+00,6.374066698371165e-04,1.498906020279743e-01,2.958046647061491e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.280521112098660e-09,
8,1.766495469789320e+01,5.352202629500000e-08,1.000010654529160e+00,1.745075735415491e-01,2.991269936680358e-02,2.515708903055937e+00,8.913476875290066e-08,1.000014095459227e+00,1.000003440893406e+00,8.949497921716810e-04,1.496350010787484e-01,2.958047718715442e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.330306795777474e-09,
9,1.188830864330480e+01,5.352202629500000e-08,1.000016494959857e+00,1.741321269741557e-01,2.943572601531837e-02,2.515643452538761e+00,8.922359179188028e-08,1.000019791982166e+00,1.000003296967926e+00,1.256633788321393e-03,1.492536860220857e-01,2.958047391321497e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.354403303785026e-09,
10,8.111817438747661e+00,5.352202629500000e-08,1.000026578437117e+00,1.737856818882712e-01,2.876824035757039e-02,2.515592415424246e+00,8.906778106235327e-08,1.000031316129649e+00,1.000004737566616e+00,1.988325692015192e-03,1.488702180375529e-01,2.958050668316924e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.312747425733880e-09,
11,5.642930530440520e+00,5.352202629500000e-08,1.000041215914611e+00,1.736669152199200e-01,2.788530574593844e-02,2.515596969389532e+00,8.905259830323670e-08,1.000051485227436e+00,1.000010268889583e+00,3.268903329257792e-03,1.486484826468485e-01,2.958063250647757e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.308752980820973e-09,
12,4.028891933275240e+00,5.352202629500000e-08,1.000068704876760e+00,1.737443049787196e-01,2.674587302343639e-02,2.515679857322758e+00,9.035424827196943e-08,1.000091882482129e+00,1.000023176013065e+00,5.833808389156386e-03,1.485584620353882e-01,2.958092610887617e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.664463143217014e-09,
13,2.973711728635770e+00,5.352202629500000e-08,1.000115700977411e+00,1.736607452277834e-01,2.532652704209938e-02,2.515797942031847e+00,9.370371564111420e-08,1.000159991955430e+00,1.000044285854103e+00,1.015821939239753e-02,1.483022925710654e-01,2.958140629709673e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,7.644220428210751e-09,
14,2.283886053947150e+00,5.352202629500000e-08,1.000189373955638e+00,1.730393665240739e-01,2.365553709792435e-02,2.515915568904991e+00,9.542402037308559e-08,1.000266941247483e+00,1.000077552605402e+00,1.694865063386590e-02,1.475715153253792e-01,2.958216301007758e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,8.189107874977966e-09,
