"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	9.997500181200000e-01	-3.632896519016437e-05	2.207644618457398e-01	7.022509533500401e-01	8.226455595780816e-02	2.207644618457398e-01	0.000000000000000e+00	4.415289236914798e-01	7.066921532716292e-02	
1	9.990000128750000e-01	-1.452537504052920e-04	1.971354110253971e-01	7.466629667805751e-01	9.654943916495973e-02	1.971354110253971e-01	0.000000000000000e+00	3.942708220507944e-01	7.524952233141505e-02	
2	9.977599978450000e-01	-3.251111630156300e-04	1.758493641660499e-01	7.798810808484927e-01	1.060325637364360e-01	1.758493641660499e-01	0.000000000000000e+00	3.516987283321000e-01	7.866545549065625e-02	
3	9.960200190539999e-01	-5.769983605901485e-04	1.583910651788895e-01	8.048095187364953e-01	1.119392101171199e-01	1.583910651788895e-01	0.000000000000000e+00	3.167821303577791e-01	8.121422989809275e-02	
4	9.937800168990000e-01	-9.004365425509819e-04	1.437331330702444e-01	8.245093626878360e-01	1.159598626115957e-01	1.437331330702444e-01	0.000000000000000e+00	2.874662661404888e-01	8.321989314713291e-02	
5	9.910500049590000e-01	-1.293363843462116e-03	1.311539709603755e-01	8.407362125018586e-01	1.187228017155987e-01	1.311539709603755e-01	0.000000000000000e+00	2.623079419207512e-01	8.486441740953328e-02	
6	9.878399968150000e-01	-1.753609743384430e-03	1.201229788969607e-01	8.545391422831915e-01	1.206926027091284e-01	1.201229788969607e-01	0.000000000000000e+00	2.402459577939215e-01	8.625798202380207e-02	
7	9.841300249100000e-01	-2.283176811071472e-03	1.101827629924565e-01	8.666837259989005e-01	1.222151129371943e-01	1.101827629924565e-01	0.000000000000000e+00	2.203655259849131e-01	8.748117547945249e-02	
8	9.799500107769999e-01	-2.876826092032643e-03	1.011651822954337e-01	8.774774351576499e-01	1.233036135315515e-01	1.011651822954337e-01	0.000000000000000e+00	2.023303645908675e-01	8.856462846987245e-02	
9	9.752799868580000e-01	-3.536324145770189e-03	9.284063452296354e-02	8.872813491759154e-01	1.241371165205731e-01	9.284063452296354e-02	0.000000000000000e+00	1.856812690459272e-01	8.954659484537728e-02	
10	9.701499938960000e-01	-4.256268552403566e-03	8.513090918200253e-02	8.962315197751333e-01	1.246932312809369e-01	8.513090918200253e-02	0.000000000000000e+00	1.702618183640051e-01	9.044025430973048e-02	
11	9.645400047300000e-01	-5.038225493362627e-03	7.790641826192582e-02	9.045242727333940e-01	1.250670420439056e-01	7.790641826192582e-02	0.000000000000000e+00	1.558128365238517e-01	9.126638015909881e-02	
12	9.584699869160000e-01	-5.878077433056352e-03	7.111466754107799e-02	9.122390345906716e-01	1.252488588659283e-01	7.111466754107799e-02	0.000000000000000e+00	1.422293350821560e-01	9.203272657912770e-02	
13	9.519400000570000e-01	-6.774428848839826e-03	6.469369164873895e-02	9.194686431644244e-01	1.252755072199034e-01	6.469369164873895e-02	0.000000000000000e+00	1.293873832974780e-01	9.274901422316385e-02	
14	9.449599981310000e-01	-7.724467125531491e-03	5.860195587857207e-02	9.262741469147991e-01	1.251578587541996e-01	5.860195587857207e-02	0.000000000000000e+00	1.172039117571442e-01	9.342146030247983e-02	
15	9.375399947170000e-01	-8.725349486403867e-03	5.280311694565015e-02	9.327061168674202e-01	1.249084596365610e-01	5.280311694565015e-02	0.000000000000000e+00	1.056062338913003e-01	9.405526714118119e-02	
