"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Grid_Velocity_x","Grid_Velocity_y"
0, -1.000000000000000e+01, -1.000000000000000e+01, 1.101558643295774e+01, 1.225124616608458e+03, -1.442844411907804e-06, 2.390197847539418e+06, 4.663668392304067e-06, 0.000000000000000e+00, 0.000000000000000e+00
1, -9.000000000000000e+00, -1.000000000000000e+01, 1.101786619880322e+01, 1.227668638267487e+03, -5.249407268524049e-06, 2.391144230246949e+06, 4.667466651609315e-06, 0.000000000000000e+00, 0.000000000000000e+00
2, -9.495496049379000e+00, -9.495496061501788e+00, 1.101521642289720e+01, 1.225844449905700e+03, -1.547857406213161e+00, 2.390171679612192e+06, 4.662115291561440e-06, 0.000000000000000e+00, 0.000000000000000e+00
3, -8.546652390472810e+00, -9.498386226576242e+00, 1.101725895313385e+01, 1.228279868571509e+03, -2.465244879727536e+00, 2.391038469207857e+06, 4.664576212611243e-06, 0.000000000000000e+00, 0.000000000000000e+00
4, -8.000000000000000e+00, -1.000000000000000e+01, 1.101602290237453e+01, 1.232752351616440e+03, -8.667848265733870e-06, 2.391188692182735e+06, 4.669142675300898e-06, 0.000000000000000e+00, 0.000000000000000e+00
5, -7.597592384376264e+00, -9.501022637263741e+00, 1.101512403162377e+01, 1.233185895125499e+03, -3.506472542938908e+00, 2.390979925076899e+06, 4.665322385259838e-06, 0.000000000000000e+00, 0.000000000000000e+00
6, -7.000000000000000e+00, -1.000000000000000e+01, 1.101168126289850e+01, 1.239787510762279e+03, -1.258156994739714e-05, 2.390739650358734e+06, 4.669677009718759e-06, 0.000000000000000e+00, 0.000000000000000e+00
7, -6.648336513142221e+00, -9.503389132620271e+00, 1.101068780268972e+01, 1.240037532001405e+03, -4.415403896265454e+00, 2.390483851494666e+06, 4.665691357350811e-06, 0.000000000000000e+00, 0.000000000000000e+00
8, -6.000000000000000e+00, -1.000000000000000e+01, 1.100503897092449e+01, 1.248557732837819e+03, -1.735627390368010e-05, 2.389834972915296e+06, 4.669042904877076e-06, 0.000000000000000e+00, 0.000000000000000e+00
9, -5.698906368882115e+00, -9.505471035542568e+00, 1.100406313038579e+01, 1.248630211561378e+03, -5.188053667191438e+00, 2.389564738516599e+06, 4.665555272535665e-06, 0.000000000000000e+00, 0.000000000000000e+00
