"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Surface_Sensitivity"	"Solution_Sensor"
0	0.000000000000000e+00	0.000000000000000e+00	-4.814095524928927e-01	1.000000000000000e+00	0.000000000000000e+00	9.527005063667166e-05	0.000000000000000e+00	
1	1.000000000000000e+00	0.000000000000000e+00	-5.508361397922211e-01	1.000000000000000e+00	0.000000000000000e+00	-4.394037737903443e-04	0.000000000000000e+00	
2	2.467198171342000e-04	1.570537953906415e-02	-4.791614630584159e-01	1.000000000000000e+00	0.000000000000000e+00	-3.694367260547323e-03	0.000000000000000e+00	
3	9.866357858642205e-04	3.139525976465669e-02	-4.732214572481159e-01	1.000000000000000e+00	0.000000000000000e+00	-1.486624602476086e-02	0.000000000000000e+00	
4	2.219017698460002e-03	4.705415665925716e-02	-4.605209688760944e-01	1.000000000000000e+00	0.000000000000000e+00	-3.191658461847762e-02	0.000000000000000e+00	
5	3.942649342761062e-03	6.266661678215213e-02	-4.534651402039178e-01	1.000000000000000e+00	0.000000000000000e+00	-5.391222054839478e-02	0.000000000000000e+00	
6	6.155829702431115e-03	7.821723252011543e-02	-4.411975917359806e-01	1.000000000000000e+00	0.000000000000000e+00	-8.043281085631650e-02	0.000000000000000e+00	
7	8.856374635655639e-03	9.369065729286231e-02	-4.326020284838911e-01	1.000000000000000e+00	0.000000000000000e+00	-1.088268008289189e-01	0.000000000000000e+00	
8	1.204161903062628e-02	1.090716206982713e-01	-4.256692342908487e-01	1.000000000000000e+00	0.000000000000000e+00	-1.396953958020995e-01	0.000000000000000e+00	
9	1.570841943568446e-02	1.243449435824274e-01	-4.174461147356112e-01	1.000000000000000e+00	0.000000000000000e+00	-1.721005436387152e-01	0.000000000000000e+00	
10	1.985315716152847e-02	1.394955530196146e-01	-4.088007414176406e-01	1.000000000000000e+00	0.000000000000000e+00	-2.047133672738105e-01	0.000000000000000e+00	
11	2.447174185242323e-02	1.545084971874737e-01	-3.980615367020204e-01	1.000000000000000e+00	0.000000000000000e+00	-2.358153282359678e-01	0.000000000000000e+00	
12	2.955961552288727e-02	1.693689601226457e-01	-3.858766663478727e-01	1.000000000000000e+00	0.000000000000000e+00	-2.631217959013274e-01	0.000000000000000e+00	
13	3.511175705587433e-02	1.840622763423390e-01	-3.718547621922135e-01	1.000000000000000e+00	0.000000000000000e+00	-2.849218349377075e-01	0.000000000000000e+00	
14	4.112268715800943e-02	1.985739453173903e-01	-3.582186690447856e-01	1.000000000000000e+00	0.000000000000000e+00	-2.995349891541551e-01	0.000000000000000e+00	
15	4.758647376699027e-02	2.128896457825364e-01	-3.427951382152560e-01	1.000000000000000e+00	0.000000000000000e+00	-3.062008470993730e-01	0.000000000000000e+00	
