"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
0, 3.535533845424652e-01, 3.535533845424652e-01, 9.414075880360603e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.100750717077239e+06, 0.000000000000000e+00
1, 3.535559301547374e-01, 3.535559301547374e-01, 9.414092517346687e+00, -7.404040838980078e+00, 7.405073159554068e+00, 2.100756609456633e+06, 1.144615929801686e-06
2, 3.464699141544285e-01, 3.603494131100744e-01, 9.420420933349433e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.103016097254238e+06, 0.000000000000000e+00
3, 3.464723956631687e-01, 3.603519569289345e-01, 9.420436628168451e+00, -7.483708625048397e+00, 7.180138523130735e+00, 2.103021767624334e+06, 1.120121506102050e-06
4, 3.535591401037415e-01, 3.535591401037415e-01, 9.414144795099833e+00, -1.486276823165019e+01, 1.486510474067920e+01, 2.100774357837107e+06, 2.838909772917348e-06
5, 3.464755247793331e-01, 3.603551646164939e-01, 9.420486678335591e+00, -1.501653239628509e+01, 1.440718141503468e+01, 2.103038966313080e+06, 2.742895447933774e-06
6, 3.535631444200695e-01, 3.535631444200695e-01, 9.414233192486845e+00, -2.235129275093547e+01, 2.235530456033473e+01, 2.100804101111333e+06, 5.858954321583163e-06
7, 3.464794282590874e-01, 3.603591661117368e-01, 9.420571553673213e+00, -2.257421892185650e+01, 2.165772862616588e+01, 2.103067822498290e+06, 5.645144627861953e-06
8, 3.535680957573178e-01, 3.535680957573178e-01, 9.414356250597141e+00, -2.977776127589150e+01, 2.978390200120012e+01, 2.100845398856053e+06, 1.052176722540089e-05
9, 3.464842549119095e-01, 3.603641139607131e-01, 9.420689855027058e+00, -3.007044424894891e+01, 2.884883916330728e+01, 2.103107902815556e+06, 1.013769796750417e-05
10, 3.535741730820878e-01, 3.535741730820878e-01, 9.414509244641206e+00, -3.699268905552397e+01, 3.700153892171752e+01, 2.100896818815986e+06, 1.731325564569615e-05
11, 3.464901791976692e-01, 3.603701870039404e-01, 9.420837010720618e+00, -3.735579217148053e+01, 3.583705682957576e+01, 2.103157807039393e+06, 1.669040430533918e-05
12, 3.535815859417793e-01, 3.535815859417793e-01, 9.414687587642717e+00, -4.394506313998772e+01, 4.395744765898141e+01, 2.100956958525543e+06, 2.661100499914192e-05
13, 3.464974053869500e-01, 3.603775946411901e-01, 9.421008300549390e+00, -4.436968797691357e+01, 4.256424584718899e+01, 2.103216080439954e+06, 2.569216367915400e-05
14, 3.535905793981404e-01, 3.535905793981404e-01, 9.414889953253754e+00, -5.070406088504160e+01, 5.072112973360301e+01, 2.101025414076524e+06, 3.769335864808032e-05
