"PointID","x","y","Displacement_1","Displacement_2","Sxx","Syy","Sxy","Von_Mises_Stress"
0,-6.830000000000000e-02,1.000000000000000e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
1,0.000000000000000e+00,1.000000000000000e-04,8.346679638103407e-07,1.444689821648037e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
2,6.830000000000000e-02,1.000000000000000e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
3,6.830000000000000e-02,-1.000000000000000e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
4,0.000000000000000e+00,-1.000000000000000e-04,-3.148481847532284e-07,1.445217872606713e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
5,-6.830000000000000e-02,-1.000000000000000e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
6,-6.743544303797798e-02,1.000000000000000e-04,-3.807460831358242e-06,1.994356881798635e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
7,-6.657088607595596e-02,1.000000000000000e-04,-5.608894585581674e-06,6.058074877129855e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
8,-6.570632911393393e-02,1.000000000000000e-04,-6.779073571250706e-06,1.071051373217997e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
9,-6.484177215191191e-02,1.000000000000000e-04,-7.710324666357693e-06,1.547918681537420e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
10,-6.397721518988989e-02,1.000000000000000e-04,-8.512472799775494e-06,2.019905307067597e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
11,-6.311265822786787e-02,1.000000000000000e-04,-9.230777057804087e-06,2.481845618683291e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
12,-6.224810126584584e-02,1.000000000000000e-04,-9.881718236206186e-06,2.932219874992560e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
13,-6.138354430382382e-02,1.000000000000000e-04,-1.047407789561577e-05,3.370814953827408e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
14,-6.051898734180180e-02,1.000000000000000e-04,-1.101265090833516e-05,3.797813216088325e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
15,-5.965443037977977e-02,1.000000000000000e-04,-1.150104565497192e-05,4.213510256304767e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
16,-5.878987341775775e-02,1.000000000000000e-04,-1.194239861980037e-05,4.618222174095704e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
17,-5.792531645573573e-02,1.000000000000000e-04,-1.233940404857537e-05,5.012271087387269e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
18,-5.706075949371370e-02,1.000000000000000e-04,-1.269431056783989e-05,5.395941386278826e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
19,-5.619620253169168e-02,1.000000000000000e-04,-1.300931169220244e-05,5.769497498292915e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
20,-5.533164556966966e-02,1.000000000000000e-04,-1.328634551983713e-05,6.133178007719180e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
21,-5.446708860764764e-02,1.000000000000000e-04,-1.352728555815331e-05,6.487203161744799e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
22,-5.360253164562562e-02,1.000000000000000e-04,-1.373390075789845e-05,6.831780053451473e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
23,-5.273797468360359e-02,1.000000000000000e-04,-1.390787470148749e-05,7.167103153302057e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
24,-5.187341772158157e-02,1.000000000000000e-04,-1.405082275642957e-05,7.493358051901427e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
25,-5.100886075955900e-02,1.000000000000000e-04,-1.416421578382787e-05,7.810721990839266e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
26,-5.014430379753478e-02,1.000000000000000e-04,-1.424938240029130e-05,8.119356389392240e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
27,-4.927974683551056e-02,1.000000000000000e-04,-1.430765809348073e-05,8.419410281807790e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
28,-4.841518987348634e-02,1.000000000000000e-04,-1.434032492461387e-05,8.711028847621612e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
