"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Surface_Sensitivity"	"Solution_Sensor"
0	0.000000000000000e+00	0.000000000000000e+00	4.186467736721509e+02	8.211627897104293e+01	0.000000000000000e+00	-7.573350272049980e-03	-4.780278510049355e-09	0.000000000000000e+00	
1	1.000000000000000e+00	0.000000000000000e+00	-3.249329719987433e+01	8.211627897104293e+01	0.000000000000000e+00	-2.736593302654630e-03	-3.828678259550465e-10	0.000000000000000e+00	
2	2.467198171342000e-04	1.570537953906415e-02	4.204264264996380e+02	8.211627897104293e+01	0.000000000000000e+00	-7.574070310079879e-03	-1.007491262167874e-04	0.000000000000000e+00	
3	9.866357858642205e-04	3.139525976465669e-02	4.257275865831448e+02	8.211627897104293e+01	0.000000000000000e+00	-7.576157019230202e-03	-3.982445960824941e-04	0.000000000000000e+00	
4	2.219017698460002e-03	4.705415665925716e-02	4.344420886848478e+02	8.211627897104293e+01	0.000000000000000e+00	-7.579396697086736e-03	-8.787281540491761e-04	0.000000000000000e+00	
5	3.942649342761062e-03	6.266661678215213e-02	4.464051723963884e+02	8.211627897104293e+01	0.000000000000000e+00	-7.583454271048280e-03	-1.520677691596863e-03	0.000000000000000e+00	
6	6.155829702431115e-03	7.821723252011543e-02	4.614166010137629e+02	8.211627897104293e+01	0.000000000000000e+00	-7.587902024079955e-03	-2.296666648170359e-03	0.000000000000000e+00	
7	8.856374635655639e-03	9.369065729286231e-02	4.792645452744986e+02	8.211627897104293e+01	0.000000000000000e+00	-7.592254660043479e-03	-3.175490239925311e-03	0.000000000000000e+00	
8	1.204161903062628e-02	1.090716206982713e-01	4.997498249339503e+02	8.211627897104293e+01	0.000000000000000e+00	-7.596006342621410e-03	-4.124233372621099e-03	0.000000000000000e+00	
9	1.570841943568446e-02	1.243449435824274e-01	5.227059770993470e+02	8.211627897104293e+01	0.000000000000000e+00	-7.598665643861954e-03	-5.110007579261003e-03	0.000000000000000e+00	
10	1.985315716152847e-02	1.394955530196146e-01	5.480139917943490e+02	8.211627897104293e+01	0.000000000000000e+00	-7.599784647447829e-03	-6.101190526077434e-03	0.000000000000000e+00	
11	2.447174185242323e-02	1.545084971874737e-01	5.756093340309436e+02	8.211627897104293e+01	0.000000000000000e+00	-7.598979776263982e-03	-7.068121912993042e-03	0.000000000000000e+00	
12	2.955961552288727e-02	1.693689601226457e-01	6.054824073312161e+02	8.211627897104293e+01	0.000000000000000e+00	-7.595942992575877e-03	-7.983317229579118e-03	0.000000000000000e+00	
13	3.511175705587433e-02	1.840622763423390e-01	6.376723115194299e+02	8.211627897104293e+01	0.000000000000000e+00	-7.590443544025180e-03	-8.821329380992258e-03	0.000000000000000e+00	
14	4.112268715800943e-02	1.985739453173903e-01	6.722565036744686e+02	8.211627897104293e+01	0.000000000000000e+00	-7.582321318484549e-03	-9.558417488967162e-03	0.000000000000000e+00	
15	4.758647376699027e-02	2.128896457825364e-01	7.093371621816699e+02	8.211627897104293e+01	0.000000000000000e+00	-7.571473950893629e-03	-1.017216958503043e-02	0.000000000000000e+00	
16	5.449673790581611e-02	2.269952498697734e-01	7.490268908890406e+02	8.211627897104293e+01	0.000000000000000e+00	-7.557839947709665e-03	-1.064119331608928e-02	0.000000000000000e+00	
17	6.184665997806821e-02	2.408768370508577e-01	7.914342623459374e+02	8.211627897104293e+01	0.000000000000000e+00	-7.541380416748579e-03	-1.094494180893243e-02	0.000000000000000e+00	
18	6.962898649802818e-02	2.545207078751857e-01	8.366510400695518e+02	8.211627897104293e+01	0.000000000000000e+00	-7.522061432194048e-03	-1.106370253945089e-02	0.000000000000000e+00	
19	7.783603724899246e-02	2.679133974894983e-01	8.847408492803673e+02	8.211627897104293e+01	0.000000000000000e+00	-7.499838840744031e-03	-1.097874299342767e-02	0.000000000000000e+00	
20	8.645971286271908e-02	2.810416889260653e-01	9.357303130885078e+02	8.211627897104293e+01	0.000000000000000e+00	-7.474646502743908e-03	-1.067259027903606e-02	0.000000000000000e+00	
21	9.549150281252627e-02	2.938926261462366e-01	9.896019072430094e+02	8.211627897104293e+01	0.000000000000000e+00	-7.446388630070015e-03	-1.012941133402779e-02	0.000000000000000e+00	
22	1.049224938121548e-01	3.064535268264882e-01	1.046289074014821e+03	8.211627897104293e+01	0.000000000000000e+00	-7.414936177071372e-03	-9.335462274997425e-03	0.000000000000000e+00	
23	1.147433786121054e-01	3.187119948743449e-01	1.105672680369151e+03	8.211627897104293e+01	0.000000000000000e+00	-7.380127068798793e-03	-8.279576670833334e-03	0.000000000000000e+00	
24	1.249444651847702e-01	3.306559326618259e-01	1.167579213358840e+03	8.211627897104293e+01	0.000000000000000e+00	-7.341769637800844e-03	-6.953669338887900e-03	0.000000000000000e+00	
25	1.355156862892942e-01	3.422735529643444e-01	1.231779866315595e+03	8.211627897104293e+01	0.000000000000000e+00	-7.299648684994273e-03	-5.353233891605325e-03	0.000000000000000e+00	
26	1.464466094067263e-01	3.535533905932738e-01	1.297990916154382e+03	8.211627897104293e+01	0.000000000000000e+00	-7.253533382372662e-03	-3.477816843187601e-03	0.000000000000000e+00	
27	1.577264470356556e-01	3.644843137107058e-01	1.365874697756307e+03	8.211627897104293e+01	0.000000000000000e+00	-7.203186454211035e-03	-1.331449900313467e-03	0.000000000000000e+00	
28	1.693440673381741e-01	3.750555348152298e-01	1.435041629465549e+03	8.211627897104293e+01	0.000000000000000e+00	-7.148373974890175e-03	1.076975979420642e-03	0.000000000000000e+00	
29	1.812880051256552e-01	3.852566213878946e-01	1.505052719552078e+03	8.211627897104293e+01	0.000000000000000e+00	-7.088875363351798e-03	3.733413719169355e-03	0.000000000000000e+00	
30	1.935464731735118e-01	3.950775061878452e-01	1.575423047965063e+03	8.211627897104293e+01	0.000000000000000e+00	-7.024493123459975e-03	6.618457852964965e-03	0.000000000000000e+00	
31	2.061073738537634e-01	4.045084971874737e-01	1.645625756128877e+03	8.211627897104293e+01	0.000000000000000e+00	-6.955062078399091e-03	9.707256167556058e-03	0.000000000000000e+00	
32	2.189583110739347e-01	4.135402871372809e-01	1.715097009830435e+03	8.211627897104293e+01	0.000000000000000e+00	-6.880457802233956e-03	1.296955150416209e-02	0.000000000000000e+00	
33	2.320866025105017e-01	4.221639627510075e-01	1.783241510599075e+03	8.211627897104293e+01	0.000000000000000e+00	-6.800604120524742e-03	1.636987046675025e-02	0.000000000000000e+00	
34	2.454792921248143e-01	4.303710135019718e-01	1.849439014267083e+03	8.211627897104293e+01	0.000000000000000e+00	-6.715479482088165e-03	1.986786977412250e-02	0.000000000000000e+00	
35	2.591231629491424e-01	4.381533400219318e-01	1.913051416615066e+03	8.211627897104293e+01	0.000000000000000e+00	-6.625122140358057e-03	2.341884955900285e-02	0.000000000000000e+00	
36	2.730047501302266e-01	4.455032620941839e-01	1.973430797956517e+03	8.211627897104293e+01	0.000000000000000e+00	-6.529634002895164e-03	2.697443446136094e-02	0.000000000000000e+00	
37	2.871103542174637e-01	4.524135262330098e-01	2.029927960737852e+03	8.211627897104293e+01	0.000000000000000e+00	-6.429183127072514e-03	3.048342018619793e-02	0.000000000000000e+00	
38	3.014260546826097e-01	4.588773128419906e-01	2.081901776515789e+03	8.211627897104293e+01	0.000000000000000e+00	-6.324004760134029e-03	3.389277204744054e-02	0.000000000000000e+00	
39	3.159377236576610e-01	4.648882429441257e-01	2.128728829009870e+03	8.211627897104293e+01	0.000000000000000e+00	-6.214400938220191e-03	3.714875860289103e-02	0.000000000000000e+00	
