"PointID","x","y","Displacement_1","Displacement_2","Sxx","Syy","Sxy","Von_Mises_Stress"
0,5.000000000000000e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-2.207142607376028e-11,-4.407909968604453e-12,5.370219528890491e-12,2.067261068058426e-11,
1,-5.000000000000000e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-7.044801322602532e-11,-5.211852919096811e-11,5.876596882715526e-12,2.177401085420839e-11,
2,-5.000000000000000e-04,1.600000000000000e-02,8.388109708532140e-19,1.790889081828944e-18,3.556177201257365e-10,7.641303598747253e-10,-9.748884068011311e-12,4.089776764041935e-10,
3,5.000000000000000e-04,1.600000000000000e-02,-4.957068195441083e-19,-2.537962208342380e-19,1.032215962191173e-10,1.658521692501868e-10,-3.903923332084787e-11,1.000941338506834e-10,
4,4.000000000004066e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.887648825229052e-11,-1.396511780741778e-11,1.697577630477194e-12,5.970648113291865e-12,
5,3.000000000008132e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.899545196495859e-11,-1.662102046933877e-11,-6.287917696925997e-13,2.686901800573291e-12,
6,2.000000000010842e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.568321211941652e-12,1.399485873558479e-11,2.043439795090262e-12,8.476794463399098e-12,
7,1.000000000012198e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.901722383544107e-11,1.645054395802115e-11,4.873269671528338e-13,2.745504668509941e-12,
8,1.355361135824129e-15,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-5.880581411557774e-12,-5.991576066541336e-12,-9.418533885933135e-15,1.125817416687424e-13,
9,-9.999999999878032e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,3.032430367836658e-13,-2.374431495619824e-12,5.510059993718865e-13,2.895577895145888e-12,
10,-1.999999999989157e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.327737800703389e-11,-7.840775215410369e-12,9.956965853989919e-13,5.789844270322783e-12,
11,-2.999999999991868e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.247067449398195e-11,-1.095445931006361e-11,-7.435232041755927e-15,1.516288104103782e-12,
12,-3.999999999995934e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,3.373383390471873e-12,3.646885499088525e-12,-1.255591274964074e-12,2.526032700200335e-12,
13,-5.000000000000000e-04,1.333333333330364e-04,-2.872415960368598e-20,8.134385900576064e-23,7.392525990334140e-13,-2.959145698704645e-12,-4.419863555131226e-13,3.802572513779436e-12,
14,-5.000000000000000e-04,2.666666666660728e-04,-1.543573393897277e-20,1.369220462490084e-20,9.216254816178121e-12,2.125888880559482e-11,-9.068122327942421e-14,1.204399957406493e-11,
15,-5.000000000000000e-04,3.999999999991092e-04,-1.171836019276236e-20,-2.279772047997668e-20,-6.640282815053859e-11,-6.035177022766323e-11,-2.466571157677623e-12,7.807124636480611e-12,
16,-5.000000000000000e-04,5.333333333321455e-04,8.966051493607308e-21,3.643755767792408e-20,1.407355831505962e-13,-5.658592101590629e-12,-3.181135008671746e-13,5.834122589793764e-12,
17,-5.000000000000000e-04,6.666666666651819e-04,-3.650454762107507e-20,-1.658747729628060e-20,-1.922483818001157e-13,2.412141481471325e-12,5.252323467507896e-13,2.808259715945874e-12,
18,-5.000000000000000e-04,7.999999999982184e-04,6.287820300307081e-20,9.935421574885207e-20,-3.676996272509800e-11,-3.405457820684297e-11,-5.891467346799027e-12,1.209176840150256e-11,
19,-5.000000000000000e-04,9.333333333312547e-04,7.286643646522549e-20,8.122394878101070e-21,9.705912479648496e-12,1.614146716612409e-11,1.664279233982126e-11,3.390201338546532e-11,
20,-5.000000000000000e-04,1.066666666664291e-03,-6.044954880914377e-20,2.255183642255705e-21,1.488068067288226e-11,-2.235831215040267e-12,-2.662804068319991e-12,1.792587741881661e-11,
21,-5.000000000000000e-04,1.199999999997328e-03,1.118803192368656e-19,5.065438593258079e-23,-4.864212020319719e-11,-5.018010725759803e-11,5.310737672556456e-12,1.073224779281330e-11,
22,-5.000000000000000e-04,1.333333333330364e-03,9.467637170621591e-20,4.553839409959630e-20,3.153357737295904e-11,8.234407787717778e-11,-1.536742145879581e-11,5.938297340701494e-11,
23,-5.000000000000000e-04,1.466666666663400e-03,2.829390486738200e-20,-1.374555381783398e-19,1.756262581042777e-11,1.716432623402955e-11,3.471762925918755e-11,6.943640088646689e-11,
24,-5.000000000000000e-04,1.599999999996437e-03,-7.100288469433421e-20,-1.998138151977579e-19,-4.221495341917668e-12,-2.236456475028823e-11,1.319612428021738e-11,3.202689107036026e-11,
25,-5.000000000000000e-04,1.733333333329473e-03,-5.263387406658008e-20,1.330927314905686e-19,-1.273074363505488e-10,-1.621389771422768e-10,-9.164742017528613e-12,3.935995704922995e-11,
26,-5.000000000000000e-04,1.866666666662509e-03,4.687516518392809e-22,-7.263065486754284e-20,-4.360595229054278e-11,-6.617500508545783e-11,2.562695348577657e-12,2.314371996586005e-11,
27,-5.000000000000000e-04,1.999999999995546e-03,2.656279304953005e-20,-1.785514013405682e-19,6.224241889362724e-13,-4.169982543268406e-12,-1.382146534671044e-11,2.805528077934975e-11,
