"PointID","x","y","Displacement_1","Displacement_2","Sxx","Syy","Sxy","Von_Mises_Stress"
0,0.000000000000000e+00,-5.000000000000000e-04,0.000000000000000e+00,0.000000000000000e+00,-1.248124472517334e+03,-8.327720608005974e+02,-1.995744402172697e+02,5.760533435985384e+02,
1,1.600000000000000e-02,-5.000000000000000e-04,-6.876519977085555e-04,-3.793611549258380e-03,2.573572259915623e-02,2.652700276122531e-02,-1.280285638436095e-03,2.680046559078214e-03,
2,1.600000000000000e-02,5.000000000000000e-04,-3.713264764307828e-04,-3.844981923382974e-03,-1.273128217214745e-01,-9.249305206505725e-01,-3.008358608098610e-01,9.991010230411084e-01,
3,0.000000000000000e+00,5.000000000000000e-04,0.000000000000000e+00,0.000000000000000e+00,1.176171554321788e+03,7.840752693426064e+02,-2.094337877026591e+02,5.737504182311377e+02,
4,1.333333333330364e-04,-5.000000000000000e-04,-3.591552118495481e-06,-3.548295289260304e-06,-6.886138659708886e+02,1.878233844298247e-01,-5.015778315080286e+01,6.960682294869897e+02,
5,2.666666666660728e-04,-5.000000000000000e-04,-7.285243957106512e-06,-5.473808023992096e-06,-7.500966196004445e+02,-7.970638392174014e+01,1.430163204855500e+01,6.710001600673116e+02,
6,3.999999999991092e-04,-5.000000000000000e-04,-1.097817885092193e-05,-8.136702626962512e-06,-7.488634739426698e+02,-7.339871501769429e+01,1.582336662574786e+01,6.762057055919202e+02,
7,5.333333333321455e-04,-5.000000000000000e-04,-1.473801552564511e-05,-1.167284186171867e-05,-7.590790273959396e+02,-8.511082448652370e+01,1.941792571039019e+01,6.750861884889399e+02,
8,6.666666666651819e-04,-5.000000000000000e-04,-1.850866138597186e-05,-1.617036508170828e-05,-7.544306693093931e+02,-8.782355620282800e+01,2.286828969296084e+01,6.681742870974558e+02,
9,7.999999999982184e-04,-5.000000000000000e-04,-2.227162958847805e-05,-2.162993197834059e-05,-7.445029329301633e+02,-8.833949215100752e+01,2.680271377353274e+01,6.583494534649849e+02,
10,9.333333333312547e-04,-5.000000000000000e-04,-2.602105902554262e-05,-2.803886280149283e-05,-7.320754932982272e+02,-8.762708109167792e+01,3.078072711827875e+01,6.473820886024437e+02,
11,1.066666666664291e-03,-5.000000000000000e-04,-2.975899109889559e-05,-3.538010989341413e-05,-7.188829323421046e+02,-8.657474008270150e+01,3.464598215193192e+01,6.360935672646299e+02,
12,1.199999999997328e-03,-5.000000000000000e-04,-3.349023309497468e-05,-4.363671960155056e-05,-7.055352743004777e+02,-8.545051476843173e+01,3.831658309266058e+01,6.248021696213149e+02,
13,1.333333333330364e-03,-5.000000000000000e-04,-3.722039108890556e-05,-5.279230497562556e-05,-6.922471578318068e+02,-8.435363750833736e+01,4.176792168970025e+01,6.136063633799507e+02,
14,1.466666666663400e-03,-5.000000000000000e-04,-4.095503852299306e-05,-6.283096817794090e-05,-6.790696720969979e+02,-8.330328691733423e+01,4.499632499938369e+01,6.025249063431685e+02,
15,1.599999999996437e-03,-5.000000000000000e-04,-4.469946451151264e-05,-7.373711182518525e-05,-6.660073715427040e+02,-8.229695998632292e+01,4.800620392143297e+01,5.915540778484285e+02,
16,1.733333333329473e-03,-5.000000000000000e-04,-4.845862220553043e-05,-8.549532125796838e-05,-6.530556742919516e+02,-8.132722088448199e+01,5.080418843245247e+01,5.806872537647247e+02,
17,1.866666666662509e-03,-5.000000000000000e-04,-5.223713982824627e-05,-9.809030652419089e-05,-6.402117143372718e+02,-8.038719008148271e+01,5.339729031086045e+01,5.699198017338842e+02,
18,1.999999999995546e-03,-5.000000000000000e-04,-5.603934255916138e-05,-1.115068806012128e-04,-6.274755560344884e+02,-7.947131047134903e+01,5.579239278991386e+01,5.592493339541154e+02,
19,2.133333333328582e-03,-5.000000000000000e-04,-5.986927178053105e-05,-1.257299546044370e-04,-6.148492612087397e+02,-7.857510102320958e+01,5.799618893777948e+01,5.486749553314073e+02,
