"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Pressure_Coefficient"	"Mach"	"Sharp_Edge_Dist"
0	1.119047619000000e+01	0.000000000000000e+00	3.017472500706093e-01	8.089436513944286e-01	-4.329756725893693e-04	1.616050479536453e+00	2.126863178878720e-01	-4.498935326355019e+02	2.698751387364231e+00	0.000000000000000e+00	
1	-1.028571429000000e+01	0.000000000000000e+00	2.818388495223566e+00	6.453486033162328e-01	2.201527890231549e-04	1.222485869110336e+01	4.860389362877843e+00	2.205936778787339e+03	1.473650250844834e-01	0.000000000000000e+00	
2	1.119047619000000e+01	2.865099890000000e+00	4.239757199718069e-01	1.077687734792496e+00	3.361709238441464e-02	2.227084796189724e+00	3.424341361959662e-01	-3.757519221737337e+02	2.391558977607628e+00	0.000000000000000e+00	
3	-1.028571429000000e+01	4.285714290000000e+00	2.828115791642215e+00	5.334129914971020e-01	1.612182951902874e-03	1.226002980651641e+01	4.883890255772934e+00	2.219365860441677e+03	1.213025730104953e-01	0.000000000000000e+00	
4	1.109058693000000e+01	0.000000000000000e+00	3.003876243142669e-01	8.058210876850994e-01	9.295371381675783e-05	1.609140223363875e+00	2.113162847475820e-01	-4.506764087156675e+02	2.703131117623582e+00	9.988925999999942e-02	
5	1.099069767000000e+01	0.000000000000000e+00	2.989930498189907e-01	8.025887894766690e-01	2.808722576952998e-05	1.602062231836864e+00	2.099461374108461e-01	-4.514593500509452e+02	2.707351101210511e+00	1.997785200000006e-01	
6	1.089080842000000e+01	0.000000000000000e+00	2.976002581355914e-01	7.993610658409530e-01	6.114730027365043e-05	1.594990002196946e+00	2.085755955844737e-01	-4.522425168088723e+02	2.711630916731008e+00	2.996677699999992e-01	
7	1.079091916000000e+01	0.000000000000000e+00	2.961952411718656e-01	7.961005252509884e-01	8.622076959950569e-05	1.587853052300738e+00	2.071964293487279e-01	-4.530306118007271e+02	2.715962213454565e+00	3.995570300000004e-01	
8	1.069102990000000e+01	0.000000000000000e+00	2.947764116068676e-01	7.928043023595590e-01	1.173154803924632e-04	1.580643450566279e+00	2.058062458385892e-01	-4.538250023779491e+02	2.720359784622613e+00	4.994462899999998e-01	
9	1.059114064000000e+01	0.000000000000000e+00	2.933503513777359e-01	7.894875327834832e-01	1.351164428442637e-04	1.573394096238413e+00	2.044114403744585e-01	-4.546220340717381e+02	2.724804570761040e+00	5.993355499999993e-01	
10	1.049125138000000e+01	0.000000000000000e+00	2.918757973329070e-01	7.860547839302447e-01	1.261552140182332e-04	1.565895796499860e+00	2.029712855531308e-01	-4.554449796839253e+02	2.729433135207558e+00	6.992248100000005e-01	
11	1.039136213000000e+01	0.000000000000000e+00	2.903367138496664e-01	7.824659337764009e-01	1.089100425324068e-04	1.558065622020252e+00	2.014725261982959e-01	-4.563014136009739e+02	2.734277134329357e+00	7.991140600000008e-01	
12	1.029147287000000e+01	0.000000000000000e+00	2.886848542288779e-01	7.786104043224932e-01	9.421639809141017e-05	1.549661542755795e+00	1.998674044218594e-01	-4.572186260446519e+02	2.739511968641675e+00	8.990033200000003e-01	
13	1.019158361000000e+01	0.000000000000000e+00	2.871792650107104e-01	7.750886971530827e-01	1.362815504808813e-04	1.541994721758025e+00	1.984093904913224e-01	-4.580517768621016e+02	2.744288346010253e+00	9.988925799999997e-01	
14	1.009169435000000e+01	0.000000000000000e+00	2.854966124005047e-01	7.711502062630734e-01	7.673169638442374e-05	1.533425949331026e+00	1.967821466831815e-01	-4.589816304667535e+02	2.749676719726287e+00	1.098781840000001e+00	
15	9.991805090000000e+00	0.000000000000000e+00	2.838122358329510e-01	7.672025361194497e-01	-1.521620438372019e-05	1.524844401429022e+00	1.951566783309601e-01	-4.599104695251658e+02	2.755108748069686e+00	1.198671100000000e+00	
16	9.891915839999999e+00	0.000000000000000e+00	2.820722552066861e-01	7.631170936856060e-01	-1.511881806087565e-04	1.515974188478930e+00	1.934829036097661e-01	-4.608669122229909e+02	2.760741151933128e+00	1.298560350000001e+00	
17	9.792026580000000e+00	0.000000000000000e+00	2.802749422523673e-01	7.588924344120684e-01	-2.458103286686223e-04	1.506807514239370e+00	1.917567003939911e-01	-4.618533140605766e+02	2.766615579841414e+00	1.398449610000000e+00	
18	9.692137320000000e+00	0.000000000000000e+00	2.787993666188290e-01	7.554171809924374e-01	-3.037146279120028e-04	1.499269271622604e+00	1.903414920024102e-01	-4.626620045700515e+02	2.771470430284763e+00	1.498338870000000e+00	
19	9.592248059999999e+00	0.000000000000000e+00	2.768706879714108e-01	7.508683522811672e-01	-5.278082619239829e-04	1.489423080419435e+00	1.885007234138147e-01	-4.637138723349631e+02	2.777825043063201e+00	1.598228130000001e+00	
20	9.492358800000000e+00	0.000000000000000e+00	2.757008185768429e-01	7.481111382523159e-01	-6.013700994132187e-04	1.483454691180943e+00	1.873833453746673e-01	-4.643523740716188e+02	2.781747595905181e+00	1.698117390000000e+00	
21	9.392469550000000e+00	0.000000000000000e+00	2.742290662555170e-01	7.446318373396853e-01	-8.032917742073255e-04	1.475933741978438e+00	1.859836733283091e-01	-4.651521866695377e+02	2.786658068694945e+00	1.798006640000001e+00	
22	9.292580290000000e+00	0.000000000000000e+00	2.728764989082877e-01	7.414344660082919e-01	-7.149453100168024e-04	1.469022695273832e+00	1.846974453884190e-01	-4.658871740637607e+02	2.791228836483361e+00	1.897895900000000e+00	
23	9.192691030000001e+00	0.000000000000000e+00	2.726076643099199e-01	7.407996474306897e-01	-5.711721103487354e-04	1.467636867455427e+00	1.844362474178180e-01	-4.660364300469613e+02	2.792188336636745e+00	1.997785159999999e+00	
24	9.092801769999999e+00	0.000000000000000e+00	2.717222176239099e-01	7.387011648968915e-01	-5.861360082368048e-04	1.463109552392334e+00	1.835985235298983e-01	-4.665151294114868e+02	2.795166839417819e+00	2.097674420000001e+00	
25	8.992912510000000e+00	0.000000000000000e+00	2.723169794650822e-01	7.401131664001258e-01	-5.399181332475831e-04	1.466137328564720e+00	1.841533256527903e-01	-4.661980996269771e+02	2.793232485184998e+00	2.197563680000000e+00	
26	8.893023260000000e+00	0.000000000000000e+00	2.727449790016873e-01	7.411304166209762e-01	-6.461867580356056e-04	1.468328343850835e+00	1.845560314587431e-01	-4.659679820235755e+02	2.791825573019364e+00	2.297452930000000e+00	
27	8.793134000000000e+00	0.000000000000000e+00	2.734018759097244e-01	7.426917892390298e-01	-6.767235720693884e-04	1.471689844134904e+00	1.851735476849941e-01	-4.656151156085749e+02	2.789681140749152e+00	2.397342190000000e+00	
