"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Pressure_Coefficient"	"Mach"	"Temperature"	"Laminar_Viscosity"	"Skin_Friction_Coefficient"	"Heat_Flux"	"Y_Plus"	"Sharp_Edge_Dist"
0	9.997500181200000e-01	-3.999999900000000e-05	4.930288212608106e-04	0.000000000000000e+00	0.000000000000000e+00	1.015656121742015e+02	4.062624486968058e+01	-2.777678682937866e-02	0.000000000000000e+00	2.862450374906759e+02	1.786937999339126e-05	1.499547839713371e-02	-8.296866004493785e-05	2.033311548083620e-02	2.531618854574048e-04	
1	9.990000128750000e-01	-1.400000040000000e-04	4.934162304402298e-04	0.000000000000000e+00	0.000000000000000e+00	1.016337676622355e+02	4.065350706489420e+01	-2.396086150914254e-02	0.000000000000000e+00	2.862122238009507e+02	1.786778593855562e-05	8.868114996141808e-03	-1.677184404387187e-06	1.564603586125827e-02	1.009739694815380e-03	
2	9.977599978450000e-01	-3.300000100000000e-04	4.934154405700346e-04	0.000000000000000e+00	0.000000000000000e+00	1.016229864036536e+02	4.064919456146143e+01	-2.456448828658176e-02	0.000000000000000e+00	2.861823206794215e+02	1.786633319971331e-05	6.662823663829861e-03	-5.084508367651198e-05	1.356241222971451e-02	2.264179688320814e-03	
3	9.960200190539999e-01	-5.799999930000000e-04	4.934149223568861e-04	0.000000000000000e+00	0.000000000000000e+00	1.016126968938745e+02	4.064507875754979e+01	-2.514058277334190e-02	0.000000000000000e+00	2.861536447407194e+02	1.786494001085047e-05	5.314969271075815e-03	5.128749272099072e-05	1.211456339190602e-02	4.022020427894847e-03	
4	9.937800168990000e-01	-8.999999850000000e-04	4.933844805312959e-04	0.000000000000000e+00	0.000000000000000e+00	1.016002851448332e+02	4.064011405793327e+01	-2.583549830841175e-02	0.000000000000000e+00	2.861363452792928e+02	1.786409950319477e-05	4.636190331926048e-03	2.349284015531577e-06	1.131349875008552e-02	6.284758527559027e-03	
5	9.910500049590000e-01	-1.290000044000000e-03	4.933090031576217e-04	0.000000000000000e+00	0.000000000000000e+00	1.015799773404116e+02	4.063199093616463e+01	-2.697250234618006e-02	0.000000000000000e+00	2.861229232632271e+02	1.786344736741048e-05	4.291174979794221e-03	3.737128267916806e-05	1.088543235948951e-02	9.042483693512808e-03	
6	9.878399968150000e-01	-1.750000054000000e-03	4.932226815499163e-04	0.000000000000000e+00	0.000000000000000e+00	1.015591792692277e+02	4.062367170769108e+01	-2.813695569736030e-02	0.000000000000000e+00	2.861144064934195e+02	1.786303355532006e-05	4.121673350350176e-03	2.708311562272981e-05	1.066761694628429e-02	1.228528296980619e-02	
7	9.841300249100000e-01	-2.279999899000000e-03	4.931123604952093e-04	0.000000000000000e+00	0.000000000000000e+00	1.015346885759204e+02	4.061387543036815e+01	-2.950815351865430e-02	0.000000000000000e+00	2.861094060720512e+02	1.786279059251624e-05	4.030323317072718e-03	2.563810515274694e-05	1.054575679493732e-02	1.603291953752217e-02	
8	9.799500107769999e-01	-2.880000044000000e-03	4.929901434970060e-04	0.000000000000000e+00	0.000000000000000e+00	1.015069825873973e+02	4.060279303495890e+01	-3.105937098003860e-02	0.000000000000000e+00	2.861022447029524e+02	1.786244262902864e-05	4.028962202116303e-03	6.320670237756069e-05	1.054394396972637e-02	2.025577616621635e-02	
9	9.752799868580000e-01	-3.539999947000000e-03	4.928399087904857e-04	0.000000000000000e+00	0.000000000000000e+00	1.014748928389266e+02	4.058995713557065e+01	-3.285602869963229e-02	0.000000000000000e+00	2.860989845460918e+02	1.786228422000813e-05	4.018441825186446e-03	1.711270945637574e-05	1.052922973984454e-02	2.497219752775901e-02	
10	9.701499938960000e-01	-4.259999841000000e-03	4.926851804637860e-04	0.000000000000000e+00	0.000000000000000e+00	1.014393394862671e+02	4.057573579450682e+01	-3.484660851273795e-02	0.000000000000000e+00	2.860885634110142e+02	1.786177785764306e-05	4.040246062706600e-03	9.151119541340555e-05	1.055630653673583e-02	3.015245368214929e-02	
11	9.645400047300000e-01	-5.040000193000000e-03	4.924921722421801e-04	0.000000000000000e+00	0.000000000000000e+00	1.013984643685645e+02	4.055938574742577e+01	-3.713514610682152e-02	0.000000000000000e+00	2.860853568842468e+02	1.786162205090805e-05	4.071125136232974e-03	-2.137819614863841e-05	1.059421577616223e-02	3.581637707102522e-02	
12	9.584699869160000e-01	-5.880000070000000e-03	4.923138506998782e-04	0.000000000000000e+00	0.000000000000000e+00	1.013550799619925e+02	4.054203198479699e+01	-3.956417508624266e-02	0.000000000000000e+00	2.860665311912827e+02	1.786070728419651e-05	4.141378004837444e-03	1.709856803537857e-04	1.068407909860525e-02	4.194420564965329e-02	
13	9.519400000570000e-01	-6.769999862000000e-03	4.920771555454489e-04	0.000000000000000e+00	0.000000000000000e+00	1.013057737585428e+02	4.052230950341711e+01	-4.232475674467738e-02	0.000000000000000e+00	2.860649029876829e+02	1.786062816615276e-05	4.186561775786608e-03	4.706681876910506e-05	1.073952253321189e-02	4.853448766241015e-02	
14	9.449599981310000e-01	-7.720000111000000e-03	4.918440191507637e-04	0.000000000000000e+00	0.000000000000000e+00	1.012527209368246e+02	4.050108837472982e+01	-4.529510603780188e-02	0.000000000000000e+00	2.860506187642709e+02	1.785993405462175e-05	4.285891032323443e-03	8.928939807029708e-05	1.086512805667533e-02	5.557877479266134e-02	
15	9.375399947170000e-01	-8.720000274000000e-03	4.915805509696265e-04	0.000000000000000e+00	0.000000000000000e+00	1.011951882956810e+02	4.047807531827238e+01	-4.851627381771979e-02	0.000000000000000e+00	2.860413073809074e+02	1.785948157874918e-05	4.384790633418408e-03	3.772131660167864e-05	1.098707494140105e-02	6.306576460117604e-02	
16	9.296900033950000e-01	-9.770000353000000e-03	4.913175259562937e-04	0.000000000000000e+00	0.000000000000000e+00	1.011337069555522e+02	4.045348278222085e+01	-5.195852343380913e-02	0.000000000000000e+00	2.860205605261851e+02	1.785847338399780e-05	4.504022344524192e-03	8.002067176738451e-05	1.113277765001712e-02	7.098555155447295e-02	
17	9.214000105860000e-01	-1.087000034700000e-02	4.910233254278454e-04	0.000000000000000e+00	0.000000000000000e+00	1.010677047436068e+02	4.042708189744272e+01	-5.565388999956444e-02	0.000000000000000e+00	2.860051565000314e+02	1.785772480165183e-05	4.647615266774501e-03	-1.532020472523420e-05	1.130427934922561e-02	7.934806389209946e-02	
18	9.126999974250000e-01	-1.200999971500000e-02	4.907382446079163e-04	0.000000000000000e+00	0.000000000000000e+00	1.009985794115240e+02	4.039943176460957e+01	-5.952411545863399e-02	0.000000000000000e+00	2.859755762144966e+02	1.785628724793855e-05	4.793402728507955e-03	1.351670326514059e-04	1.147857280732534e-02	8.812224771730072e-02	
19	9.035800099370001e-01	-1.319000031800000e-02	4.904110104331389e-04	0.000000000000000e+00	0.000000000000000e+00	1.009245754547938e+02	4.036983018191751e+01	-6.366748792107041e-02	0.000000000000000e+00	2.859567171197174e+02	1.785537068940162e-05	4.942061581370708e-03	-1.173729669302139e-05	1.165207611886992e-02	9.731798699180871e-02	
20	8.940600156780000e-01	-1.441000029400000e-02	4.900911922791559e-04	0.000000000000000e+00	0.000000000000000e+00	1.008478227534183e+02	4.033912910136731e+01	-6.796475854480874e-02	0.000000000000000e+00	2.859257127572457e+02	1.785386380362369e-05	5.119601632768678e-03	1.779941119260205e-04	1.185727401123177e-02	1.069155198585252e-01	
21	8.841500282290000e-01	-1.565999910200000e-02	4.897234014303364e-04	0.000000000000000e+00	0.000000000000000e+00	1.007662743509930e+02	4.030650974039718e+01	-7.253053340191350e-02	0.000000000000000e+00	2.859090667126333e+02	1.785305473391425e-05	5.270154786182906e-03	1.965622175568901e-05	1.202501871435764e-02	1.169035993082169e-01	
22	8.738499879840000e-01	-1.695000007700000e-02	4.893712736619707e-04	0.000000000000000e+00	0.000000000000000e+00	1.006815877818552e+02	4.027263511274209e+01	-7.727200958788202e-02	0.000000000000000e+00	2.858743347398867e+02	1.785136653717126e-05	5.463975549870539e-03	1.329802550386328e-04	1.224270954839094e-02	1.272836518734721e-01	
23	8.631799817090000e-01	-1.827000081500000e-02	4.889854260813010e-04	0.000000000000000e+00	0.000000000000000e+00	1.005931357255766e+02	4.023725429023062e+01	-8.222430984889915e-02	0.000000000000000e+00	2.858485637551900e+02	1.785011383836376e-05	5.667698074077035e-03	4.362281932286344e-05	1.246392793536389e-02	1.380344534343860e-01	
24	8.521599769590000e-01	-1.961000077400000e-02	4.886111486973677e-04	0.000000000000000e+00	0.000000000000000e+00	1.005022366568341e+02	4.020089466273364e+01	-8.731361473109507e-02	0.000000000000000e+00	2.858090250197493e+02	1.784819179923844e-05	5.860934031320333e-03	1.455186803359589e-04	1.267258637100596e-02	1.491349206025191e-01	
25	8.407700061800000e-01	-2.096999995400000e-02	4.882012286620549e-04	0.000000000000000e+00	0.000000000000000e+00	1.004071433703432e+02	4.016285734813728e+01	-9.263774768314362e-02	0.000000000000000e+00	2.857783515880375e+02	1.784670062840027e-05	6.020422388286922e-03	4.101741918754086e-05	1.283826239791892e-02	1.606048935430923e-01	
26	8.290500044819999e-01	-2.236000075900000e-02	4.877978864505986e-04	0.000000000000000e+00	0.000000000000000e+00	1.003086710843593e+02	4.012346843374370e+01	-9.815106583647970e-02	0.000000000000000e+00	2.857341481276252e+02	1.784455156814641e-05	6.237033442364580e-03	7.489877096947104e-05	1.306297316424386e-02	1.724061211255178e-01	
27	8.170099854470000e-01	-2.377000078600000e-02	4.873606352911146e-04	0.000000000000000e+00	0.000000000000000e+00	1.002073322474172e+02	4.008293289896688e+01	-1.038248779529336e-01	0.000000000000000e+00	2.857015760303590e+02	1.784296789326318e-05	6.468287623382185e-03	-8.979152106745639e-05	1.329926697385019e-02	1.845273919055748e-01	
28	8.046399950980000e-01	-2.518999949100000e-02	4.869570239801322e-04	0.000000000000000e+00	0.000000000000000e+00	1.001041561537026e+02	4.004166246148103e+01	-1.096015553681395e-01	0.000000000000000e+00	2.856439683680319e+02	1.784016676219734e-05	6.665799768180790e-03	1.563865724541476e-04	1.349663194369501e-02	1.969773276031179e-01	
29	7.919700145720000e-01	-2.662000060100000e-02	4.865073795514136e-04	0.000000000000000e+00	0.000000000000000e+00	9.999697448792952e+01	3.999878979517180e+01	-1.156024988590619e-01	0.000000000000000e+00	2.856018468459067e+02	1.783811846207518e-05	6.864656936556068e-03	-6.172785563044767e-05	1.369110118268746e-02	2.097262484029387e-01	
30	7.790099978450000e-01	-2.806000039000000e-02	4.860757047259555e-04	0.000000000000000e+00	0.000000000000000e+00	9.988771128148863e+01	3.995508451259545e+01	-1.217199847439776e-01	0.000000000000000e+00	2.855431402351190e+02	1.783526341479458e-05	7.063254008900321e-03	2.104814298916034e-04	1.388402426560896e-02	2.227643254077135e-01	
31	7.657799720760000e-01	-2.951000072100000e-02	4.855860213586242e-04	0.000000000000000e+00	0.000000000000000e+00	9.977450342177639e+01	3.990980136871055e+01	-1.280583259515097e-01	0.000000000000000e+00	2.855071457529172e+02	1.783351277515520e-05	7.293480236990071e-03	-1.767501540569740e-04	1.410405986941864e-02	2.360717298264931e-01	
32	7.522799968720000e-01	-3.095999918900000e-02	4.851511802508607e-04	0.000000000000000e+00	0.000000000000000e+00	9.966051248018691e+01	3.986420499207476e+01	-1.344405107591575e-01	0.000000000000000e+00	2.854365656810364e+02	1.783007971202126e-05	7.497978105135964e-03	2.411146646660039e-04	1.429628905730902e-02	2.496471940549687e-01	
33	7.385200262070000e-01	-3.240999952000000e-02	4.846480394945826e-04	0.000000000000000e+00	0.000000000000000e+00	9.954217705004569e+01	3.981687082001827e+01	-1.410659370774498e-01	0.000000000000000e+00	2.853936186054688e+02	1.782799053761568e-05	7.696254194355240e-03	-1.253597297476672e-04	1.447732541264013e-02	2.634809001876121e-01	
34	7.245299816130000e-01	-3.386000171300000e-02	4.841833699533913e-04	0.000000000000000e+00	0.000000000000000e+00	9.942208702329646e+01	3.976883480931857e+01	-1.477896006737157e-01	0.000000000000000e+00	2.853228741188773e+02	1.782454882049481e-05	7.907867658966060e-03	2.335659198961672e-04	1.467117416525403e-02	2.775432051881986e-01	
35	7.103199958800001e-01	-3.531000018100000e-02	4.836545314514708e-04	0.000000000000000e+00	0.000000000000000e+00	9.929908915168784e+01	3.971963566067512e+01	-1.546760702177665e-01	0.000000000000000e+00	2.852814854822025e+02	1.782253507490064e-05	8.177013327748825e-03	-1.621835607492649e-04	1.491200174366722e-02	2.918240923908535e-01	
36	6.958900094030001e-01	-3.674000129100000e-02	4.831778788087692e-04	0.000000000000000e+00	0.000000000000000e+00	9.917502049720471e+01	3.967000819888187e+01	-1.616224913167277e-01	0.000000000000000e+00	2.852061194096563e+02	1.781886781265074e-05	8.341153176155594e-03	1.617490212078117e-04	1.505639667435382e-02	3.063212595883121e-01	
37	6.812700033190000e-01	-3.816999867600000e-02	4.826496136210709e-04	0.000000000000000e+00	0.000000000000000e+00	9.904775684877013e+01	3.961910273950804e+01	-1.687477954179095e-01	0.000000000000000e+00	2.851518970014478e+02	1.781622909952845e-05	8.632941983444688e-03	-1.316716191162150e-04	1.531125583826663e-02	3.210074135953812e-01	
