"PointID", "Conservative_1", "Conservative_2", "Conservative_3", "Conservative_4", "Residual_1", "Residual_2", "Residual_3", "Residual_4", "Volume"
0  0 0	3.831317477714322e-05	5.952771515174616e-01	9.497483282904001e-02	6.647184504695021e+03	-5.858463464268933e-09	-4.743127144718473e-05	-8.916026578258129e-06	-3.781752722009060e-01	6.711954148277849e-05	
0  0 1	3.841286269460178e-05	5.969637625191673e-01	9.577286693947942e-02	6.665880989906891e+03	-1.037458052003423e-08	-8.313213853708423e-05	-1.778549972741850e-05	-6.908593740233755e-01	1.342796873179213e-04	
0  0 2	3.849795768785815e-05	5.986591970032894e-01	9.721826301055370e-02	6.684198594127986e+03	-1.018150228924518e-08	-8.136478767538369e-05	-1.746749274790516e-05	-6.703906393254329e-01	1.343338264544059e-04	
0  0 3	3.865274139471169e-05	6.017525723271272e-01	9.890921276979937e-02	6.716658562685659e+03	-1.009035874701623e-08	-8.017530321249855e-05	-1.775678380708245e-05	-6.639699404895509e-01	1.343879655908929e-04	
0  0 4	3.886813446296365e-05	6.060622936188614e-01	1.008296033786991e-01	6.761449014523969e+03	-9.959156613817222e-09	-7.837976528178581e-05	-1.792785590713775e-05	-6.519015172386844e-01	1.344421047273777e-04	
0  0 5	3.913523511962969e-05	6.114024366877699e-01	1.029548158159716e-01	6.816736269986639e+03	-9.794485060932692e-09	-7.604359991830734e-05	-1.800460035968066e-05	-6.349043259192513e-01	1.344962438638625e-04	
0  0 6	3.944490754348592e-05	6.175823653150119e-01	1.052587470100177e-01	6.880637450721232e+03	-9.600110916618036e-09	-7.320759737283744e-05	-1.799150265895111e-05	-6.132703693992880e-01	1.345503830003509e-04	
0  0 7	3.978907371208867e-05	6.244332993892941e-01	1.077168029076829e-01	6.951484020602325e+03	-9.379211979887886e-09	-6.990192878753021e-05	-1.789033175575439e-05	-5.871687272731378e-01	1.346045221368362e-04	
0  0 8	4.016145094737068e-05	6.318238019697693e-01	1.103090930776633e-01	7.027976208087470e+03	-9.134182271433567e-09	-6.614440575986036e-05	-1.770016795686613e-05	-5.566363549128255e-01	1.346586612733234e-04	
0  0 9	4.055793084462208e-05	6.396675552356323e-01	1.130224798004053e-01	7.109262227935969e+03	-8.866552135956238e-09	-6.194066421374989e-05	-1.741765178056576e-05	-5.215888356078722e-01	1.347128004098149e-04	
0  0 10	4.097660241671484e-05	6.479236859257792e-01	1.158513544137463e-01	7.194943665096611e+03	-8.577011779899602e-09	-5.728574655711194e-05	-1.703742216489779e-05	-4.818447340699095e-01	1.347669395463010e-04	
0  0 11	4.141749903958314e-05	6.565913776759650e-01	1.187972871711075e-01	7.285023597459232e+03	-8.265506016260079e-09	-5.216639591959504e-05	-1.655263338935786e-05	-4.371556493811113e-01	1.348210786827862e-04	
0  0 12	4.188218214589770e-05	6.657011556447407e-01	1.218678932773483e-01	7.379820868542230e+03	-7.931357683651824e-09	-4.656328648622310e-05	-1.595542082127865e-05	-3.872334234179107e-01	1.348752178192740e-04	
0  0 13	4.237327532436112e-05	6.753052084229982e-01	1.250753219050962e-01	7.479874039008933e+03	-7.573380476390957e-09	-4.045255921325541e-05	-1.523720976684406e-05	-3.317678734856599e-01	1.349293569557595e-04	
0  0 14	4.289403818302764e-05	6.854685871214401e-01	1.284347294333181e-01	7.585853513346255e+03	-7.189952931024402e-09	-3.380627779342449e-05	-1.438880265243470e-05	-2.704313707681649e-01	1.349834960922447e-04	
0  0 15	4.344803406181813e-05	6.962623816161148e-01	1.319629895511295e-01	7.698493041207366e+03	-6.779037786082745e-09	-2.659167003055130e-05	-1.340022160201126e-05	-2.028693740676317e-01	1.350376352287294e-04	
0  0 16	4.403891197559972e-05	7.077592753430726e-01	1.356777707532712e-01	7.818544820477775e+03	-6.338142305666158e-09	-1.876921400811860e-05	-1.226031443923858e-05	-1.286781524277103e-01	1.350917743652172e-04	
0  0 17	4.467029841991063e-05	7.200313711344580e-01	1.395970108988878e-01	7.946757305700240e+03	-5.864225358706966e-09	-1.028978606587572e-05	-1.095615433754915e-05	-4.737241375369194e-02	1.351459135017087e-04	
0  0 18	4.534578066668139e-05	7.331498947710411e-01	1.437387533462096e-01	8.083871919683243e+03	-5.353567806882527e-09	-1.091268536757006e-06	-9.472288764161840e-06	4.165289948105055e-02	1.352000526381886e-04	
0  0 19	4.606895781721396e-05	7.471862745794063e-01	1.481212774583927e-01	8.230633742244230e+03	-4.801635654526543e-09	8.904773453499715e-06	-7.789931469354139e-06	1.391604687287327e-01	1.352541917746812e-04	
0  0 20	4.684353551054427e-05	7.622140881068423e-01	1.527634469277937e-01	8.387811150887355e+03	-4.202979571341303e-09	1.979546768948737e-05	-5.886238670510524e-06	2.460994637667682e-01	1.353083309111685e-04	
0  0 21	4.767344151891888e-05	7.783113926498506e-01	1.576852002478729e-01	8.556219632047752e+03	-3.551225555143540e-09	3.169697462035437e-05	-3.733855661741670e-06	3.636147925053592e-01	1.353624700476516e-04	
0  0 22	4.856294065991040e-05	7.955629775316280e-01	1.629081108572841e-01	8.736745187135235e+03	-2.839213878054730e-09	4.474164926349111e-05	-1.300933427816897e-06	4.930255060398849e-01	1.354166091841400e-04	
0  0 23	4.951672839206329e-05	8.140620904118234e-01	1.684559484779885e-01	8.930362900577033e+03	-2.059329547118599e-09	5.907115286285514e-05	1.448236666840019e-06	6.357637612918552e-01	1.354707483206263e-04	
