"PointID","x","y","Displacement_1","Displacement_2","Velocity_1","Velocity_2","Acceleration_1","Acceleration_2","Sxx","Syy","Sxy","Von_Mises_Stress"
0,5.000000000000000e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.215326020220109e+02,-4.079034109030671e+02,1.588649181482189e+02,4.277388093827254e+02,
1,-5.000000000000000e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.209697332101947e+02,4.002546719232496e+02,1.618555101680527e+02,4.275381873926555e+02,
2,-5.000000000000000e-04,1.600000000000000e-02,1.173441715681149e-03,9.785740309168470e-07,1.367121039052250e-04,-4.843420759622386e-06,6.625494621842347e-03,9.687070258754648e-05,-3.229197529355502e-01,-3.152419719252071e-01,1.694443883480180e-01,3.389757385002333e-01,
3,5.000000000000000e-04,1.600000000000000e-02,1.168210518043337e-03,-1.011389873777649e-04,1.355411289852208e-04,-1.668333654320555e-05,6.577007669770096e-03,-5.213431318439003e-04,-6.198330231625485e-02,-1.070246118051711e-01,1.512292366952336e-01,3.057937992931974e-01,
4,2.500000000010164e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-5.913947867268621e+01,-2.012650456685328e+02,1.498175909145833e+02,3.316337120735595e+02,
5,1.355361135824129e-15,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,7.244882471302798e-01,-2.131974850116265e+00,1.473824981135899e+02,2.947788363879526e+02,
6,-2.499999999989835e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.011137783904309e+01,1.961749346303713e+02,1.513316614933017e+02,3.318408934534742e+02,
7,-5.000000000000000e-04,1.006407844091905e-03,8.446574979319209e-06,7.365693334407515e-06,9.619767845009125e-07,9.125476853712544e-07,3.334411624857753e-05,5.965382529988540e-05,5.620222204410163e+00,3.550113085831885e+02,4.946052949146171e+00,3.495310930375808e+02,
8,-5.000000000000000e-04,1.964891508928506e-03,2.943230912958738e-05,1.373157820388090e-05,3.412624390164029e-06,1.685611481475786e-06,1.308751202185545e-04,1.141056232124862e-04,3.264904163666527e+01,3.361099900583380e+02,7.143968179775598e+00,3.037971236572125e+02,
9,-5.000000000000000e-04,2.877733094607172e-03,6.081946402081087e-05,1.891455924768690e-05,7.076553477900655e-06,2.283088283943574e-06,2.794645925582959e-04,1.614050949737210e-04,2.372599876050582e+01,3.040247293019894e+02,9.781760934998950e+00,2.809806216291883e+02,
10,-5.000000000000000e-04,3.747106030483989e-03,9.996939668705242e-05,2.298543015772335e-05,1.165126088783187e-05,2.710597966243656e-06,4.700010089041050e-04,2.018723645482431e-04,2.286747385626506e+01,2.761352681070688e+02,1.190125851014192e+01,2.543838348267601e+02,
11,-5.000000000000000e-04,4.575080255248663e-03,1.448853995945086e-04,2.604235312092885e-05,1.690305345967834e-05,2.978500746700544e-06,6.944269790982036e-04,2.353057418048267e-04,2.055616738575049e+01,2.495647051921179e+02,1.298475315554659e+01,2.304763017020455e+02,
12,-5.000000000000000e-04,5.363627136157465e-03,1.939039391233189e-04,2.819405934266768e-05,2.263669862770923e-05,3.102486251164785e-06,9.455000445458282e-04,2.619416629685008e-04,1.869326921365095e+01,2.247215855093490e+02,1.352607072315282e+01,2.077967407647943e+02,
13,-5.000000000000000e-04,6.114624164579013e-03,2.456786921754877e-04,2.955722264518255e-05,2.869366996869353e-05,3.100864608352575e-06,1.216860070612748e-03,2.821836100970862e-04,1.688583429783347e+01,2.015600855081711e+02,1.358842964407170e+01,1.866632281432699e+02,
14,-5.000000000000000e-04,6.829859429751239e-03,2.991232172491914e-04,3.024567474120223e-05,3.494569923228547e-05,2.992411370709880e-06,1.502908142136632e-03,2.965454797883640e-04,1.519959330743103e+01,1.800511637964047e+02,1.330467921518708e+01,1.669853234531622e+02,
15,-5.000000000000000e-04,7.511035871475964e-03,3.533685789728053e-04,3.036658961047917e-05,4.129000297095695e-05,2.795312278306898e-06,1.798760631239043e-03,3.056157588556980e-04,1.361337687217930e+01,1.601476649688966e+02,1.277074200110888e+01,1.487436216886200e+02,
