"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Grid_Velx","Grid_Vely","Pressure","Temperature","Pressure_Coefficient","Mach","Laminar_Viscosity","Skin_Friction_Coefficient","Heat_Flux","Y_Plus"
0,-1.000000000000000e-01,0.000000000000000e+00,1.028706554324373e+00,3.542688262481712e-02,-1.452962798261471e-06,4.591997495400725e+01,-2.775557561562891e-15,0.000000000000000e+00,1.836774597343373e+01,6.220061845161964e-02,1.021206226704077e+00,6.888033256258076e-03,1.600000000000000e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
1,-1.000000000000000e-01,1.600000000000000e-02,1.028705953247649e+00,3.707835306283867e-02,-3.220315459625285e-06,4.591996619762172e+01,-2.775557561562891e-15,0.000000000000000e+00,1.836771919095302e+01,6.220056409930547e-02,1.021152661742652e+00,7.209135312656536e-03,1.600000000000000e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
2,-1.000000000000000e-01,2.000000000000000e-02,1.028706054657578e+00,3.708573099879959e-02,2.527781567741773e-07,4.591996854914082e+01,-2.775557561562891e-15,-3.469446951953614e-16,1.836772002520724e+01,6.220056079269228e-02,1.021154330251091e+00,7.210569256792034e-03,1.600000000000000e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
3,-5.000000000000000e-04,2.000000000000000e-02,1.014135113896393e+00,2.834544411871959e-01,9.442857402853258e-03,4.569239643592738e+01,0.000000000000000e+00,-3.469446951953614e-16,1.826109568062385e+01,6.272798790543592e-02,8.079056411184352e-01,5.569917671526934e-02,1.600000000000000e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
4,5.000000000000000e-04,2.000000000000000e-02,1.009436531096765e+00,2.997742740225550e-01,2.105329906767279e-03,4.549132657839649e+01,0.000000000000000e+00,-3.469446951953614e-16,1.817872484664380e+01,6.273569938028929e-02,6.431639731847001e-01,5.914524502162350e-02,1.600000000000000e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
5,1.000000000000000e-01,2.000000000000000e-02,9.930021574682122e-01,4.572172075222484e-02,3.405306523632238e-07,4.464380168216361e+01,2.775557561562891e-15,-3.469446951953614e-16,1.785709963133337e+01,6.264567238563150e-02,-8.645733324679236e-05,9.176519506518278e-03,1.600000000000000e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
6,1.000000000000000e-01,1.600000000000000e-02,9.930012672666054e-01,4.572950068248522e-02,-4.793063233316078e-06,4.464379545693891e+01,2.775557561562891e-15,0.000000000000000e+00,1.785709699756169e+01,6.264571930624392e-02,-9.172487660389477e-05,9.178085808442172e-03,1.600000000000000e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
7,1.000000000000000e-01,0.000000000000000e+00,9.929843597224552e-01,4.745096573548128e-02,-1.623682603072158e-06,4.464388171549791e+01,2.775557561562891e-15,0.000000000000000e+00,1.785709918577293e+01,6.264679365161850e-02,-8.734845413040011e-05,9.523670881663610e-03,1.600000000000000e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
8,5.000000000000000e-04,0.000000000000000e+00,9.901714992026284e-01,0.000000000000000e+00,0.000000000000000e+00,4.470418969559842e+01,0.000000000000000e+00,0.000000000000000e+00,1.788167587823936e+01,6.291122508134653e-02,4.906603647087685e-02,0.000000000000000e+00,1.600000000000000e-03,1.634679744067863e-04,4.110956673469614e-04,8.976629522605027e-03,
9,-5.000000000000000e-04,0.000000000000000e+00,1.022840778832997e+00,0.000000000000000e+00,0.000000000000000e+00,4.602625834061659e+01,0.000000000000000e+00,0.000000000000000e+00,1.841050333624663e+01,6.270294992948233e-02,1.106720952316194e+00,0.000000000000000e+00,1.600000000000000e-03,8.618271377763716e-05,-7.460063591981769e-04,6.624542032674039e-03,
