"PointID","x","y","Displacement_x","Displacement_y","Velocity_x","Velocity_y","Acceleration_x","Acceleration_y","Sxx","Syy","Sxy","Von_Mises_Stress"
0, -1.990233000000000e-01, 1.178851000000000e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.349705927766153e+07, -4.723899126567821e+06, 2.565190121617207e+06, 1.016312651091723e+07
1, -1.905404000000000e-01, 1.243298000000000e-02, -1.426953635064257e-04, 8.586262084523605e-05, -9.100014865717803e-03, 4.665846863527204e-03, -6.627025315880061e-01, 1.335382976864294e+00, -9.928989101791691e+06, 2.708280984239386e+05, -6.060261042460878e+05, 1.027157930767832e+07
2, -1.814989000000000e-01, 1.300915000000000e-02, -2.702290873657189e-04, 2.381998039062608e-04, -1.786436798342757e-02, 1.291675785777483e-02, -2.595185204466801e-01, 1.676226436007509e+00, -8.507968523875099e+06, -4.958143191882275e+05, -4.549300872449878e+05, 8.063650571348217e+06
3, -1.719248000000000e-01, 1.351448000000000e-02, -3.924547930503606e-04, 4.818127972806628e-04, -2.695683923824219e-02, 2.701768538996963e-02, 7.166898311863439e-01, 9.822308989651934e-01, -7.236742606973017e+06, -2.921985644448504e+05, -4.044870426848689e+05, 6.991504203632667e+06
4, -1.618466000000000e-01, 1.394718000000000e-02, -5.071062588150098e-04, 8.114463275250138e-04, -3.622904198359369e-02, 4.719127695221233e-02, 2.241554353206554e+00, -9.560036932958118e-01, -6.169418630160892e+06, -2.723664002254038e+05, -3.358538398752667e+05, 5.935184597771410e+06
5, -1.512935000000000e-01, 1.430588000000000e-02, -6.139769749321266e-04, 1.223254864453421e-03, -4.566479339674996e-02, 7.376729557545841e-02, 4.246778374925034e+00, -4.320163005441493e+00, -5.258011051833027e+06, -2.191509674498565e+05, -2.790931129223838e+05, 5.069682713219121e+06
6, -1.402968000000000e-01, 1.459006000000000e-02, -7.129713276134604e-04, 1.712580658078628e-03, -5.525317067727806e-02, 1.070625354876895e-01, 6.638307132537729e+00, -9.194851684022399e+00, -4.486360112001246e+06, -1.816528805733286e+05, -2.311067018027007e+05, 4.329450955811867e+06
7, -1.288884000000000e-01, 1.479966000000000e-02, -8.039094529879113e-04, 2.274556180441999e-03, -6.497161180423605e-02, 1.474230381713083e-01, 9.313056257560760e+00, -1.555806452282959e+01, -3.820411258873062e+06, -1.476580052173127e+05, -1.899956638136013e+05, 3.692358307546922e+06
8, -1.171021000000000e-01, 1.493550000000000e-02, -8.866334501636835e-04, 2.903874146018709e-03, -7.478794803297371e-02, 1.952159577937726e-01, 1.216557555991677e+01, -2.325838938178730e+01, -3.240138517994601e+06, -1.184003195969688e+05, -1.548238082963345e+05, 3.137057702018951e+06
9, -1.049722000000000e-01, 1.499882000000000e-02, -9.610080467233879e-04, 3.594914637812482e-03, -8.465360692612439e-02, 2.508555446836527e-01, 1.510612474453904e+01, -3.196711914731563e+01, -2.729631082004658e+06, -9.260948323414233e+04, -1.246667480584499e+05, 2.648782759055201e+06
