"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Grid_Velocity_x","Grid_Velocity_y","Pressure","Temperature","Mach","Pressure_Coefficient"
0, -2.500000000000000e-01, 0.000000000000000e+00, 1.594487696429794e+00, 6.302690754814118e-01, 2.598596682606167e+02, 3.595414065389963e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.353464509203091e+05, 2.948691187622286e+02, 4.727615163830452e-01, 7.494768187654004e-01
1, -2.496342000000000e-01, 1.191865000000000e-03, 1.216463341260368e+00, 1.655195329839501e+02, 2.664214101086730e+02, 2.812372975787618e+05, 0.000000000000000e+00, 0.000000000000000e+00, 9.632064065800417e+04, 2.750577771541783e+02, 7.744150059505633e-01, -1.102437203040921e-01
2, -2.485345000000000e-01, 2.355228000000000e-03, 9.684393151001733e-01, 2.382094846063968e+02, 1.873761496799631e+02, 2.282475192336577e+05, 0.000000000000000e+00, 0.000000000000000e+00, 7.232960432597753e+04, 2.594461734052953e+02, 9.678092651292554e-01, -6.387551477305713e-01
3, -2.467063000000000e-01, 3.487728000000000e-03, 8.555977608879096e-01, 2.610094114991317e+02, 1.332095716476845e+02, 2.040186998503801e+05, 0.000000000000000e+00, 0.000000000000000e+00, 6.153479934300578e+04, 2.498358410010175e+02, 1.079352438327002e+00, -8.765597057072849e-01
4, -2.441551000000000e-01, 4.587006000000000e-03, 8.034125689250327e-01, 2.711316474999236e+02, 1.008070677940332e+02, 1.929897984320777e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.636616429314390e+04, 2.437156694683460e+02, 1.148824860151320e+00, -9.904223438294405e-01
5, -2.408875000000000e-01, 5.650509000000000e-03, 7.774849949755929e-01, 2.764533309418656e+02, 7.970168127573490e+01, 1.875729171758581e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.373517335999128e+04, 2.400878764773964e+02, 1.189652758218667e+00, -1.048381856473351e+00
6, -2.369133000000000e-01, 6.674912000000000e-03, 7.635065191958122e-01, 2.794610616356107e+02, 6.485660087203726e+01, 1.846633146637751e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.230562425775752e+04, 2.379793271329706e+02, 1.213299901627189e+00, -1.079874161605215e+00
7, -2.322441000000000e-01, 7.656630000000000e-03, 7.554136384087579e-01, 2.812917910107765e+02, 5.381163433124626e+01, 1.829800328202285e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.147655565972402e+04, 2.367163474331618e+02, 1.227441310344761e+00, -1.098138159129832e+00
8, -2.268939000000000e-01, 8.591804999999999e-03, 7.503843784127304e-01, 2.824971381832529e+02, 4.522785290544678e+01, 1.819362311600664e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.095895522341919e+04, 2.359067259761130e+02, 1.236498753662619e+00, -1.109540657197948e+00
9, -2.208779000000000e-01, 9.476504000000000e-03, 7.468584806099323e-01, 2.834024084588123e+02, 3.832780433509501e+01, 1.812155871312166e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.058491142140951e+04, 2.352806813922989e+02, 1.243499648311785e+00, -1.117780669050053e+00
10, -2.142143000000000e-01, 1.030675000000000e-02, 7.442454350249812e-01, 2.842608180390695e+02, 3.263031310142527e+01, 1.807070630498338e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.028230062078970e+04, 2.346943058725662e+02, 1.250057334325894e+00, -1.124447044940483e+00
11, -2.069222000000000e-01, 1.107863000000000e-02, 7.427392436457472e-01, 2.846930210766621e+02, 2.777028954635225e+01, 1.803959915720462e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.012608692356477e+04, 2.344396282315347e+02, 1.252907753328937e+00, -1.127888360395193e+00
12, -1.990233000000000e-01, 1.178851000000000e-02, 7.459797138913965e-01, 2.854599044722723e+02, 2.463753041282867e+01, 1.810981442683075e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.042944606300430e+04, 2.348338901349660e+02, 1.248495692903477e+00, -1.121205498946893e+00
13, -1.906238258995205e-01, 1.248519610358900e-02, 7.517442368912861e-01, 2.867858804646202e+02, 2.250318651250954e+01, 1.823795808105127e+05, 6.794113195580312e-03, -3.060009068183541e-03, 5.093569157418254e+04, 2.353724847013349e+02, 1.242454453960742e+00, -1.110053144624296e+00
14, -1.816550576523142e-01, 1.315161798152185e-02, 7.565908905195989e-01, 2.877085765463910e+02, 2.045206014397102e+01, 1.834345556058470e+05, 1.396893831783559e-02, -1.023000291568686e-02, 5.138188106912476e+04, 2.359133315664806e+02, 1.236368031603883e+00, -1.100223796545664e+00
15, -1.721491920803042e-01, 1.379903064440993e-02, 7.617042612511457e-01, 2.887595731586232e+02, 1.876974894347588e+01, 1.845602654547734e+05, 2.165225054682189e-02, -2.312830928487507e-02, 5.183804181918346e+04, 2.364099737169555e+02, 1.230751682013893e+00, -1.090174786331477e+00
16, -1.621333822900366e-01, 1.442187623461776e-02, 7.659854016516476e-01, 2.896242626955370e+02, 1.714692927211751e+01, 1.854987290982208e+05, 2.974747641233689e-02, -4.192316641193453e-02, 5.222094464768967e+04, 2.368251511120985e+02, 1.226021570903963e+00, -1.081739614225581e+00
17, -1.516367767851273e-01, 1.501585236385024e-02, 7.695576229161851e-01, 2.903474561062595e+02, 1.558975309114612e+01, 1.862792673542003e+05, 3.823954560886073e-02, -6.688210371917246e-02, 5.253942490555579e+04, 2.371634516718886e+02, 1.222125791525988e+00, -1.074723641536344e+00
18, -1.406907596379655e-01, 1.557715720968331e-02, 7.726014634418757e-01, 2.909855526591330e+02, 1.409484386634943e+01, 1.869440352968710e+05, 4.710075286298274e-02, -9.820435561352329e-02, 5.280735894944974e+04, 2.374337837311390e+02, 1.218965210567331e+00, -1.068821178548303e+00
19, -1.293273207568043e-01, 1.610247568340117e-02, 7.751996934845612e-01, 2.914970436140774e+02, 1.265864641081408e+01, 1.875050090911246e+05, 5.629309332283346e-02, -1.360448170584396e-01, 5.303843257722139e+04, 2.376734558147273e+02, 1.216121931366419e+00, -1.063730733468564e+00
20, -1.175804163455381e-01, 1.658929397307172e-02, 7.778455601663712e-01, 2.920289798684995e+02, 1.128550961827391e+01, 1.880773557291573e+05, 6.577723948722201e-02, -1.804933599162361e-01, 5.327072494668946e+04, 2.379023993223175e+02, 1.213374874943211e+00, -1.058613440073282e+00
21, -1.054845700036100e-01, 1.703554767526302e-02, 7.799388417119036e-01, 2.925694234368024e+02, 9.974462900148787e+00, 1.885383139161768e+05, 7.552070027785394e-02, -2.315627368154752e-01, 5.344017755302067e+04, 2.380186213966064e+02, 1.211861372041105e+00, -1.054880477577882e+00
22, -9.307593769950585e-02, 1.744006003001736e-02, 7.813132249079808e-01, 2.941378552483772e+02, 8.755208714642267e+00, 1.889632818895904e+05, 8.551856382572358e-02, -2.891819392569543e-01, 5.341911133771711e+04, 2.375062680993387e+02, 1.217357939323183e+00, -1.055344556551648e+00
23, -8.039115653825445e-02, 1.780216843389822e-02, 7.789059211351634e-01, 2.953030668439049e+02, 7.589202370796675e+00, 1.885824532558132e+05, 9.581380518479157e-02, -3.532699234849710e-01, 5.302681005307676e+04, 2.364907120200779e+02, 1.228448795503705e+00, -1.063986772296607e+00
24, -6.746820285162591e-02, 1.812204371154016e-02, 7.915930846969372e-01, 2.980727631619803e+02, 6.527714074638437e+00, 1.914155653063053e+05, 1.064578509743999e-01, -4.239117281590979e-01, 5.410772189642976e+04, 2.374438086244392e+02, 1.217535895042891e+00, -1.040174784629777e+00
25, -5.434555914314460e-02, 1.840056118029699e-02, 8.284624244009302e-01, 2.902069882674641e+02, 5.304983592242793e+00, 1.980540702109658e+05, 1.174889170385066e-01, -5.010666619430864e-01, 5.888317062179065e+04, 2.469004967760664e+02, 1.110668350887136e+00, -9.349738592711163e-01
26, -4.106258904292179e-02, 1.863937020978281e-02, 1.017693932241120e+00, 2.751452657803057e+02, 3.935923115916845e+00, 2.360816997046307e+05, 1.290292295882135e-01, -5.845609940597289e-01, 7.955189767941907e+04, 2.715419616599554e+02, 8.173509890335349e-01, -4.796513676064671e-01
27, -2.765885514033484e-02, 1.884168751167238e-02, 1.220360699414510e+00, 2.744755213601196e+02, 2.953514573847657e+00, 2.791503809925362e+05, 1.413045357256636e-01, -6.745050232395702e-01, 9.931207610934052e+04, 2.826945526139154e+02, 6.663763967951761e-01, -4.434378173706168e-02
28, -1.417394322712487e-02, 1.901126610866775e-02, 1.240687583912885e+00, 2.767340130200471e+02, 2.198850872777297e+00, 2.835825391700271e+05, 1.545199751862788e-01, -7.713905706196191e-01, 1.010871922874300e+05, 2.830331404765855e+02, 6.604393588197083e-01, -5.238793851336675e-03
29, -6.473203559277669e-04, 1.915094834369462e-02, 1.213853929668683e+00, 2.780643323024702e+02, 1.532520206360508e+00, 2.778170346584506e+05, 1.687599341336943e-01, -8.758249462880426e-01, 9.838687545281608e+04, 2.815621884748468e+02, 6.800425141183079e-01, -6.472552402065314e-02
30, 1.288129691083676e-02, 1.926357912978937e-02, 1.199563755812514e+00, 2.786480009637639e+02, 8.868953307135170e-01, 2.746876898089185e+05, 1.839196229915807e-01, -9.885566520412369e-01, 9.692945387585273e+04, 2.806958700001190e+02, 6.906445087960188e-01, -9.683184687152517e-02
31, 2.637217172096841e-02, 1.935192731676047e-02, 1.198909765523716e+00, 2.784321080037691e+02, 2.718806358686077e-01, 2.744363829625895e+05, 1.996616097021216e-01, -1.110070438331586e+00, 9.684205152130334e+04, 2.805957414686403e+02, 6.906058697502686e-01, -9.875728029274310e-02
32, 3.978574538414985e-02, 1.941863935836341e-02, 1.199765137631551e+00, 2.778423530325438e+02, -3.013915428595375e-01, 2.745195805381801e+05, 2.155626914942708e-01, -1.240118356762639e+00, 9.693923626191469e+04, 2.806770787493642e+02, 6.885520410821336e-01, -9.661634543383453e-02
33, 5.308256208914423e-02, 1.946611667413056e-02, 1.199739292479730e+00, 2.770408422081479e+02, -8.376633705987028e-01, 2.744256188396624e+05, 2.313463985666859e-01, -1.377831855311925e+00, 9.697541278927868e+04, 2.807878726615700e+02, 6.864477824874724e-01, -9.581939327837670e-02
34, 6.622364438484163e-02, 1.949650765876532e-02, 1.200477580078319e+00, 2.761307576949761e+02, -1.345319279884182e+00, 2.744948105184322e+05, 2.469158595660050e-01, -1.522389347244765e+00, 9.709464569646693e+04, 2.809602106627006e+02, 6.835672598610980e-01, -9.319274751359366e-02
35, 7.917031225048429e-02, 1.951172288601707e-02, 1.202142560993382e+00, 2.751425684184368e+02, -1.830413624909028e+00, 2.747573649447633e+05, 2.622224760561210e-01, -1.673026207996178e+00, 9.730763726387513e+04, 2.811865520725469e+02, 6.799107829678213e-01, -8.850064185534667e-02
36, 9.188463558775327e-02, 1.951339767086178e-02, 1.204183146593230e+00, 2.741248693605012e+02, -2.298041702238641e+00, 2.751017446488503e+05, 2.772069279261966e-01, -1.828921364498183e+00, 9.755925345298380e+04, 2.814359133403303e+02, 6.759571613801895e-01, -8.295765365637883e-02
37, 1.043290808141608e-01, 1.950294691971249e-02, 1.206472911643410e+00, 2.730777672307776e+02, -2.753182290301585e+00, 2.755015573674190e+05, 2.917959404481493e-01, -1.989153168190039e+00, 9.783746978393769e+04, 2.817028427153923e+02, 6.717891770200580e-01, -7.682867664301377e-02
38, 1.164673214293501e-01, 1.948154790071722e-02, 1.209070041713072e+00, 2.719670116186427e+02, -3.202283117169798e+00, 2.759715697392234e+05, 3.059142645079902e-01, -2.152726643064554e+00, 9.815173384096210e+04, 2.820006488656307e+02, 6.672792137152105e-01, -6.990558490707718e-02
39, 1.282634046133146e-01, 1.945019653977372e-02, 1.211853359353589e+00, 2.707365958424812e+02, -3.643698539643065e+00, 2.764902818163726e+05, 3.194900200333600e-01, -2.318582482803644e+00, 9.849702824548150e+04, 2.823427554025748e+02, 6.623471548514740e-01, -6.229890897656271e-02
40, 1.396829012511625e-01, 1.940973235938076e-02, 1.215815340059554e+00, 2.716195325465876e+02, -4.107172103658202e+00, 2.776017834112222e+05, 3.324561797921788e-01, -2.485620249653364e+00, 9.890169243061886e+04, 2.825788783918571e+02, 6.620807375787541e-01, -5.338434425516241e-02
41, 1.506918641665985e-01, 1.936087922257859e-02, 1.220598887501117e+00, 2.719064116988192e+02, -4.568380516445812e+00, 2.787656262042284e+05, 3.447501115168656e-01, -2.652688534393931e+00, 9.938859781450374e+04, 2.828571661317181e+02, 6.598754216872681e-01, -4.265804398629460e-02
