"PointID","x","y","Displacement_x","Displacement_y","Velocity_x","Velocity_y","Acceleration_x","Acceleration_y","Sxx","Syy","Sxy","Von_Mises_Stress"
0, -1.990233000000000e-01, 1.178851000000000e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.246006273882720e+07, -4.359443730405112e+06, 2.305299859039260e+06, 9.320818530577399e+06
1, -1.905404000000000e-01, 1.243298000000000e-02, -1.318099682537548e-04, 7.713716568135540e-05, 1.126671170398830e-02, -6.401545118706848e-03, 4.528403600255485e+00, -3.361005821381281e+00, -9.293593475195006e+06, 2.433550317161349e+05, -5.690733439342269e+05, 9.604622049127210e+06
2, -1.814989000000000e-01, 1.300915000000000e-02, -2.525015330802759e-04, 2.182791630434535e-04, 2.139378140413465e-02, -1.688297756887986e-02, 7.789199670328131e+00, -7.278004292209756e+00, -8.153885693850006e+06, -4.785676538317013e+05, -4.444325342936681e+05, 7.726615567348048e+06
3, -1.719248000000000e-01, 1.351448000000000e-02, -3.704277881851645e-04, 4.480565314520655e-04, 3.134257385944070e-02, -3.374179171488351e-02, 1.054986575153624e+01, -1.259118950382424e+01, -7.108060178644978e+06, -2.979320317758716e+05, -4.051143952193477e+05, 6.858156900336605e+06
4, -1.618466000000000e-01, 1.394718000000000e-02, -4.836435642447996e-04, 7.631916045371545e-04, 4.090053703783214e-02, -5.680589957301797e-02, 1.276348425500661e+01, -1.911699207642507e+01, -6.246044763864230e+06, -2.855776331986904e+05, -3.506298234754705e+05, 6.001577584950981e+06
5, -1.512935000000000e-01, 1.430588000000000e-02, -5.921748144025799e-04, 1.162032989560923e-03, 5.000476328230170e-02, -8.596685035554393e-02, 1.447788855373298e+01, -2.673026221247753e+01, -5.527578622881643e+06, -2.429521821655128e+05, -3.074955126997072e+05, 5.320290460044250e+06
6, -1.402968000000000e-01, 1.459006000000000e-02, -6.961535128440659e-04, 1.642383487200782e-03, 5.859847648660370e-02, -1.210495990410710e-01, 1.576687940917320e+01, -3.538016277797173e+01, -4.939253268486828e+06, -2.150642193926242e+05, -2.725456359300687e+05, 4.755532216927954e+06
7, -1.288884000000000e-01, 1.479966000000000e-02, -7.956601551420243e-04, 2.202053613613248e-03, 6.660668378379331e-02, -1.618644335268779e-01, 1.670685106764186e+01, -4.511706961319310e+01, -4.451951591570367e+06, -1.905391969382190e+05, -2.439954668551256e+05, 4.289262261567588e+06
8, -1.171021000000000e-01, 1.493550000000000e-02, -8.908273860517654e-04, 2.838663333633998e-03, 7.393874895482325e-02, -2.081924185466676e-01, 1.737152582696086e+01, -5.610925140535791e+01, -4.049375609451857e+06, -1.703613781566758e+05, -2.210327545457420e+05, 3.904122605774422e+06
9, -1.049722000000000e-01, 1.499882000000000e-02, -9.818395983318480e-04, 3.549781489732225e-03, 8.048188343408050e-02, -2.598087154271512e-01, 1.781270992046490e+01, -6.869655542378632e+01, -3.718913819511202e+06, -1.527640954751436e+05, -2.029686136989154e+05, 3.589179416918287e+06
