"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Grid_Velocity_x","Grid_Velocity_y","Pressure","Temperature","Mach","Pressure_Coefficient"
0, -2.500000000000000e-01, 0.000000000000000e+00, 1.573716972900158e+00, 6.002159741295596e-01, 2.722508015860237e+02, 3.556668368392486e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.328468885371987e+05, 2.932434703496530e+02, 5.032307799937717e-01, 6.944126162542446e-01
1, -2.496342000000000e-01, 1.191865000000000e-03, 1.185084661538326e+00, 1.668435830159981e+02, 2.687201247801881e+02, 2.748299047927927e+05, 0.000000000000000e+00, 0.000000000000000e+00, 9.304755021177485e+04, 2.727464825417960e+02, 8.050289144384941e-01, -1.823483880596636e-01
2, -2.485345000000000e-01, 2.355228000000000e-03, 9.361486318276556e-01, 2.352534171769835e+02, 1.851377481847627e+02, 2.212508205826543e+05, 0.000000000000000e+00, 0.000000000000000e+00, 6.935376260247252e+04, 2.573527496754502e+02, 9.929592204320375e-01, -7.043115636902003e-01
3, -2.467063000000000e-01, 3.487728000000000e-03, 8.253142629189777e-01, 2.563198861405846e+02, 1.308303721259811e+02, 1.973359913064492e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.886532125691321e+04, 2.477671698922806e+02, 1.103455708960367e+00, -9.353670725187423e-01
4, -2.441551000000000e-01, 4.587006000000000e-03, 7.751573851976262e-01, 2.656889763126250e+02, 9.878683844897739e+01, 1.866894210917580e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.394463096213473e+04, 2.417474654719325e+02, 1.171543548853131e+00, -1.043767602434380e+00
5, -2.408875000000000e-01, 5.650509000000000e-03, 7.509979274662059e-01, 2.707532092715924e+02, 7.805853007536216e+01, 1.816304048528271e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.150684807421182e+04, 2.382483096633333e+02, 1.210864551105905e+00, -1.097470831257890e+00
6, -2.369133000000000e-01, 6.674912000000000e-03, 7.385594236489834e-01, 2.737144999279977e+02, 6.352282938783141e+01, 1.790427298222209e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.023634048327564e+04, 2.362849952304611e+02, 1.232887555989064e+00, -1.125459525499726e+00
7, -2.322441000000000e-01, 7.656630000000000e-03, 7.318161548562339e-01, 2.755821049408777e+02, 5.271928460589361e+01, 1.776455778961681e+05, 0.000000000000000e+00, 0.000000000000000e+00, 4.954331405514976e+04, 2.351725639034883e+02, 1.245369702175883e+00, -1.140726576981121e+00
8, -2.268939000000000e-01, 8.591804999999999e-03, 7.280020129421410e-01, 2.768609693261591e+02, 4.432534016393308e+01, 1.768613841908806e+05, 0.000000000000000e+00, 0.000000000000000e+00, 4.914661006651309e+04, 2.345117348023455e+02, 1.252796127087000e+00, -1.149465782257563e+00
9, -2.208779000000000e-01, 9.476504000000000e-03, 7.255429837143073e-01, 2.778979221288915e+02, 3.758299285442830e+01, 1.763751254019482e+05, 0.000000000000000e+00, 0.000000000000000e+00, 4.887256495573538e+04, 2.339944614872529e+02, 1.258614895726581e+00, -1.155502869220873e+00
10, -2.142143000000000e-01, 1.030675000000000e-02, 7.239580419177112e-01, 2.790317223360319e+02, 3.202930423524379e+01, 1.761079044566700e+05, 0.000000000000000e+00, 0.000000000000000e+00, 4.865057883389742e+04, 2.334415763739147e+02, 1.264827595517019e+00, -1.160393120750559e+00
11, -2.069222000000000e-01, 1.107863000000000e-02, 7.238187209516850e-01, 2.796906875003634e+02, 2.728343948832209e+01, 1.760988435183009e+05, 0.000000000000000e+00, 0.000000000000000e+00, 4.861880675782664e+04, 2.333340270387382e+02, 1.266057646815956e+00, -1.161093044882392e+00
12, -1.990233000000000e-01, 1.178851000000000e-02, 7.314531329538079e-01, 2.812363666186661e+02, 2.494185857208764e+01, 1.777767085137846e+05, 0.000000000000000e+00, 0.000000000000000e+00, 4.931407426502554e+04, 2.342005834376843e+02, 1.256406024311161e+00, -1.145776623466181e+00
13, -1.906830953635064e-01, 1.251884262084524e-02, 7.431053750861919e-01, 2.833770773924297e+02, 2.396129270150402e+01, 1.803429548574361e+05, -9.100014865717803e-03, 4.665846863527204e-03, 5.036995639167993e+04, 2.354641338911278e+02, 1.242329321604365e+00, -1.122516028874556e+00
14, -1.817691290873657e-01, 1.324734980390626e-02, 7.535725516635575e-01, 2.849224889941457e+02, 2.293218238741488e+01, 1.826103243499483e+05, -1.786436798342757e-02, 1.291675785777483e-02, 5.135896895664233e+04, 2.367526329727254e+02, 1.227988103052379e+00, -1.100728539780006e+00
15, -1.723172547930504e-01, 1.399629279728066e-02, 7.646156522745172e-01, 2.867004897746170e+02, 2.233783649254776e+01, 1.850271783500030e+05, -2.695683923824219e-02, 2.701768538996963e-02, 5.238009526834342e+04, 2.379724556112000e+02, 1.214433931633630e+00, -1.078233599706932e+00
16, -1.623537062588150e-01, 1.475862632752501e-02, 7.743014871736688e-01, 2.881954334780224e+02, 2.168280893694402e+01, 1.871440024110081e+05, -3.622904198359369e-02, 4.719127695221233e-02, 5.328286464667563e+04, 2.390457708054972e+02, 1.202541158898080e+00, -1.058346008100797e+00
17, -1.519074769749321e-01, 1.552913486445342e-02, 7.828057774583899e-01, 2.894892322537203e+02, 2.100157544962622e+01, 1.890047635145538e+05, -4.566479339674996e-02, 7.376729557545841e-02, 5.407802702164778e+04, 2.399774357243121e+02, 1.192259604988036e+00, -1.040828948978539e+00
18, -1.410097713276135e-01, 1.630264065807863e-02, 7.902600321166464e-01, 2.906156362095372e+02, 2.029985073489140e+01, 1.906391788589860e+05, -5.525317067727806e-02, 1.070625354876895e-01, 5.477678396224551e+04, 2.407853750165369e+02, 1.183391952403787e+00, -1.025435656959450e+00
19, -1.296923094529879e-01, 1.707421618044200e-02, 7.968158533589021e-01, 2.916090137595929e+02, 1.958649538186604e+01, 1.920812173187297e+05, -6.497161180423605e-02, 1.474230381713083e-01, 5.539228908325755e+04, 2.414876574962918e+02, 1.175738453164776e+00, -1.011876363997181e+00
20, -1.179887334501637e-01, 1.783937414601871e-02, 8.025930963079092e-01, 2.924987002243354e+02, 1.886698942698997e+01, 1.933580147085880e+05, -7.478794803297371e-02, 1.952159577937726e-01, 5.593473543479220e+04, 2.420971967313004e+02, 1.169157473435350e+00, -9.999265219151552e-01
21, -1.059332080467234e-01, 1.859373463781248e-02, 8.076708008403491e-01, 2.933066887071474e+02, 1.814580240469794e+01, 1.944876873251839e+05, -8.465360692612439e-02, 2.508555446836527e-01, 5.641059905316684e+04, 2.426218564880677e+02, 1.163563082861382e+00, -9.894434666303874e-01
22, -9.356149906347505e-02, 1.933340537034845e-02, 8.121111752662847e-01, 2.940325122279396e+02, 1.742538269841603e+01, 1.954824169656669e+05, -9.448920725773653e-02, 3.148016819642038e-01, 5.682673889737896e+04, 2.430753050539935e+02, 1.158800157145333e+00, -9.802760984504649e-01
23, -8.090981967757266e-02, 2.005459938973091e-02, 8.160953335540715e-01, 2.946808786883012e+02, 1.670692028771906e+01, 1.963786488040001e+05, -1.041652120019917e-01, 3.875009641095228e-01, 5.720200735144188e+04, 2.434859842882007e+02, 1.154539291033655e+00, -9.720091080803925e-01
24, -6.801569375563486e-02, 2.075392739537976e-02, 8.199132989413112e-01, 2.953166419019697e+02, 1.599517473040544e+01, 1.972416468686004e+05, -1.135476460407354e-01, 4.692033990704483e-01, 5.756080172161740e+04, 2.438723121181094e+02, 1.150568853867300e+00, -9.641050341542109e-01
25, -5.491714661066637e-02, 2.142816522632051e-02, 8.236087339738877e-01, 2.961691740715316e+02, 1.530117073296281e+01, 1.981060605499359e+05, -1.225148778834174e-01, 5.602837426199765e-01, 5.788512144547490e+04, 2.441459911121140e+02, 1.147917593681277e+00, -9.569604207316690e-01
26, -4.165308109271716e-02, 2.207443635989464e-02, 8.255518320192802e-01, 2.971925482677471e+02, 1.462072438080156e+01, 1.986568423114420e+05, -1.308671580138364e-01, 6.612192259723497e-01, 5.801352613166105e+04, 2.441116520800069e+02, 1.149111077694615e+00, -9.541317249202298e-01
27, -2.826283544656086e-02, 2.269010222244599e-02, 8.242499351786327e-01, 2.987109152821363e+02, 1.396471816393176e+01, 1.986239620363743e+05, -1.382629826278521e-01, 7.723591192801017e-01, 5.775150018134687e+04, 2.433929198384586e+02, 1.158377327544056e+00, -9.599040353409538e-01
28, -1.478639282130230e-02, 2.327292935487770e-02, 8.189196528901513e-01, 3.005852739430900e+02, 1.332778494663184e+01, 1.978115885758802e+05, -1.442785264834730e-01, 8.935853072290088e-01, 5.701522910617154e+04, 2.418539430780768e+02, 1.176830967459197e+00, -9.761237463833768e-01
29, -1.264022218398969e-03, 2.382105579928363e-02, 8.223516420413868e-01, 3.031840306835384e+02, 1.274636196229408e+01, 1.988533235792980e+05, -1.485613443836317e-01, 1.024318537280804e+00, 5.714628052631280e+04, 2.413981831041218e+02, 1.183049748427806e+00, -9.732367442478056e-01
30, 1.226362889256654e-02, 2.433328305699725e-02, 8.541181282143796e-01, 2.979990361160858e+02, 1.192560751404914e+01, 2.048462455386488e+05, -1.509556749472469e-01, 1.163662756906676e+00, 6.111101716745851e+04, 2.485450767837082e+02, 1.103264393514986e+00, -8.858954309096764e-01
31, 2.575573316726558e-02, 2.480911462182233e-02, 1.018021415319263e+00, 2.818029907168602e+02, 1.092787679777790e+01, 2.377590849473376e+05, -1.515329260208195e-01, 1.310793322887399e+00, 7.947874772969398e+04, 2.712050011848450e+02, 8.379226086560604e-01, -4.812628271453689e-01
32, 3.917171350945888e-02, 2.524967041102952e-02, 1.222995749036253e+00, 2.776227572141471e+02, 1.059414416940374e+01, 2.815178428023332e+05, -1.504063717583852e-01, 1.465485729635090e+00, 9.998458609821842e+04, 2.839956564578354e+02, 6.714721819116983e-01, -2.952869791736227e-02
33, 5.247160087116107e-02, 2.565679614676622e-02, 1.267481055107082e+00, 2.778343714347197e+02, 1.027009737901302e+01, 2.912606810926743e+05, -1.474742831496892e-01, 1.627669724007390e+00, 1.043072597023634e+05, 2.858753119533539e+02, 6.462349691893829e-01, 6.569780106366128e-02
34, 6.561627347843403e-02, 2.603158218845794e-02, 1.253404282531196e+00, 2.776517541899893e+02, 9.901591917708229e+00, 2.882573147424723e+05, -1.425612525847910e-01, 1.796428896812564e+00, 1.029863032073960e+05, 2.854249193284895e+02, 6.535473657680555e-01, 3.659774081359531e-02
35, 7.856692880021308e-02, 2.637498668931513e-02, 1.242513176467563e+00, 2.773931880011664e+02, 9.547754895633979e+00, 2.859173835395480e+05, -1.356378947252136e-01, 1.970661100198460e+00, 1.019665794267054e+05, 2.850758578712311e+02, 6.590364735045688e-01, 1.413369784959523e-02
36, 9.128550794403203e-02, 2.668790686866194e-02, 1.244385373478771e+00, 2.764471735408173e+02, 9.227473803160207e+00, 2.863068713893064e+05, -1.267673482491773e-01, 2.149312875048114e+00, 1.022262063973057e+05, 2.853717239899930e+02, 6.554376181550837e-01, 1.985315985746311e-02
37, 1.037343437400465e-01, 2.697124481997739e-02, 1.248818268472637e+00, 2.753776806902187e+02, 8.938480390472607e+00, 2.872521202517573e+05, -1.160496327863453e-01, 2.331317232064940e+00, 1.027433123934683e+05, 2.857971620987624e+02, 6.500802615209563e-01, 3.124476563807034e-02
38, 1.158769916241967e-01, 2.722586522971759e-02, 1.251225608303124e+00, 2.743809788750649e+02, 8.665475027670757e+00, 2.877677822623542e+05, -1.036019021121795e-01, 2.515546986174678e+00, 1.030613217181556e+05, 2.861301850146868e+02, 6.460866920620429e-01, 3.825036388732322e-02
39, 1.276773972043803e-01, 2.745261624547229e-02, 1.253198033063410e+00, 2.737167972843545e+02, 8.417997443435564e+00, 2.882173317843525e+05, -8.956515428621015e-02, 2.700800335737068e+00, 1.033188724681872e+05, 2.863937563056501e+02, 6.431955612894916e-01, 4.392408771692886e-02
