"PointID","x","y","Displacement_x","Displacement_y","Sxx","Syy","Sxy","Von_Mises_Stress"
0,0.000000000000000e+00,-5.000000000000000e-04,0.000000000000000e+00,0.000000000000000e+00,-7.479320124887570e+02,-4.989204286065337e+02,-1.192857405850530e+02,3.448523169926971e+02,
1,1.600000000000000e-02,-5.000000000000000e-04,-5.080202361984725e-04,-3.079235380638644e-03,-1.478258666902663e+00,-7.909182590963019e-01,-2.331883112705616e-01,8.306286717037162e-01,
2,1.600000000000000e-02,5.000000000000000e-04,-2.197193421169833e-04,-3.121697169732774e-03,5.297368506596596e-01,6.861687073668707e-01,-3.384771352708676e-01,6.947935018388975e-01,
3,0.000000000000000e+00,5.000000000000000e-04,0.000000000000000e+00,0.000000000000000e+00,7.271653173695008e+02,4.846258501764244e+02,-1.240763185297232e+02,3.469944155542833e+02,
4,1.333333333330364e-04,-5.000000000000000e-04,-2.177369601437422e-06,-2.120701347902171e-06,-4.186528312848717e+02,1.312542997852553e+00,-3.153205498038783e+01,4.246739897398633e+02,
5,2.666666666660728e-04,-5.000000000000000e-04,-4.451778537958213e-06,-3.247346375091261e-06,-4.619046110348369e+02,-4.733074756022870e+01,7.027386699538910e+00,4.148120356638203e+02,
6,3.999999999991092e-04,-5.000000000000000e-04,-6.748353811614059e-06,-4.837189089539101e-06,-4.664129507182988e+02,-4.462959342347465e+01,6.926153193015482e+00,4.220107663118392e+02,
7,5.333333333321455e-04,-5.000000000000000e-04,-9.101880511609884e-06,-6.983239378292846e-06,-4.768312446184830e+02,-5.225774104281400e+01,8.102612422649401e+00,4.248826535065949e+02,
8,6.666666666651819e-04,-5.000000000000000e-04,-1.147415272653434e-05,-9.744204573632914e-06,-4.779462962299795e+02,-5.433626472231813e+01,9.287316618320002e+00,4.240170701679327e+02,
9,7.999999999982184e-04,-5.000000000000000e-04,-1.385162393894800e-05,-1.312504776606290e-05,-4.757382244661300e+02,-5.502637200193460e+01,1.087433263828354e+01,4.212736251477976e+02,
10,9.333333333312547e-04,-5.000000000000000e-04,-1.622907884382804e-05,-1.712235895101718e-05,-4.719433946165809e+02,-5.494199783064399e+01,1.259377215892835e+01,4.177613880077794e+02,
11,1.066666666664291e-03,-5.000000000000000e-04,-1.860643055243656e-05,-2.173000167918906e-05,-4.676207801202827e+02,-5.462640554676068e+01,1.434393084015460e+01,4.139895491883378e+02,
12,1.199999999997328e-03,-5.000000000000000e-04,-2.098545606301415e-05,-2.694182791514918e-05,-4.631403256424869e+02,-5.424658164802267e+01,1.606886896173756e+01,4.101547611288310e+02,
13,1.333333333330364e-03,-5.000000000000000e-04,-2.336855737112399e-05,-3.275196688376898e-05,-4.586311477918348e+02,-5.386617724656427e+01,1.774857260914447e+01,4.063185064689548e+02,
14,1.466666666663400e-03,-5.000000000000000e-04,-2.575824080601335e-05,-3.915477690659798e-05,-4.541233768415109e+02,-5.349997791516996e+01,1.937656060169982e+01,4.024933691010319e+02,
15,1.599999999996437e-03,-5.000000000000000e-04,-2.815695717245949e-05,-4.614473204524386e-05,-4.496188926789004e+02,-5.314919750498375e+01,2.095168595343434e+01,3.986779549567090e+02,
16,1.733333333329473e-03,-5.000000000000000e-04,-3.056706476003195e-05,-5.371635163814938e-05,-4.451138296403054e+02,-5.281168865155946e+01,2.247434116255734e+01,3.948687805678210e+02,
17,1.866666666662509e-03,-5.000000000000000e-04,-3.299083048328006e-05,-6.186416525952788e-05,-4.406051418442124e+02,-5.248531990972413e+01,2.394523707507891e+01,3.910632860456039e+02,
