"PointID","x","y","Adjoint_Temperature","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
21, 1.712083845291965e-02, 1.700000000000000e-03, 3.223945274199046e-17, -1.163771569796204e-16, -1.507813253923029e-14, -1.507813253923029e-14
22, 1.707105512163759e-02, 1.700000000000000e-03, 3.711017955262656e-17, -1.320591778402470e-16, -1.710069944401443e-14, -1.710069944401443e-14
23, 1.702127179035554e-02, 1.700000000000000e-03, 4.225932190863781e-17, -1.480997514003400e-16, -1.880890465927520e-14, -1.880890465927520e-14
24, 1.697148845907348e-02, 1.700000000000000e-03, 4.762489826611232e-17, -1.647997359237303e-16, -2.018256794986225e-14, -2.018256794986225e-14
25, 1.692170512779142e-02, 1.700000000000000e-03, 5.315386592889835e-17, -1.820573196200423e-16, -2.124675061800702e-14, -2.124675061800701e-14
26, 1.687192179650936e-02, 1.700000000000000e-03, 5.880405232982473e-17, -1.998432658670317e-16, -2.204737730549735e-14, -2.204737730549735e-14
27, 1.682213846522730e-02, 1.700000000000000e-03, 6.454335791806346e-17, -2.180570099922999e-16, -2.263191999214813e-14, -2.263191999214813e-14
28, 1.677235513394524e-02, 1.700000000000000e-03, 7.034637735372906e-17, -2.365583328056835e-16, -2.304178493927447e-14, -2.304178493927447e-14
29, 1.672257180266318e-02, 1.700000000000000e-03, 7.619311505756713e-17, -2.552058764737158e-16, -2.331307162924639e-14, -2.331307162924639e-14
30, 1.667278847138112e-02, 1.700000000000000e-03, 8.206787537675235e-17, -2.738752750984702e-16, -2.347580178866324e-14, -2.347580178866324e-14
31, 1.662300514009906e-02, 1.700000000000000e-03, 8.795835788191138e-17, -2.924653992213729e-16, -2.355428435262044e-14, -2.355428435262044e-14
32, 1.657322180881701e-02, 1.700000000000000e-03, 9.385495965841093e-17, -3.108980753247756e-16, -2.356786764757217e-14, -2.356786764757217e-14
33, 1.652343847753494e-02, 1.700000000000000e-03, 9.975020814127990e-17, -3.291146397891393e-16, -2.353168379053289e-14, -2.353168379053289e-14
34, 1.647365514625289e-02, 1.700000000000000e-03, 1.056382836207930e-16, -3.470715899288905e-16, -2.345735495953963e-14, -2.345735495953963e-14
35, 1.642387181497083e-02, 1.700000000000000e-03, 1.115146210133326e-16, -3.647365554539281e-16, -2.335366469340425e-14, -2.335366469340425e-14
36, 1.637408848368877e-02, 1.700000000000000e-03, 1.173755899601385e-16, -3.820850696148759e-16, -2.322717325582463e-14, -2.322717325582463e-14
37, 1.632430515240671e-02, 1.700000000000000e-03, 1.232182484908988e-16, -3.990981783344143e-16, -2.308274798468337e-14, -2.308274798468337e-14
38, 1.627452182112465e-02, 1.700000000000000e-03, 1.290401596152165e-16, -4.157607440261616e-16, -2.292399332263200e-14, -2.292399332263200e-14
39, 1.622473848984260e-02, 1.700000000000000e-03, 1.348392576312155e-16, -4.320602696903921e-16, -2.275358343595900e-14, -2.275358343595900e-14
40, 1.617495515856053e-02, 1.700000000000000e-03, 1.406137516468240e-16, -4.479860956177793e-16, -2.257351160407490e-14, -2.257351160407490e-14
41, 1.612517182727848e-02, 1.700000000000000e-03, 1.463620561055495e-16, -4.635288586710274e-16, -2.238527393108840e-14, -2.238527393108840e-14
42, 1.607538849599642e-02, 1.700000000000000e-03, 1.520827406446483e-16, -4.786801345338683e-16, -2.219000357404348e-14, -2.219000357404348e-14
43, 1.602560516471436e-02, 1.700000000000000e-03, 1.577744937648421e-16, -4.934322065902957e-16, -2.198856858002683e-14, -2.198856858002683e-14
44, 1.597582183343230e-02, 1.700000000000000e-03, 1.634360964099964e-16, -5.077779215881459e-16, -2.178164323347284e-14, -2.178164323347284e-14
45, 1.592603850215024e-02, 1.700000000000000e-03, 1.690664027042441e-16, -5.217106036264150e-16, -2.156976016511596e-14, -2.156976016511596e-14
46, 1.587625517086818e-02, 1.700000000000000e-03, 1.746643258936007e-16, -5.352240066380575e-16, -2.135334846771214e-14, -2.135334846771214e-14
47, 1.582647183958612e-02, 1.700000000000000e-03, 1.802288280922114e-16, -5.483122913368882e-16, -2.113276160475492e-14, -2.113276160475492e-14
48, 1.577668850830406e-02, 1.700000000000000e-03, 1.857589128202455e-16, -5.609700175912066e-16, -2.090829785317189e-14, -2.090829785317189e-14
49, 1.572690517702201e-02, 1.700000000000000e-03, 1.912536195949224e-16, -5.731921456465504e-16, -2.068021527337198e-14, -2.068021527337198e-14
50, 1.567712184573995e-02, 1.700000000000000e-03, 1.967120200317403e-16, -5.849740418831861e-16, -2.044874266196434e-14, -2.044874266196434e-14
51, 1.562733851445789e-02, 1.700000000000000e-03, 2.021332150569319e-16, -5.963114868057602e-16, -2.021408755343614e-14, -2.021408755343614e-14
52, 1.557755518317583e-02, 1.700000000000000e-03, 2.075163329362287e-16, -6.072006833427220e-16, -1.997644205337176e-14, -1.997644205337176e-14
53, 1.552777185189377e-02, 1.700000000000000e-03, 2.128605279011547e-16, -6.176382645970621e-16, -1.973598707852065e-14, -1.973598707852065e-14
54, 1.547798852061171e-02, 1.700000000000000e-03, 2.181649792120357e-16, -6.276213005491403e-16, -1.949289542680663e-14, -1.949289542680663e-14
55, 1.542820518932965e-02, 1.700000000000000e-03, 2.234288905382965e-16, -6.371473033038480e-16, -1.924733398835493e-14, -1.924733398835493e-14
56, 1.537842185804760e-02, 1.700000000000000e-03, 2.286514895674388e-16, -6.462142310635329e-16, -1.899946532638832e-14, -1.899946532638832e-14
57, 1.532863852676554e-02, 1.700000000000000e-03, 2.338320277777190e-16, -6.548204905158508e-16, -1.874944879620795e-14, -1.874944879620795e-14
58, 1.527885519548348e-02, 1.700000000000000e-03, 2.389697803261170e-16, -6.629649379057509e-16, -1.849744132576194e-14, -1.849744132576194e-14
59, 1.522907186420142e-02, 1.700000000000000e-03, 2.440640460164512e-16, -6.706468789735363e-16, -1.824359794866694e-14, -1.824359794866694e-14
60, 1.517928853291936e-02, 1.700000000000000e-03, 2.491141473204835e-16, -6.778660675595790e-16, -1.798807215631227e-14, -1.798807215631227e-14
61, 1.512950520163730e-02, 1.700000000000000e-03, 2.541194304333360e-16, -6.846227032134658e-16, -1.773101611795962e-14, -1.773101611795962e-14
62, 1.507972187035524e-02, 1.700000000000000e-03, 2.590792653488464e-16, -6.909174278548392e-16, -1.747258080480035e-14, -1.747258080480034e-14
63, 1.502993853907318e-02, 1.700000000000000e-03, 2.639930459438417e-16, -6.967513215620336e-16, -1.721291604433022e-14, -1.721291604433022e-14
64, 1.498015520779113e-02, 1.700000000000000e-03, 2.688601900641956e-16, -7.021258973562190e-16, -1.695217052440359e-14, -1.695217052440359e-14
65, 1.493037187650907e-02, 1.700000000000000e-03, 2.736801396064513e-16, -7.070430955810280e-16, -1.669049176117971e-14, -1.669049176117971e-14
66, 1.488058854522701e-02, 1.700000000000000e-03, 2.784523605911630e-16, -7.115052772464527e-16, -1.642802604144866e-14, -1.642802604144866e-14
67, 1.483080521394495e-02, 1.700000000000000e-03, 2.831763432247697e-16, -7.155152169149651e-16, -1.616491834700674e-14, -1.616491834700674e-14
68, 1.478102188266289e-02, 1.700000000000000e-03, 2.878516019479622e-16, -7.190760949764430e-16, -1.590131226675034e-14, -1.590131226675034e-14
69, 1.473123855138083e-02, 1.700000000000000e-03, 2.924776754685114e-16, -7.221914892684583e-16, -1.563734990072400e-14, -1.563734990072400e-14
70, 1.468145522009878e-02, 1.700000000000000e-03, 2.970541267780528e-16, -7.248653663271602e-16, -1.537317175911906e-14, -1.537317175911906e-14
71, 1.463167188881672e-02, 1.700000000000000e-03, 3.015805431514812e-16, -7.271020718767906e-16, -1.510891665865948e-14, -1.510891665865948e-14
72, 1.458188855753466e-02, 1.700000000000000e-03, 3.060565361288248e-16, -7.289063212570336e-16, -1.484472161797469e-14, -1.484472161797469e-14
73, 1.453210522625259e-02, 1.700000000000000e-03, 3.104817414790584e-16, -7.302831890234836e-16, -1.458072175328752e-14, -1.458072175328752e-14
74, 1.448232189497054e-02, 1.700000000000000e-03, 3.148558191460435e-16, -7.312380983925732e-16, -1.431705017542789e-14, -1.431705017542789e-14
75, 1.443253856368848e-02, 1.700000000000000e-03, 3.191784531757915e-16, -7.317768101528621e-16, -1.405383788882501e-14, -1.405383788882501e-14
76, 1.438275523240642e-02, 1.700000000000000e-03, 3.234493516257010e-16, -7.319054114121894e-16, -1.379121369307890e-14, -1.379121369307890e-14
77, 1.433297190112437e-02, 1.700000000000000e-03, 3.276682464563031e-16, -7.316303038648116e-16, -1.352930408755940e-14, -1.352930408755940e-14
78, 1.428318856984230e-02, 1.700000000000000e-03, 3.318348934041145e-16, -7.309581916360104e-16, -1.326823317935421e-14, -1.326823317935421e-14
79, 1.423340523856025e-02, 1.700000000000000e-03, 3.359490718376244e-16, -7.298960692153537e-16, -1.300812259482322e-14, -1.300812259482322e-14
80, 1.418362190727819e-02, 1.700000000000000e-03, 3.400105845955321e-16, -7.284512088569293e-16, -1.274909139494272e-14, -1.274909139494272e-14
81, 1.413383857599613e-02, 1.700000000000000e-03, 3.440192578075472e-16, -7.266311476641792e-16, -1.249125599466736e-14, -1.249125599466736e-14
82, 1.408405524471407e-02, 1.700000000000000e-03, 3.479749406990129e-16, -7.244436749334088e-16, -1.223473008640007e-14, -1.223473008640007e-14
83, 1.403427191343201e-02, 1.700000000000000e-03, 3.518775053781670e-16, -7.218968186084714e-16, -1.197962456766799e-14, -1.197962456766799e-14
84, 1.398448858214995e-02, 1.700000000000000e-03, 3.557268466078871e-16, -7.189988323195423e-16, -1.172604747312669e-14, -1.172604747312669e-14
85, 1.393470525086789e-02, 1.700000000000000e-03, 3.595228815611451e-16, -7.157581816779487e-16, -1.147410391092364e-14, -1.147410391092364e-14
86, 1.388492191958583e-02, 1.700000000000000e-03, 3.632655495613718e-16, -7.121835308303335e-16, -1.122389600348885e-14, -1.122389600348885e-14
87, 1.383513858830377e-02, 1.700000000000000e-03, 3.669548118073605e-16, -7.082837287366192e-16, -1.097552283280538e-14, -1.097552283280538e-14
88, 1.378535525702172e-02, 1.700000000000000e-03, 3.705906510840733e-16, -7.040677955671353e-16, -1.072908039015295e-14, -1.072908039015294e-14
89, 1.373557192573966e-02, 1.700000000000000e-03, 3.741730714584925e-16, -6.995449087344611e-16, -1.048466153038762e-14, -1.048466153038762e-14
90, 1.368578859445760e-02, 1.700000000000000e-03, 3.777020979622329e-16, -6.947243893054231e-16, -1.024235593072048e-14, -1.024235593072048e-14
91, 1.363600526317554e-02, 1.700000000000000e-03, 3.811777762608152e-16, -6.896156879389584e-16, -1.000225005404517e-14, -1.000225005404517e-14
92, 1.358622193189348e-02, 1.700000000000000e-03, 3.846001723094370e-16, -6.842283714620661e-16, -9.764427116742344e-15, -9.764427116742344e-15
93, 1.353643860061142e-02, 1.700000000000000e-03, 3.879693719969417e-16, -6.785721087598694e-16, -9.528967061023539e-15, -9.528967061023539e-15
94, 1.348665526932936e-02, 1.700000000000000e-03, 3.912854807771915e-16, -6.726566573257912e-16, -9.295946531716083e-15, -9.295946531716083e-15
95, 1.343687193804731e-02, 1.700000000000000e-03, 3.945486232895638e-16, -6.664918496583448e-16, -9.065438857515477e-15, -9.065438857515477e-15
96, 1.338708860676525e-02, 1.700000000000000e-03, 3.977589429675778e-16, -6.600875796175816e-16, -8.837514036626139e-15, -8.837514036626139e-15
97, 1.333730527548319e-02, 1.700000000000000e-03, 4.009166016374564e-16, -6.534537891705642e-16, -8.612238726794094e-15, -8.612238726794094e-15
98, 1.328752194420113e-02, 1.700000000000000e-03, 4.040217791065359e-16, -6.466004550046959e-16, -8.389676239650985e-15, -8.389676239650985e-15
99, 1.323773861291907e-02, 1.700000000000000e-03, 4.070746727416858e-16, -6.395375756319356e-16, -8.169886539292847e-15, -8.169886539292847e-15
100, 1.318795528163701e-02, 1.700000000000000e-03, 4.100754970389926e-16, -6.322751583121664e-16, -7.952926245084857e-15, -7.952926245084857e-15
101, 1.313817195035496e-02, 1.700000000000000e-03, 4.130244831845210e-16, -6.248232063057474e-16, -7.738848638630010e-15, -7.738848638630010e-15
102, 1.308838861907290e-02, 1.700000000000000e-03, 4.159218786068070e-16, -6.171917065106838e-16, -7.527703674732420e-15, -7.527703674732420e-15
103, 1.303860528779083e-02, 1.700000000000000e-03, 4.187679465215459e-16, -6.093906169367955e-16, -7.319537996420667e-15, -7.319537996420667e-15
104, 1.298882195650878e-02, 1.700000000000000e-03, 4.215629654697748e-16, -6.014298547226462e-16, -7.114394953840959e-15, -7.114394953840959e-15
105, 1.293903862522672e-02, 1.700000000000000e-03, 4.243072288484627e-16, -5.933192843498724e-16, -6.912314626995093e-15, -6.912314626995093e-15
106, 1.288925529394466e-02, 1.700000000000000e-03, 4.270010444349714e-16, -5.850687059763727e-16, -6.713333852198216e-15, -6.713333852198216e-15
107, 1.283947196266260e-02, 1.700000000000000e-03, 4.296447339062325e-16, -5.766878441725179e-16, -6.517486252189786e-15, -6.517486252189786e-15
108, 1.278968863138054e-02, 1.700000000000000e-03, 4.322386323519552e-16, -5.681863369032975e-16, -6.324802269791135e-15, -6.324802269791135e-15
109, 1.273990530009849e-02, 1.700000000000000e-03, 4.347830877838079e-16, -5.595737248137802e-16, -6.135309205006786e-15, -6.135309205006786e-15
110, 1.269012196881643e-02, 1.700000000000000e-03, 4.372784606391724e-16, -5.508594407598248e-16, -5.949031255473955e-15, -5.949031255473955e-15
111, 1.264033863753437e-02, 1.700000000000000e-03, 4.397251232819431e-16, -5.420527997409028e-16, -5.765989560145657e-15, -5.765989560145657e-15
112, 1.259055530625230e-02, 1.700000000000000e-03, 4.421234594991407e-16, -5.331629890663797e-16, -5.586202246092251e-15, -5.586202246092251e-15
113, 1.254077197497025e-02, 1.700000000000000e-03, 4.444738639954000e-16, -5.241990589953496e-16, -5.409684478349406e-15, -5.409684478349406e-15
114, 1.249098864368819e-02, 1.700000000000000e-03, 4.467767418840980e-16, -5.151699135479186e-16, -5.236448512640660e-15, -5.236448512640660e-15
115, 1.244120531240613e-02, 1.700000000000000e-03, 4.490325081764256e-16, -5.060843017310819e-16, -5.066503750899344e-15, -5.066503750899344e-15
116, 1.239142198112408e-02, 1.700000000000000e-03, 4.512415872695372e-16, -4.969508091291402e-16, -4.899856799463631e-15, -4.899856799463631e-15
117, 1.234163864984202e-02, 1.700000000000000e-03, 4.534044124326190e-16, -4.877778498314599e-16, -4.736511529828352e-15, -4.736511529828352e-15
118, 1.229185531855996e-02, 1.700000000000000e-03, 4.555214252925797e-16, -4.785736587666263e-16, -4.576469141811892e-15, -4.576469141811892e-15
119, 1.224207198727789e-02, 1.700000000000000e-03, 4.575930753190874e-16, -4.693462842971282e-16, -4.419728229048961e-15, -4.419728229048961e-15
120, 1.219228865599584e-02, 1.700000000000000e-03, 4.596198193100621e-16, -4.601035812507405e-16, -4.266284846675740e-15, -4.266284846675740e-15
121, 1.214250532471378e-02, 1.700000000000000e-03, 4.616021208771838e-16, -4.508532043984002e-16, -4.116132581064008e-15, -4.116132581064008e-15
122, 1.209272199343172e-02, 1.700000000000000e-03, 4.635404499317890e-16, -4.416026020775093e-16, -3.969262621506601e-15, -3.969262621506601e-15
123, 1.204293866214966e-02, 1.700000000000000e-03, 4.654352821729083e-16, -4.323590104134901e-16, -3.825663833732121e-15, -3.825663833732121e-15
124, 1.199315533086760e-02, 1.700000000000000e-03, 4.672870985761811e-16, -4.231294478399311e-16, -3.685322835091617e-15, -3.685322835091617e-15
125, 1.194337199958554e-02, 1.700000000000000e-03, 4.690963848845916e-16, -4.139207099412123e-16, -3.548224071326673e-15, -3.548224071326673e-15
126, 1.189358866830349e-02, 1.700000000000000e-03, 4.708636311020067e-16, -4.047393646962720e-16, -3.414349894797871e-15, -3.414349894797872e-15
127, 1.184380533702143e-02, 1.700000000000000e-03, 4.725893309885827e-16, -3.955917481111140e-16, -3.283680644010265e-15, -3.283680644010264e-15
128, 1.179402200573937e-02, 1.700000000000000e-03, 4.742739815595091e-16, -3.864839601983845e-16, -3.156194724348444e-15, -3.156194724348444e-15
129, 1.174423867445731e-02, 1.700000000000000e-03, 4.759180825871842e-16, -3.774218613910623e-16, -3.031868689883117e-15, -3.031868689883117e-15
130, 1.169445534317526e-02, 1.700000000000000e-03, 4.775221361064749e-16, -3.684110691797913e-16, -2.910677326136309e-15, -2.910677326136309e-15
131, 1.164467201189319e-02, 1.700000000000000e-03, 4.790866459238360e-16, -3.594569552378861e-16, -2.792593733650603e-15, -2.792593733650603e-15
132, 1.159488868061113e-02, 1.700000000000000e-03, 4.806121171308564e-16, -3.505646428184377e-16, -2.677589412283518e-15, -2.677589412283518e-15
133, 1.154510534932907e-02, 1.700000000000000e-03, 4.820990556222960e-16, -3.417390045500206e-16, -2.565634346054538e-15, -2.565634346054538e-15
134, 1.149532201804702e-02, 1.700000000000000e-03, 4.835479676181240e-16, -3.329846606071119e-16, -2.456697088452588e-15, -2.456697088452588e-15
135, 1.144553868676496e-02, 1.700000000000000e-03, 4.849593591909657e-16, -3.243059771278931e-16, -2.350744848045598e-15, -2.350744848045598e-15
136, 1.139575535548290e-02, 1.700000000000000e-03, 4.863337357984367e-16, -3.157070649281537e-16, -2.247743574293878e-15, -2.247743574293877e-15
137, 1.134597202420084e-02, 1.700000000000000e-03, 4.876716018208570e-16, -3.071917787988404e-16, -2.147658043377985e-15, -2.147658043377985e-15
138, 1.129618869291878e-02, 1.700000000000000e-03, 4.889734601045638e-16, -2.987637167318430e-16, -2.050451943947899e-15, -2.050451943947899e-15
139, 1.124640536163672e-02, 1.700000000000000e-03, 4.902398115102571e-16, -2.904262197890335e-16, -1.956087962594787e-15, -1.956087962594787e-15
140, 1.119662203035466e-02, 1.700000000000000e-03, 4.914711544677201e-16, -2.821823719653331e-16, -1.864527868893384e-15, -1.864527868893384e-15
141, 1.114683869907260e-02, 1.700000000000000e-03, 4.926679845356938e-16, -2.740350005791238e-16, -1.775732599824984e-15, -1.775732599824984e-15
142, 1.109705536779055e-02, 1.700000000000000e-03, 4.938307939680631e-16, -2.659866766175120e-16, -1.689662343365378e-15, -1.689662343365378e-15
143, 1.104727203650849e-02, 1.700000000000000e-03, 4.949600712847979e-16, -2.580397156388431e-16, -1.606276620967291e-15, -1.606276620967291e-15
144, 1.099748870522643e-02, 1.700000000000000e-03, 4.960563008489881e-16, -2.501961784769111e-16, -1.525534368684235e-15, -1.525534368684235e-15
145, 1.094770537394437e-02, 1.700000000000000e-03, 4.971199624486732e-16, -2.424578724105020e-16, -1.447394016541533e-15, -1.447394016541533e-15
146, 1.089792204266231e-02, 1.700000000000000e-03, 4.981515308827456e-16, -2.348263520752037e-16, -1.371813565772685e-15, -1.371813565772685e-15
147, 1.084813871138025e-02, 1.700000000000000e-03, 4.991514755510271e-16, -2.273029206950398e-16, -1.298750663344946e-15, -1.298750663344946e-15
148, 1.079835538009820e-02, 1.700000000000000e-03, 5.001202600461383e-16, -2.198886308923405e-16, -1.228162673172102e-15, -1.228162673172102e-15
149, 1.074857204881614e-02, 1.700000000000000e-03, 5.010583417464098e-16, -2.125842854712751e-16, -1.160006743155810e-15, -1.160006743155810e-15
150, 1.069878871753407e-02, 1.700000000000000e-03, 5.019661714066230e-16, -2.053904375867139e-16, -1.094239867055426e-15, -1.094239867055426e-15
151, 1.064900538625202e-02, 1.700000000000000e-03, 5.028441927446893e-16, -1.983073903394914e-16, -1.030818939845695e-15, -1.030818939845695e-15
152, 1.059922205496996e-02, 1.700000000000000e-03, 5.036928420180799e-16, -1.913351952242184e-16, -9.697008049176613e-16, -9.697008049176613e-16
153, 1.054943872368790e-02, 1.700000000000000e-03, 5.045125475846583e-16, -1.844736491480816e-16, -9.108422909368070e-16, -9.108422909368070e-16
154, 1.049965539240584e-02, 1.700000000000000e-03, 5.053037294401094e-16, -1.777222892376737e-16, -8.542002355927843e-16, -8.542002355927843e-16
155, 1.044987206112379e-02, 1.700000000000000e-03, 5.060667987190972e-16, -1.710803847202016e-16, -7.997314925425963e-16, -7.997314925425963e-16
156, 1.040008872984173e-02, 1.700000000000000e-03, 5.068021571445143e-16, -1.645469244561585e-16, -7.473929167595402e-16, -7.473929167595402e-16
157, 1.035030539855967e-02, 1.700000000000000e-03, 5.075101964023140e-16, -1.581205985557311e-16, -6.971413218872301e-16, -6.971413218872302e-16
158, 1.030052206727761e-02, 1.700000000000000e-03, 5.081912974114001e-16, -1.517997716604718e-16, -6.489334011048641e-16, -6.489334011048641e-16
159, 1.025073873599555e-02, 1.700000000000000e-03, 5.088458294430713e-16, -1.455824444496949e-16, -6.027256001806592e-16, -6.027256001806592e-16
160, 1.020095540471349e-02, 1.700000000000000e-03, 5.094741490311670e-16, -1.394661983026808e-16, -5.584739276249120e-16, -5.584739276249120e-16
161, 1.015117207343143e-02, 1.700000000000000e-03, 5.100765985847005e-16, -1.334481161668810e-16, -5.161336813688900e-16, -5.161336813688900e-16
162, 1.010138874214937e-02, 1.700000000000000e-03, 5.106535045846140e-16, -1.275246689359391e-16, -4.756590632821987e-16, -4.756590632821987e-16
163, 1.005160541086732e-02, 1.700000000000000e-03, 5.112051751928631e-16, -1.216915505877012e-16, -4.370026393258771e-16, -4.370026393258771e-16
164, 1.000182207958526e-02, 1.700000000000000e-03, 5.117318970335246e-16, -1.159434358850162e-16, -4.001145763365531e-16, -4.001145763365531e-16
165, 9.952038748303192e-03, 1.700000000000000e-03, 5.122339307897506e-16, -1.102736146093417e-16, -3.649415300476311e-16, -3.649415300476311e-16
166, 9.902255417021133e-03, 1.700000000000000e-03, 5.127115050590450e-16, -1.046734212954630e-16, -3.314249654667990e-16, -3.314249654667990e-16
167, 9.852472085739075e-03, 1.700000000000000e-03, 5.131648075814438e-16, -9.913132353499397e-17, -2.994986204298799e-16, -2.994986204298799e-16
168, 9.802688754457018e-03, 1.700000000000000e-03, 5.135939723108282e-16, -9.363141075653299e-17, -2.690846263701461e-16, -2.690846263701461e-16
169, 9.752905423174961e-03, 1.700000000000000e-03, 5.139990466289422e-16, -8.815063521191249e-17, -2.400865798842714e-16, -2.400865798842714e-16
170, 9.703122091892901e-03, 1.700000000000000e-03, 5.143796585290057e-16, -8.265258804586669e-17, -2.123719675533383e-16, -2.123719675533383e-16
171, 9.653338760610846e-03, 1.700000000000000e-03, 5.147313615255011e-16, -7.706879453391010e-17, -1.857129619505158e-16, -1.857129619505158e-16
172, 9.603555429328784e-03, 1.700000000000000e-03, 5.150233718581195e-16, -7.121183092800206e-17, -1.528219251891311e-16, -1.528219251891311e-16
173, 9.553772098046729e-03, 1.700000000000000e-03, 5.151675799545386e-16, -6.803820526941887e-17, 2.187251910918383e-16, 2.187552491125946e-16
174, 9.503989057175503e-03, 1.699955982134311e-03, 5.147167889225888e-16, -1.194131204331419e-16, 1.300748950655243e-15, 1.303157040985048e-15
175, 9.454275842183182e-03, 1.697704654976501e-03, 5.134656218667152e-16, -3.147226339138759e-16, 2.458832838752697e-15, 2.477429040592645e-15
176, 9.405008701162915e-03, 1.690730360103608e-03, 5.132726515399582e-16, -6.028196898887772e-16, 2.881492309866789e-15, 2.943540832957311e-15
177, 9.356696153012300e-03, 1.678816441340789e-03, 5.135053901780673e-16, -8.884805208934855e-16, 2.840448994151977e-15, 2.975928556753319e-15
178, 9.309776247039193e-03, 1.662250180011833e-03, 5.135566326642400e-16, -1.165272774593851e-15, 2.748725153491901e-15, 2.985349078528361e-15
179, 9.264774877383078e-03, 1.641014982593511e-03, 5.137986306202227e-16, -1.432549653490138e-15, 2.627458821716407e-15, 2.992475384530500e-15
180, 9.222049989124148e-03, 1.615509404937148e-03, 5.138000866230566e-16, -1.687093352552873e-15, 2.479891907718900e-15, 2.999254898232780e-15
181, 9.182137851242509e-03, 1.585792511771305e-03, 5.140133402983220e-16, -1.944298450098409e-15, 2.324039619754973e-15, 3.029992430813253e-15
182, 9.145296108395384e-03, 1.552346721462857e-03, 5.138933019325979e-16, -2.167300279193377e-15, 2.125247490641189e-15, 3.035392091650450e-15
183, 9.112178310468667e-03, 1.515205939522626e-03, 5.142980443261095e-16, -2.332172493967128e-15, 1.873165184521436e-15, 2.991250763283725e-15
184, 9.082681181085536e-03, 1.475129938975062e-03, 5.141117424646975e-16, -2.519021015465920e-15, 1.641536646355328e-15, 3.006629918807348e-15
185, 9.057448935201343e-03, 1.432244804039600e-03, 5.142782704302889e-16, -2.681245834719980e-15, 1.394969043307719e-15, 3.022405832621858e-15
186, 9.036542415582337e-03, 1.387088084835689e-03, 5.143014649928842e-16, -2.792794142325624e-15, 1.117292576944046e-15, 3.007982494975639e-15
