"PointID","x","y","Displacement_1","Displacement_2","Velocity_1","Velocity_2","Acceleration_1","Acceleration_2","Sxx","Syy","Sxy","Von_Mises_Stress"
0,5.000000000000000e-03,-3.000000000000000e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-2.632732042845727e+00,-9.214634914267206e-01,-4.211406550104037e-01,1.907322170029508e+00,
1,5.000000000000000e-03,3.000000000000000e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.608807153493065e+00,9.130749345058504e-01,-4.035979413973675e-01,1.878050305958835e+00,
2,6.000000000000000e-03,3.000000000000000e-04,2.063278847679217e-08,-3.193543013950141e-08,3.954695114786876e-05,-6.796846755660573e-05,8.748010596882060e-06,7.616570967373661e-05,2.463003970506253e+00,5.202033174076082e-01,-1.578766350337976e-01,1.968292281455907e+00,
3,6.000000000000000e-03,-3.000000000000000e-04,-2.080761523732060e-08,-3.203918610261417e-08,-3.958180339044471e-05,-6.796673386928249e-05,8.475253939006796e-05,9.605535530485200e-05,-2.472346723891052e+00,-4.788516962039433e-01,-1.575281146441322e-01,2.018237561097941e+00,
4,4.500000000000000e-02,3.000000000000000e-04,4.849081590903523e-07,-4.723971164509669e-05,3.182271050560133e-04,-3.661893227916949e-02,-3.623906374377200e-02,9.220731411445388e-03,1.814102541233312e-02,1.720004361198655e-02,-5.020706608393895e-04,1.376134638211810e-03,
5,4.500000000000000e-02,-3.000000000000000e-04,-5.584679351300321e-07,-4.723874800379805e-05,-4.173806890095860e-04,-3.661767662622753e-02,-3.649393524878195e-02,1.027047897979524e-02,1.911535344417582e-02,1.824458959891963e-02,-1.160567952645356e-04,9.011694586001634e-04,
6,5.000000000000000e-03,-6.775721476948160e-16,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-6.221150490968996e-03,-2.173154145813441e-03,-2.220395555137848e-01,4.440975603687177e-01,
7,5.287157539739163e-03,3.000000000000000e-04,5.359945639295761e-09,-2.569684351380518e-09,1.155352877648403e-05,-6.913846844233776e-06,-1.294093210903803e-07,7.030263762726980e-06,2.582359118432489e+00,4.346284650591310e-01,-1.527198895030427e-02,2.147947833171361e+00,
8,5.618250182314120e-03,3.000000000000000e-04,1.228107776795133e-08,-1.171563723455015e-08,2.499619515638512e-05,-2.705835149558437e-05,2.593344010584810e-06,3.294085619622455e-05,2.820769856232962e+00,5.311466095556843e-01,3.819130223548478e-02,2.290896967126800e+00,
9,6.000000000000000e-03,6.775721476948160e-16,-8.736947489636176e-11,-3.110303899747270e-08,-1.724805549819192e-08,-6.654588261344494e-05,4.706498193572545e-05,8.528643743865904e-05,-4.687217276014011e-03,2.068369131172741e-02,-1.758829248175769e-01,3.526795939264267e-01,
10,5.618250182455814e-03,-3.000000000000000e-04,-1.238154543137234e-08,-1.182356939655591e-08,-2.501554966793149e-05,-2.705952420028299e-05,5.819264622653148e-05,4.801224597345379e-05,-2.827334770433951e+00,-4.879379463159385e-01,3.858285830261565e-02,2.340669145460895e+00,
11,5.287157539191877e-03,-3.000000000000000e-04,-5.407931831565695e-09,-2.678249271408922e-09,-1.156212981820724e-05,-6.916536868582105e-06,2.936849981148499e-05,1.929817107163150e-05,-2.587432170003651e+00,-3.910141732693920e-01,-2.044145283589943e-02,2.196798449643095e+00,
12,6.974999999995934e-03,3.000000000000000e-04,3.530392274666264e-08,-1.217091923062442e-07,6.114156592140063e-05,-2.319759950462838e-04,2.784055533227447e-05,2.159264941845550e-04,2.180696749590742e+00,4.478499160729994e-01,-3.004316090138670e-02,1.733888264710346e+00,
13,7.949999999991868e-03,3.000000000000000e-04,5.243434164230850e-08,-2.638732040281125e-07,8.180282153034257e-05,-4.649586622127255e-04,3.032690041242732e-05,3.699695083845536e-04,2.491496521706749e+00,4.814979684874652e-01,-3.030792776997027e-02,2.010912346644291e+00,
14,8.924999999987804e-03,3.000000000000000e-04,7.168071113988688e-08,-4.657238533319124e-07,1.016543781266557e-04,-7.639199561085734e-04,9.244957658491571e-06,5.150001620976997e-04,2.759578941674991e+00,5.373071416800421e-01,-2.340690704371895e-02,2.222764829270564e+00,
15,9.899999999983738e-03,3.000000000000000e-04,9.259685921536334e-08,-7.334964309760669e-07,1.206584793973405e-04,-1.126323300926002e-03,-4.070542861393355e-05,6.213555781581989e-04,2.967353935350584e+00,5.745731116844299e-01,-1.863250230449576e-02,2.393070987386916e+00,
16,1.087499999997967e-02,3.000000000000000e-04,1.147840922207397e-07,-1.072016149953419e-06,1.388175091721718e-04,-1.549531115859863e-03,-1.259672968859179e-04,6.557130152008220e-04,3.122655355548615e+00,6.035291597405399e-01,-1.374258850339605e-02,2.519276131225308e+00,
17,1.184999999997561e-02,3.000000000000000e-04,1.378607205632976e-07,-1.484866427409769e-06,1.561243220784689e-04,-2.030944712800499e-03,-2.547091255279443e-04,5.901850833624142e-04,3.227955967357014e+00,6.228014541385686e-01,-9.326646532269334e-03,2.605221292536315e+00,
18,1.282499999997154e-02,3.000000000000000e-04,1.614725259634027e-07,-1.974452490414865e-06,1.725753142799120e-04,-2.567970646743143e-03,-4.356617226985544e-04,4.104467293638159e-04,3.287398600135178e+00,6.335957647285895e-01,-5.277032329362163e-03,2.653823821864004e+00,
19,1.379999999996747e-02,3.000000000000000e-04,1.852948656289030e-07,-2.542093289315798e-06,1.881677094418786e-04,-3.158031321274463e-03,-6.765391613917024e-04,1.188694891539541e-04,3.305119245375257e+00,6.364746548297935e-01,-1.640596270547134e-03,2.668646607715615e+00,
20,1.477499999996341e-02,3.000000000000000e-04,2.090345285669861e-07,-3.188125170108298e-06,2.029005898885667e-04,-3.798565303680265e-03,-9.830165194447107e-04,-2.671160799759490e-04,3.285630634256806e+00,6.323634348265265e-01,1.563104697056228e-03,2.653269041156169e+00,
21,1.574999999995935e-02,3.000000000000000e-04,2.324323290707299e-07,-3.911999503286250e-06,2.167747263606788e-04,-4.487030756008455e-03,-1.358616560410174e-03,-7.194670465465892e-04,3.233994118274624e+00,6.224526690310950e-01,4.291684295358644e-03,2.611555554709368e+00,
22,1.672499999995636e-02,3.000000000000000e-04,2.552681039657404e-07,-4.712408168566359e-06,2.297924633866302e-04,-5.220907716306150e-03,-1.805300295800732e-03,-1.204046612694357e-03,3.155011007919282e+00,6.070393317470322e-01,6.584776201993936e-03,2.548005710293159e+00,
23,1.769999999995338e-02,3.000000000000000e-04,2.773569265255346e-07,-5.587398269561225e-06,2.419577017983302e-04,-5.997700279665121e-03,-2.324244587203999e-03,-1.684002713172036e-03,3.053638523343924e+00,5.878768768049289e-01,8.465508680244871e-03,2.465819773805774e+00,
24,1.867499999995040e-02,3.000000000000000e-04,2.985476765064477e-07,-6.534484744122853e-06,2.532758708643172e-04,-6.814939207677611e-03,-2.916436322696959e-03,-2.121815275270986e-03,2.934326698084947e+00,5.651573051765730e-01,9.911832864638148e-03,2.369252327215651e+00,
25,1.964999999994742e-02,3.000000000000000e-04,3.187252881025875e-07,-7.550755202588235e-06,2.637539505268126e-04,-7.670184194164841e-03,-3.582862747216703e-03,-2.480604547234259e-03,2.801787761200956e+00,5.400686936017967e-01,1.096662083760491e-02,2.261825414976141e+00,
26,2.062499999994443e-02,3.000000000000000e-04,3.378072728511383e-07,-8.632985455827825e-06,2.734008413058046e-04,-8.561026809875864e-03,-4.324344659826637e-03,-2.725422232057195e-03,2.659631409484580e+00,5.128431943015065e-01,1.173635494668068e-02,2.146916535163550e+00,
27,2.159999999994145e-02,3.000000000000000e-04,3.557352725052582e-07,-9.777724966512766e-06,2.822276631182112e-04,-9.485094906039541e-03,-5.141091892237376e-03,-2.824737784803966e-03,2.510924832527915e+00,4.844980827518246e-01,1.227217637994271e-02,2.026575386572256e+00,
