"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Grid_Velx","Grid_Vely","Pressure","Temperature","C<sub>p</sub>","Mach","<greek>m</greek>","C<sub>f</sub>_x","C<sub>f</sub>_y","h","y<sup>+</sup>"
0,-5.000000000000000e-03,-5.000000000000000e-03,1.162277171294931e+00,5.040573682161704e-17,5.040573682161704e-17,7.103042126984907e+00,4.336808689942018e-17,4.336808689942018e-17,2.841216850793962e+00,8.515791492659587e-03,-1.013850612682695e+00,3.315308161854505e-17,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
1,-5.000000000000000e-03,5.000000000000000e-03,1.157801911790376e+00,5.021165441769795e-17,-5.021165441769795e-17,7.074057057331742e+00,4.336808689942018e-17,-4.336808689942018e-17,2.829622822932696e+00,8.513823305774692e-03,-1.268802690924539e+00,3.315691417111088e-17,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
2,5.000000000000000e-03,5.000000000000000e-03,1.170773070128885e+00,-5.077418982297585e-17,-5.077418982297585e-17,7.151863031603400e+00,-4.336808689942018e-17,-4.336808689942018e-17,2.860745212641359e+00,8.512101641423356e-03,-5.844229368802376e-01,3.316026787715513e-17,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
3,5.000000000000000e-03,1.300000000000000e-03,1.171492334974103e+00,-5.080538491591422e-17,0.000000000000000e+00,7.157497003591375e+00,-4.336808689942018e-17,0.000000000000000e+00,2.862998801436549e+00,8.513576839942109e-03,-5.348666348158070e-01,2.344581961972380e-17,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
4,5.000000000000000e-03,3.000000000000000e-04,1.171379626790973e+00,-5.080049766774077e-17,3.175031104233798e-18,7.156814496789186e+00,-4.336808689942018e-17,2.710505431213761e-18,2.862725798715674e+00,8.513584107424282e-03,-5.408699506509623e-01,2.349155789662914e-17,1.820000000000000e-05,-9.595983890876253e-06,-2.201476790728563e-09,-3.445839992446785e-07,5.289838692901427e-02,
5,5.999627924148194e-03,3.006421221296767e-04,1.171336855453816e+00,4.618474054523882e-05,-7.916045301488874e-05,7.156552884100593e+00,3.932055757218181e-05,-6.738287125358214e-05,2.862621152206079e+00,8.513583756597283e-03,-5.431711220317170e-01,4.229971759754291e-05,1.820000000000000e-05,-6.506458509359127e-04,-9.203958646764041e-07,2.149645200373715e-07,4.353396358698021e-01,
6,4.499544803943310e-02,6.166290074339606e-04,1.174190383656381e+00,8.373970326041661e-04,-4.274153663707941e-02,7.179231852860811e+00,7.164629444379039e-04,-3.643939704193101e-02,2.871381455987619e+00,8.518884249584269e-03,-3.505324910176406e-01,1.967681239063294e-02,1.820000000000000e-05,-4.582663421671865e-05,4.371807806461240e-03,-5.608230531645086e-05,1.121764531413658e+00,
7,4.500172050639951e-02,1.666184391649838e-05,1.175075488518681e+00,-2.150854193794389e-05,-4.278332311359255e-02,7.182044493167656e+00,-1.749412552112806e-05,-3.644760124117497e-02,2.872506257588608e+00,8.515802125557461e-03,-3.257981614806241e-01,1.968100067627850e-02,1.820000000000000e-05,3.881498891485903e-03,4.068663790698926e-05,-4.065458272342570e-05,1.054868590997663e+00,
8,6.000371495037019e-03,-2.993575228599339e-04,1.173571155491492e+00,-4.611875543461504e-05,-7.942680942291640e-05,7.176127785198659e+00,-3.918921312778996e-05,-6.748146992727395e-05,2.870451112641875e+00,8.520617568926327e-03,-3.709906934917136e-01,4.229247395953195e-05,1.820000000000000e-05,6.611057395049999e-05,9.351563117055461e-08,-2.204016448899334e-07,1.389929621655964e-01,
9,5.000000000000000e-03,-3.000000000000000e-04,1.173601395037218e+00,-5.089684305449102e-17,-3.181052690905689e-18,7.176303402132889e+00,-4.336808689942018e-17,-2.710505431213761e-18,2.870521360853155e+00,8.520606541525434e-03,-3.694459389273119e-01,2.348187147161150e-17,1.820000000000000e-05,9.588597802374533e-06,2.196736970689637e-09,2.773620116158369e-07,5.292814845025844e-02,
