"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Grid_Velx","Grid_Vely","Pressure","Temperature","C<sub>p</sub>","Mach","<greek>m</greek>","C<sub>f</sub>_x","C<sub>f</sub>_y","h","y<sup>+</sup>"
0,-5.000000000000000e-03,-5.000000000000000e-03,1.162365745517876e+00,5.040957804333090e-17,5.040957804333090e-17,7.103407975237360e+00,4.336808689942018e-17,4.336808689942018e-17,2.841363190094943e+00,8.515581154730965e-03,-1.010632618956958e+00,3.315349101465163e-17,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
1,-5.000000000000000e-03,5.000000000000000e-03,1.157723928314120e+00,5.020827248442541e-17,-5.020827248442541e-17,7.073773395284327e+00,4.336808689942018e-17,-4.336808689942018e-17,2.829509358113730e+00,8.514055372858820e-03,-1.271297776476230e+00,3.315646233028624e-17,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
2,5.000000000000000e-03,5.000000000000000e-03,1.170851381014283e+00,-5.077758605202108e-17,-5.077758605202108e-17,7.152478485087800e+00,-4.336808689942018e-17,-4.336808689942018e-17,2.860991394035119e+00,8.512264780285298e-03,-5.790094206532046e-01,3.315995013810437e-17,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
3,5.000000000000000e-03,1.300000000000000e-03,1.171576264360018e+00,-5.080902464857659e-17,0.000000000000000e+00,7.158202271616654e+00,-4.336808689942018e-17,0.000000000000000e+00,2.863280908646661e+00,8.513805774308944e-03,-5.286631117291339e-01,2.344550433368913e-17,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
4,5.000000000000000e-03,3.000000000000000e-04,1.171456933515311e+00,-5.080385039414748e-17,3.175240649634217e-18,7.157482208383847e+00,-4.336808689942018e-17,2.710505431213761e-18,2.862992883353538e+00,8.513816521572485e-03,-5.349967731578025e-01,2.349123729030324e-17,1.820000000000000e-05,-9.737707922997822e-06,9.238770759877763e-11,-4.087387571694528e-07,5.328934357520899e-02,
5,6.000020632788474e-03,2.999680645698627e-04,1.171412002353404e+00,4.679089499474234e-05,-8.042366483281517e-05,7.157208080647796e+00,3.983111418427374e-05,-6.844851506266584e-05,2.862883230781012e+00,8.513816989513760e-03,-5.374080276057452e-01,4.294097598954696e-05,1.820000000000000e-05,-6.821107510247803e-04,5.723398126488115e-08,1.558553823553449e-07,4.459083265961084e-01,
6,4.500048490815915e-02,2.527602883549115e-04,1.174498764405590e+00,3.847029234600741e-04,-4.332382075366784e-02,7.181741971312817e+00,3.304506389748690e-04,-3.692710281396706e-02,2.872377145542447e+00,8.519600760091910e-03,-3.286373287561038e-01,1.993576200329888e-02,1.820000000000000e-05,4.598544184421287e-06,2.688658347279916e-03,-6.478789887222279e-05,8.767150899903072e-01,
7,4.499944153206484e-02,-3.472387480037899e-04,1.174824483515322e+00,-4.839252973186573e-04,-4.333457606586301e-02,7.180628801595458e+00,-4.115820033002288e-04,-3.692606423301849e-02,2.871931792935389e+00,8.515918138092883e-03,-3.384306097520253e-01,1.993994964756092e-02,1.820000000000000e-05,5.819051664563741e-03,-9.952993618687959e-06,-6.184341588458657e-05,1.288538560745792e+00,
8,5.999979192384753e-03,-3.000320391861026e-04,1.173508239932511e+00,-4.690073535508799e-05,-8.056656605131402e-05,7.175577351062180e+00,-3.985296340809283e-05,-6.844826843661184e-05,2.870230938943731e+00,8.520420790315019e-03,-3.758323018255541e-01,4.292997476464295e-05,1.820000000000000e-05,9.564059070489881e-05,-8.024164018860054e-09,-1.605580414523267e-07,1.671158226884424e-01,
9,5.000000000000000e-03,-3.000000000000000e-04,1.173536318539612e+00,-5.089402067084420e-17,-3.180876291927763e-18,7.175740393130438e+00,-4.336808689942018e-17,-2.710505431213761e-18,2.870296157252174e+00,8.520410525639972e-03,-3.743981545666522e-01,2.348214151067000e-17,1.820000000000000e-05,9.741224535948149e-06,-9.608474384351285e-11,3.448996557223646e-07,5.334624811476792e-02,
10,5.000000000000000e-03,-1.300000000000000e-03,1.173475304705110e+00,-5.089137536802306e-17,0.000000000000000e+00,7.175366094017989e+00,-4.336808689942018e-17,0.000000000000000e+00,2.870146437607195e+00,8.520409074467024e-03,-3.776904818835962e-01,2.343641422433114e-17,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
11,5.000000000000000e-03,-5.000000000000000e-03,1.173050604269189e+00,-5.087295888742514e-17,5.087295888742514e-17,7.173088118624167e+00,-4.336808689942018e-17,4.336808689942018e-17,2.869235247449666e+00,8.520787902398517e-03,-3.977275067308179e-01,3.314335933948292e-17,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
