"PointID","x","y","Temperature","Heat_Flux"
0,5.000000000000000e+00,1.000000000000000e-10,3.414534578474239e+02,-2.353156690482216e+00,
1,5.000061683760725e+00,7.853658754898123e-03,3.414533212536220e+02,-2.353311478651084e+00,
2,5.000246719820213e+00,1.570537963701579e-02,3.414522130454933e+02,-2.354100017580310e+00,
3,5.000555062523584e+00,2.355322545171365e-02,3.414501350672909e+02,-2.355517200482498e+00,
4,5.000986635791892e+00,3.139525986046725e-02,3.414470918928533e+02,-2.357556975702519e+00,
5,5.001541333140890e+00,3.922954795862962e-02,3.414430910791791e+02,-2.360213462414698e+00,
6,5.002219017707306e+00,4.705415675283998e-02,3.414381432201843e+02,-2.363481679057747e+00,
7,5.003019522282615e+00,5.486715563796100e-02,3.414322616825024e+02,-2.367356739757524e+00,
8,5.003942649354292e+00,6.266661687342666e-02,3.414254621313669e+02,-2.371832144250895e+00,
9,5.004988171154543e+00,7.045061605888349e-02,3.414177620848569e+02,-2.376898814884323e+00,
10,5.006155829716510e+00,7.821723260900737e-02,3.414091805959395e+02,-2.382544773206808e+00,
11,5.007445336937915e+00,8.596455022737950e-02,3.413997380722979e+02,-2.388754877205387e+00,
12,5.008856374652146e+00,9.369065737930359e-02,3.413894562707738e+02,-2.395511076022124e+00,
13,5.010388594706759e+00,1.013936477634486e-01,3.413783584419583e+02,-2.402793043074290e+00,
14,5.012041619049387e+00,1.090716207822001e-01,3.413664695627168e+02,-2.410579190407965e+00,
15,5.013815039821004e+00,1.167226820106041e-01,3.413538165358161e+02,-2.418847089046149e+00,
16,5.015708419456574e+00,1.243449436637884e-01,3.413404283456987e+02,-2.427573247798143e+00,
17,5.017721290793002e+00,1.319365250627447e-01,3.413263362912964e+02,-2.436735236218818e+00,
18,5.019853157184405e+00,1.394955530983587e-01,3.413115739649247e+02,-2.446312329984227e+00,
19,5.022103492624653e+00,1.470201626935712e-01,3.412961768861551e+02,-2.456284089491036e+00,
20,5.024471741877145e+00,1.545084972635583e-01,3.412801820233835e+02,-2.466629089609115e+00,
21,5.026957320611817e+00,1.619587091738155e-01,3.412636273709039e+02,-2.477323946427723e+00,
22,5.029559615549309e+00,1.693689601960345e-01,3.412465517113760e+02,-2.488343063093983e+00,
23,5.032277984612284e+00,1.767374219616578e-01,3.412289946059848e+02,-2.499659770707649e+00,
