"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"
0	3.048000000000000e-01	0.000000000000000e+00	9.967904107254395e-01	-2.541573033337514e-07	-2.900389879987844e-06	4.487779467116253e+01	
1	3.048000000000000e-01	9.999999999998898e-06	9.967922629882985e-01	1.516943632930103e-02	-2.090001143066780e-08	4.487791022846250e+01	
2	2.652886066609574e-01	0.000000000000000e+00	9.968106910607805e-01	2.397001541891028e-08	-3.037026226543721e-06	4.487696019828192e+01	
3	2.652886066609573e-01	9.999999999998898e-06	9.968126799639871e-01	1.552057871486754e-02	1.183723878586864e-08	4.487708117559653e+01	
4	3.048000000000000e-01	9.999999999998898e-06	9.967922529768209e-01	1.516938697452314e-02	-2.963566496536559e-06	4.487790938285533e+01	
5	3.048000000000000e-01	2.020025636502165e-05	9.967979362630744e-01	3.062735457427350e-02	1.176141556064531e-07	4.487826453417158e+01	
6	2.652886066609573e-01	9.999999999998898e-06	9.968126695061551e-01	1.552058564099839e-02	-3.068627060202226e-06	4.487708028143368e+01	
7	2.652886066609573e-01	2.020025636502165e-05	9.968187671568917e-01	3.133584683540725e-02	1.968013517225742e-07	4.487745205295211e+01	
8	3.048000000000000e-01	2.020025636502165e-05	9.967979181018787e-01	3.062730861058612e-02	-2.998252994292755e-06	4.487826295514045e+01	
9	3.048000000000000e-01	3.080503572104875e-05	9.968078412870266e-01	4.666260782157228e-02	4.158626471892204e-07	4.487888460587270e+01	
10	2.652886066609573e-01	2.020025636502165e-05	9.968187481323433e-01	3.133585699757500e-02	-3.065568746247786e-06	4.487745038411610e+01	
11	2.652886066609573e-01	3.080503572104875e-05	9.968293856844535e-01	4.774473130774559e-02	5.559974502169620e-07	4.487810125256878e+01	
12	3.048000000000000e-01	3.080503572104875e-05	9.968078134739917e-01	4.666255513732234e-02	-3.002243228965021e-06	4.487888217789845e+01	
13	3.048000000000000e-01	4.202670552473364e-05	9.968226816826423e-01	6.357136092710616e-02	9.022305886204197e-07	4.487981701910002e+01	
14	2.652886066609573e-01	3.080503572104875e-05	9.968293565139662e-01	4.774474631911502e-02	-3.024899419958025e-06	4.487809868615000e+01	
15	2.652886066609573e-01	4.202670552473365e-05	9.968452815211567e-01	6.505406343589411e-02	1.120280327784708e-06	4.487907792533179e+01	
16	3.048000000000000e-01	4.202670552473364e-05	9.968226421189814e-01	6.357129744918598e-02	-2.968562807696127e-06	4.487981357064320e+01	
17	3.048000000000000e-01	5.408998685635380e-05	9.968434985280267e-01	8.166035749387089e-02	1.620390517597321e-06	4.488113110441500e+01	
18	2.652886066609573e-01	4.202670552473365e-05	9.968452399904962e-01	6.505408481383275e-02	-2.938854349697948e-06	4.487907427758336e+01	
19	2.652886066609573e-01	5.408998685635380e-05	9.968675602873216e-01	8.358245319499191e-02	1.936682725371472e-06	4.488045542260235e+01	
20	3.048000000000000e-01	5.408998685635380e-05	9.968434442933963e-01	8.166027863254147e-02	-2.884352650969829e-06	4.488112639554727e+01	
21	3.048000000000000e-01	6.723645460287031e-05	9.968717296310826e-01	1.012500078557038e-01	2.633377664153429e-06	4.488292331091711e+01	
22	2.652886066609573e-01	5.408998685635380e-05	9.968675032952130e-01	8.358248320844353e-02	-2.793842413526779e-06	4.488045043508876e+01	
23	2.652886066609573e-01	6.723645460287031e-05	9.968977498731109e-01	1.036639373224239e-01	3.072688535002586e-06	4.488233607752667e+01	
24	3.048000000000000e-01	6.723645460287031e-05	9.968716568398792e-01	1.012499080986388e-01	-2.728370070854717e-06	4.488291702268255e+01	
25	3.048000000000000e-01	8.172937514860923e-05	9.969092892158532e-01	1.226770800965141e-01	4.028997900299277e-06	4.488532307824600e+01	
26	2.652886066609573e-01	6.723645460287031e-05	9.968976732667476e-01	1.036639795653240e-01	-2.568057462005796e-06	4.488232940461604e+01	
27	2.652886066609573e-01	8.172937514860924e-05	9.969378851664086e-01	1.256512909454116e-01	4.621906188926477e-06	4.488485769234342e+01	
28	3.048000000000000e-01	8.172937514860923e-05	9.969091928439749e-01	1.226769530599857e-01	-2.467054193219630e-06	4.488531479999367e+01	
29	3.048000000000000e-01	9.785897845210334e-05	9.969586699572299e-01	1.462968037665376e-01	5.927436230620357e-06	4.488850037357356e+01	
30	2.652886066609573e-01	8.172937514860924e-05	9.969377835382343e-01	1.256513515566538e-01	-2.227673458676873e-06	4.488484888602178e+01	
31	2.652886066609573e-01	9.785897845210334e-05	9.969906172144753e-01	1.499188174646164e-01	6.712077667211641e-06	4.488820194655067e+01	
32	3.048000000000000e-01	9.785897845210334e-05	9.969585436504574e-01	1.462966429035907e-01	-2.048496844026825e-06	4.488848958946426e+01	
33	3.048000000000000e-01	1.159482700859748e-04	9.970230690866718e-01	1.724841165919666e-01	8.491729314092021e-06	4.489267503686932e+01	
34	2.652886066609573e-01	9.785897845210334e-05	9.969904836707997e-01	1.499189076915408e-01	-1.720932312721625e-06	4.488819043992938e+01	
35	2.652886066609573e-01	1.159482700859748e-04	9.970593491132976e-01	1.768643174452489e-01	9.516121968410833e-06	4.489260494072747e+01	
