"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Pressure","Temperature","C<sub>p</sub>","Mach","<greek>m</greek>","C<sub>f</sub>_x","C<sub>f</sub>_y","h","y<sup>+</sup>"
0,0.000000000000000e+00,1.000000000000000e+00,9.999987918374905e-01,0.000000000000000e+00,0.000000000000000e+00,4.000087830608836e+05,1.000021957652209e+05,5.000115829213532e+02,4.391530441777824e+00,0.000000000000000e+00,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
1,2.000000000000000e-02,1.000000000000000e+00,9.999988075277072e-01,-9.198084626411109e-07,1.175500767396953e-01,4.000087936097918e+05,1.000021966751933e+05,5.000115796259213e+02,4.393350386631016e+00,3.324783720996812e-04,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
2,1.999999999999999e-02,9.800000000000000e-01,9.999988059744351e-01,-9.198398169253937e-07,1.175500771685892e-01,4.000087936102152e+05,1.000021966752992e+05,5.000115804031055e+02,4.393350598303175e+00,3.324783735708032e-04,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
3,0.000000000000000e+00,9.800000000000000e-01,9.999987903035686e-01,0.000000000000000e+00,0.000000000000000e+00,4.000087830618735e+05,1.000021957654684e+05,5.000115836895703e+02,4.391530936746669e+00,0.000000000000000e+00,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
4,4.000000000000000e-02,1.000000000000000e+00,9.999988283448438e-01,2.665403461443488e-07,2.303418978020278e-01,4.000088120634834e+05,1.000021963836893e+05,5.000115677595783e+02,4.392767378670205e+00,6.514984987152019e-04,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
5,3.999999999999999e-02,9.800000000000000e-01,9.999988267570078e-01,2.661028827274582e-07,2.303418988423580e-01,4.000088120639324e+05,1.000021963838015e+05,5.000115685540765e+02,4.392767603060737e+00,6.514985021745397e-04,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
6,6.000000000000000e-02,1.000000000000000e+00,9.999988678521103e-01,8.161005159546688e-08,3.383341680256812e-01,4.000088431536925e+05,1.000021964796558e+05,5.000115484852984e+02,4.392959311563562e+00,9.569435703015135e-04,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
7,6.000000000000000e-02,9.800000000000000e-01,9.999988662223923e-01,8.091944264934673e-08,3.383341695853860e-01,4.000088431541288e+05,1.000021964797647e+05,5.000115493007217e+02,4.392959529376629e+00,9.569435754922327e-04,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
8,8.000000000000000e-02,1.000000000000000e+00,9.999989190455068e-01,1.387454772355264e-07,4.415265595978061e-01,4.000088833333264e+05,1.000021964650924e+05,5.000115228151643e+02,4.392930184799287e+00,1.248812657633046e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
9,7.999999999999997e-02,9.800000000000000e-01,9.999989173745761e-01,1.378708080647891e-07,4.415265615778609e-01,4.000088833337886e+05,1.000021964652077e+05,5.000115236512262e+02,4.392930415388935e+00,1.248812664276048e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
10,1.000000000000000e-01,1.000000000000000e+00,9.999989812379479e-01,1.258218857378055e-07,5.399191006320747e-01,4.000089316365933e+05,1.000021964700318e+05,5.000114917428924e+02,4.392940063599770e+00,1.527105836164918e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
11,1.000000000000000e-01,9.800000000000000e-01,9.999989795274176e-01,1.248019956359006e-07,5.399191029207904e-01,4.000089316370998e+05,1.000021964701580e+05,5.000114925988094e+02,4.392940316075499e+00,1.527105843943433e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
12,1.200000000000000e-01,1.000000000000000e+00,9.999990522978226e-01,1.252950965144886e-07,6.335118204992618e-01,4.000089865459789e+05,1.000021964692938e+05,5.000114562084150e+02,4.392938587657216e+00,1.791823187699379e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
13,1.200000000000000e-01,9.800000000000000e-01,9.999990505503098e-01,1.241403813765268e-07,6.335118229810842e-01,4.000089865465426e+05,1.000021964694343e+05,5.000114570828944e+02,4.392938868538284e+00,1.791823196283318e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
14,1.400000000000000e-01,1.000000000000000e+00,9.999991304995335e-01,1.212688926262915e-07,7.223047473072178e-01,4.000090467404515e+05,1.000021964695377e+05,5.000114171078487e+02,4.392939075320999e+00,2.042964791379621e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
15,1.400000000000000e-01,9.800000000000000e-01,9.999991287186819e-01,1.199828047396153e-07,7.223047498675367e-01,4.000090467410795e+05,1.000021964696941e+05,5.000114179990778e+02,4.392939388187177e+00,2.042964800438731e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
16,1.600000000000000e-01,1.000000000000000e+00,9.999992141307414e-01,1.178545796541061e-07,8.062979076664858e-01,4.000091109363758e+05,1.000021964694906e+05,5.000113752910217e+02,4.392938981170108e+00,2.280530723336270e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
17,1.599999999999999e-01,9.800000000000000e-01,9.999992123208443e-01,1.164469004367768e-07,8.062979101946514e-01,4.000091109370702e+05,1.000021964696635e+05,5.000113761968563e+02,4.392939327040029e+00,2.280530732548719e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
18,1.800000000000000e-01,1.000000000000000e+00,9.999993015867957e-01,1.141403166243619e-07,8.854913267281962e-01,4.000091779256968e+05,1.000021964694945e+05,5.000113315619889e+02,4.392938989057246e+00,2.504521056481129e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
19,1.800000000000000e-01,9.800000000000000e-01,9.999992997524343e-01,1.126318498689053e-07,8.854913291195088e-01,4.000091779264560e+05,1.000021964696836e+05,5.000113324801366e+02,4.392939367261523e+00,2.504521065539442e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
20,2.000000000000000e-01,1.000000000000000e+00,9.999993913506876e-01,1.102362770133649e-07,9.598850281672487e-01,4.000092465678572e+05,1.000021964694858e+05,5.000112866789547e+02,4.392938971536740e+00,2.714935860332007e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
21,2.000000000000000e-01,9.800000000000000e-01,9.999993894964460e-01,1.086578184023269e-07,9.598850303230930e-01,4.000092465686777e+05,1.000021964696902e+05,5.000112876071191e+02,4.392939380358246e+00,2.714935868943889e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
22,2.200000000000000e-01,1.000000000000000e+00,9.999994819977981e-01,1.060044723669951e-07,1.029479034185017e+00,4.000093157917447e+05,1.000021964694823e+05,5.000112413543356e+02,4.392938964610028e+00,2.911775200856546e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
23,2.200000000000000e-01,9.800000000000000e-01,9.999994801280496e-01,1.043923583194456e-07,1.029479036012756e+00,4.000093157926217e+05,1.000021964697009e+05,5.000112422903240e+02,4.392939401691354e+00,2.911775208745081e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
24,2.400000000000000e-01,1.000000000000000e+00,9.999995721948375e-01,1.013665671798498e-07,1.094273365506465e+00,4.000093845952799e+05,1.000021964694811e+05,5.000111962547767e+02,4.392938962252618e+00,3.095039140321579e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
25,2.400000000000000e-01,9.800000000000000e-01,9.999995703135954e-01,9.975688491123565e-08,1.094273366917628e+00,4.000093845962085e+05,1.000021964697126e+05,5.000111971965766e+02,4.392939425207249e+00,3.095039147220585e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
26,2.600000000000000e-01,1.000000000000000e+00,9.999996607000790e-01,9.623877913572934e-08,1.154268041374365e+00,4.000094520455147e+05,1.000021964694832e+05,5.000111520011606e+02,4.392938966472673e+00,3.264727737140635e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
27,2.600000000000000e-01,9.800000000000000e-01,9.999996588108987e-01,9.466128386607602e-08,1.154268042284324e+00,4.000094520464899e+05,1.000021964697265e+05,5.000111529469883e+02,4.392939452943200e+00,3.264727742794220e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
28,2.800000000000000e-01,1.000000000000000e+00,9.999997463633236e-01,9.054740971083281e-08,1.209463079540666e+00,4.000095172786090e+05,1.000021964694883e+05,5.000111091685974e+02,4.392938976571703e+00,3.420841045723445e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
29,2.800000000000000e-01,9.800000000000000e-01,9.999997444692474e-01,8.901821834165580e-08,1.209463079868629e+00,4.000095172796272e+05,1.000021964697424e+05,5.000111101169272e+02,4.392939484753686e+00,3.420841049886377e-03,1.000000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
