"Time_Iter",    "Cur_Time"    ,      "mic1"
       5193,             0.291,       953.7176986
       5194,            0.2925,       953.7002725
       5195,             0.294,       953.6835079
       5196,            0.2955,       953.6662673
       5197,             0.297,       953.6466822
       5198,            0.2985,       953.6253184
       5199,               0.3,       953.6025007
       5200,            0.3015,       953.5792585
       5201,             0.303,       953.5577815
       5202,            0.3045,       953.5384205
       5203,             0.306,       953.5197588
       5204,            0.3075,       953.5023757
       5205,             0.309,       953.4874346
       5206,            0.3105,       953.4733101
       5207,             0.312,       953.4587992
       5208,            0.3135,       953.4446144
       5209,             0.315,       953.4310928
       5210,            0.3165,        953.416899
       5211,             0.318,        953.401411
       5212,            0.3195,       953.3862263
       5213,             0.321,        953.372782
       5214,            0.3225,       953.3621816
       5215,             0.324,       953.3545439
       5216,            0.3255,       953.3512339
       5217,             0.327,       953.3438051
       5218,            0.3285,       953.3342783
       5219,              0.33,       953.3261266
       5220,            0.3315,       953.3182794
       5221,             0.333,       953.3094441
       5222,            0.3345,       953.3010866
       5223,             0.336,       953.2929034
       5224,            0.3375,       953.2854831
       5225,             0.339,       953.2781947
       5226,            0.3405,       953.2702955
       5227,             0.342,       953.2611711
       5228,            0.3435,       953.2521025
       5229,             0.345,       953.2432084
       5230,            0.3465,       953.2347199
       5231,             0.348,       953.2261981
       5232,            0.3495,       953.2158733
       5233,             0.351,       953.2044509
       5234,            0.3525,       953.1919947
       5235,             0.354,       953.1787202
       5236,            0.3555,       953.1641397
       5237,             0.357,       953.1479304
       5238,            0.3585,       953.1317467
       5239,              0.36,       953.1176545
       5240,            0.3615,        953.104253
       5241,             0.363,       953.0897381
       5242,            0.3645,       953.0738251
       5243,             0.366,       953.0560267
       5244,            0.3675,       953.0376904
       5245,             0.369,       953.0195468
       5246,            0.3705,       953.0016524
       5247,             0.372,       952.9837253
       5248,            0.3735,       952.9636864
       5249,             0.375,       952.9412371
       5250,            0.3765,       952.9202631
       5251,             0.378,       952.9012584
       5252,            0.3795,       952.8820558
       5253,             0.381,       952.8612874
       5254,            0.3825,       952.8388342
       5255,             0.384,       952.8135545
       5256,            0.3855,        952.785007
       5257,             0.387,       952.7550806
       5258,            0.3885,       952.7287315
       5259,              0.39,       952.7064481
       5260,            0.3915,       952.6808559
       5261,             0.393,       952.6504813
       5262,            0.3945,       952.6184615
       5263,             0.396,       952.5860912
       5264,            0.3975,        952.551585
       5265,             0.399,       952.5141881
       5266,            0.4005,       952.4741068
       5267,             0.402,       952.4319923
       5268,            0.4035,       952.3897768
       5269,             0.405,       952.3463966
       5270,            0.4065,       952.3045413
       5271,             0.408,         952.26678
       5272,            0.4095,        952.230603
       5273,             0.411,       952.1902016
       5274,            0.4125,       952.1435781
       5275,             0.414,       952.0897066
       5276,            0.4155,       952.0362787
       5277,             0.417,       951.9845285
       5278,            0.4185,       951.9332599
       5279,              0.42,       951.8786578
       5280,            0.4215,       951.8189045
       5281,             0.423,         951.76066
