"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"
0	8.967060585065775e-01	-1.407187920260865e-02	1.002806823014691e+00	3.419124468511860e-01	4.365131302719279e-02	2.569067103659256e+00	
1	8.878097537502421e-01	-1.520149390548989e-02	1.002413725487367e+00	3.434236586176160e-01	4.336971574211574e-02	2.568217432036883e+00	
2	8.789118981697740e-01	-1.631908571755100e-02	1.002045517713212e+00	3.448345599929261e-01	4.307714991127640e-02	2.567421440591356e+00	
3	8.700125575442598e-01	-1.742478602964861e-02	1.001698794271091e+00	3.461592683390699e-01	4.277546297410203e-02	2.566671836844004e+00	
4	8.611117944351755e-01	-1.851871480316067e-02	1.001370746047112e+00	3.474092291871154e-01	4.246598924142459e-02	2.565962559764262e+00	
5	8.931971450495975e-01	-2.215483048362216e-02	1.002693473391953e+00	3.425191075654262e-01	4.224675723488192e-02	2.568824400608648e+00	
6	8.843000648811958e-01	-2.327843374109333e-02	1.002314825878946e+00	3.439623474308028e-01	4.204305780132312e-02	2.568005915308941e+00	
7	8.754014777413858e-01	-2.439010170164881e-02	1.001958971995273e+00	3.453154632518931e-01	4.181790797207387e-02	2.567236640279857e+00	
8	8.665014469960460e-01	-2.548995718403618e-02	1.001622928489423e+00	3.465902723802080e-01	4.157505579384677e-02	2.566510104521059e+00	
9	8.896882315926176e-01	-3.023778176463567e-02	1.002570301908977e+00	3.431400995956812e-01	4.094163423868576e-02	2.568558359718386e+00	
10	8.807903979385115e-01	-3.135541737364900e-02	1.002207251915026e+00	3.445136639355609e-01	4.080133435666204e-02	2.567773551752877e+00	
11	8.718910995569166e-01	-3.246119956491168e-02	1.001864739203310e+00	3.458072091501959e-01	4.063196617085604e-02	2.567033074873793e+00	
12	8.861793181356377e-01	-3.832073304564919e-02	1.002440766734415e+00	3.437669249734194e-01	3.972927298263414e-02	2.568278060351771e+00	
13	8.772807521177871e-01	-3.943244194578719e-02	1.002093791442435e+00	3.450713636468169e-01	3.963944124819766e-02	2.567528004522718e+00	
14	8.826704046786576e-01	-4.640368432666270e-02	1.002307755318827e+00	3.443921460490666e-01	3.860179056116978e-02	2.567990593622674e+00	
15	3.329044506425047e-01	9.928585560221323e-02	9.807948284114287e-01	4.162144218828959e-01	-1.405303310409529e-03	2.521355356909535e+00	
16	3.387212351470679e-01	1.110817000999716e-01	9.815618847553218e-01	4.140221649125087e-01	-1.152661459052128e-03	2.523023267114385e+00	
17	3.445380196516311e-01	1.228775445977299e-01	9.822904747836827e-01	4.119213753697887e-01	-9.373423132949517e-04	2.524606597044297e+00	
18	3.503548041561943e-01	1.346733890954882e-01	9.829826975353522e-01	4.099099632151451e-01	-7.533156466338548e-04	2.526110650458977e+00	
19	3.561715886607575e-01	1.464692335932465e-01	9.836405940533507e-01	4.079851359016855e-01	-5.949534319144821e-04	2.527540324974992e+00	
20	3.266279706764947e-01	1.100202758041433e-01	9.811091504801296e-01	4.153205826129945e-01	6.671972794254492e-04	2.522039219328497e+00	
21	3.324447551810579e-01	1.218161203019016e-01	9.818677081135080e-01	4.131429616895514e-01	8.143322299143714e-04	2.523687907655720e+00	
22	3.382615396856211e-01	1.336119647996599e-01	9.825869889591147e-01	4.110614247934258e-01	9.310241542721536e-04	2.525250863112744e+00	
23	3.440783241901843e-01	1.454078092974182e-01	9.832693364351591e-01	4.090729928357177e-01	1.023094651691349e-03	2.526733850714462e+00	
24	3.203514907104847e-01	1.207546960060733e-01	9.814455106901480e-01	4.143492840592983e-01	2.669622464010265e-03	2.522770351093776e+00	
