"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4"
0,8.967060585065775e-01,-1.407187920260865e-02,1.002806762842610e+00,3.419124622677123e-01,4.365130866993119e-02,2.569066901370717e+00,
1,8.878097537502421e-01,-1.520149390548989e-02,1.002413661454976e+00,3.434236808182954e-01,4.336971890091365e-02,2.568217219226875e+00,
2,8.789118981697740e-01,-1.631908571755100e-02,1.002045456382297e+00,3.448345870214968e-01,4.307715102422414e-02,2.567421238774385e+00,
3,8.700125575442598e-01,-1.742478602964861e-02,1.001698734793757e+00,3.461593021102512e-01,4.277546689567972e-02,2.566671643991615e+00,
4,8.611117944351755e-01,-1.851871480316067e-02,1.001370686168133e+00,3.474092653661911e-01,4.246598629717341e-02,2.565962366224837e+00,
5,8.931971450495975e-01,-2.215483048362216e-02,1.002693409571477e+00,3.425192043217025e-01,4.224676396514637e-02,2.568824213909207e+00,
6,8.843000648811958e-01,-2.327843374109333e-02,1.002314763429276e+00,3.439624480578458e-01,4.204306302820728e-02,2.568005734833019e+00,
7,8.754014777413858e-01,-2.439010170164881e-02,1.001958910691781e+00,3.453155655115539e-01,4.181791329053761e-02,2.567236464552243e+00,
8,8.665014469960460e-01,-2.548995718403618e-02,1.001622868845152e+00,3.465903735671063e-01,4.157506651175785e-02,2.566509934554009e+00,
9,8.896882315926176e-01,-3.023778176463567e-02,1.002570239726221e+00,3.431400999388745e-01,4.094162126032276e-02,2.568558145163861e+00,
10,8.807903979385115e-01,-3.135541737364900e-02,1.002207190148546e+00,3.445136651912427e-01,4.080132374890964e-02,2.567773339117412e+00,
11,8.718910995569166e-01,-3.246119956491168e-02,1.001864679167956e+00,3.458072118535292e-01,4.063195590059819e-02,2.567032868766947e+00,
12,8.861793181356377e-01,-3.832073304564919e-02,1.002440704237986e+00,3.437669466653721e-01,3.972926148655136e-02,2.568277852110306e+00,
13,8.772807521177871e-01,-3.943244194578719e-02,1.002093730468144e+00,3.450713812486523e-01,3.963942866374186e-02,2.567527800126544e+00,
14,8.826704046786576e-01,-4.640368432666270e-02,1.002307695946361e+00,3.443921378103724e-01,3.860178880011263e-02,2.567990386261477e+00,
15,3.329044506425047e-01,9.928585560221323e-02,9.807946612889624e-01,4.162144528756838e-01,-1.405266088992813e-03,2.521354804685205e+00,
16,3.387212351470679e-01,1.110817000999716e-01,9.815617129757402e-01,4.140221781460648e-01,-1.152632378508331e-03,2.523022691198572e+00,
17,3.445380196516311e-01,1.228775445977299e-01,9.822903059740991e-01,4.119213876780166e-01,-9.373092681570143e-04,2.524606030481182e+00,
18,3.503548041561943e-01,1.346733890954882e-01,9.829825299420994e-01,4.099100021998341e-01,-7.532751073443135e-04,2.526110098810106e+00,
19,3.561715886607575e-01,1.464692335932465e-01,9.836404334218107e-01,4.079850626037445e-01,-5.949232831662757e-04,2.527539749573159e+00,
20,3.266279706764947e-01,1.100202758041433e-01,9.811089799636499e-01,4.153205958287766e-01,6.672285898985978e-04,2.522038647929621e+00,
21,3.324447551810579e-01,1.218161203019016e-01,9.818675394756903e-01,4.131429693435594e-01,8.143662707672961e-04,2.523687339997811e+00,
