     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,"rms[MixtureFraction]","rms[EnthalpyTot]",  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" , "Avg_TotalPress" ,  "Pressure_Drop" ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,"Avg_Massflow(inlet_fuel)","Avg_Massflow(outlet)","Avg_Mach(inlet_fuel)","Avg_Mach(outlet)","Avg_Temp(inlet_fuel)","Avg_Temp(outlet)","Avg_Press(inlet_fuel)","Avg_Press(outlet)","Avg_Density(inlet_fuel)","Avg_Density(outlet)","Avg_Enthalpy(inlet_fuel)","Avg_Enthalpy(outlet)","Avg_NormalVel(inlet_fuel)","Avg_NormalVel(outlet)","Uniformity(inlet_fuel)","Uniformity(outlet)","Secondary_Strength(inlet_fuel)","Secondary_Strength(outlet)","Momentum_Distortion(inlet_fuel)","Momentum_Distortion(outlet)","Secondary_Over_Uniformity(inlet_fuel)","Secondary_Over_Uniformity(outlet)","Avg_TotalTemp(inlet_fuel)","Avg_TotalTemp(outlet)","Avg_TotalPress(inlet_fuel)","Avg_TotalPress(outlet)"
      -2.636292877,      -0.598353043,      0.4223463941,          -3.515124753,       2.315112763,       1.844474188,      0.8200913821,       600.9998045,       1080628.634,       2.200766575,      -675588.0925,       257.3884468,       259.6421818,         18.48735979,          377868.6813,                1.308638121,       628.9410657,       1115309.088,      -1080628.633,             5e-05,      -1526662.591,      -1589.830546,                 0,                 0,                 0,       369455.5969,       1589.815279,      -1526662.591,                 0,      0.0010413765,               1.844474104,       8.318376931e-08,           0.820065501,    2.58811131e-05,           300.9997183,       300.0000862,            1080628.633,    0.0003485631956,              1.023730132,          1.177036443,              -676020.4596,            432.367039,                 257.388439,        7.852468029e-06,             259.6373548,      0.004826998795,                     18.48138659,              0.005973201427,                    0.01755122151,                  377868.6637,                          0.07118153933,                        1.237456581,                328.9409795,            300.0000862,                 1115309.087,         0.0003832734428
      -2.626837746,     -0.5793474221,      0.4412648442,          -3.507891588,       2.322345927,       1.885089988,      0.8381495792,       600.9998045,       1128751.823,       2.200766575,      -675588.0925,       263.0562073,         265.35947,           18.894986,          385696.1241,                1.305675086,       630.1851723,       1164976.452,      -1128751.822,             5e-05,      -1595133.335,      -1622.982738,                 0,                 0,                 0,       386024.2978,       1622.966786,      -1595133.335,                 0,    0.001017458981,               1.885089905,       8.243960135e-08,          0.8381237024,   2.587686276e-05,           300.9997183,       300.0000862,            1128751.823,    0.0003678666563,              1.023730132,          1.177036443,              -676020.4596,            432.367039,                263.0561995,        7.782219288e-06,             265.3546369,      0.004833109721,                     18.88901957,              0.005966430594,                       0.01755122,                  385696.1065,                          0.07118405689,                        1.234491029,                330.1850861,            300.0000862,                 1164976.451,         0.0004025640684
      -2.617396414,      -0.560339672,      0.4601813863,          -3.500570529,       2.329666987,       1.926598613,      0.8566047374,       600.9998045,         1179016.2,       2.200766575,      -675588.0925,       268.8485577,       271.2024366,         19.31158183,           393953.334,                1.302747348,       631.4846247,       1216853.698,        -1179016.2,             5e-05,      -1666656.002,      -1656.827301,                 0,                 0,                 0,       403331.4695,       1656.810635,      -1666656.002,                 0,   0.0009941027417,               1.926598531,       8.167255889e-08,          0.8565788649,   2.587246174e-05,           300.9997183,       300.0000862,              1179016.2,    0.0003888837005,              1.023730132,          1.177036443,              -676020.4596,            432.367039,                  268.84855,        7.709811216e-06,             271.1975975,      0.004839123161,                     19.30562215,              0.005959674368,                    0.01755121853,                  393953.3164,                          0.07118655304,                        1.231560795,                331.4845385,            300.0000862,                 1216853.698,         0.0004235679227
      -2.607960053,     -0.5413414609,      0.4790974733,          -3.492981636,        2.33725588,       1.969019683,        0.87546558,       600.9998045,       1231516.984,       2.200766575,      -675588.0925,       274.7682359,       277.1738434,         19.73734516,          402687.6309,                1.299854316,       632.8418838,         1271039.1,      -1231516.983,             5e-05,      -1741368.148,      -1691.365673,                 0,                 0,                 0,       421410.3971,       1691.348259,      -1741368.148,                 0,   0.0009712855233,               1.969019602,       8.088074183e-08,          0.8754397121,   2.586791148e-05,           300.9997183,       300.0000862,            1231516.984,    0.0004117768956,              1.023730132,          1.177036443,              -676020.4596,            432.367039,                274.7682283,        7.635064444e-06,             277.1689984,      0.004845040167,                     19.73139223,               0.00595293266,                    0.01755121709,                  402687.6134,                          0.07118903031,                        1.228665286,                332.8417975,            300.0000862,                   1271039.1,         0.0004464475759
      -2.598510795,     -0.5223514403,      0.4980112846,          -3.485697068,       2.344540448,        2.01237325,      0.8947410223,       600.9998045,       1286353.626,       2.200766575,      -675588.0925,         280.81804,        283.276513,         20.17247818,          411952.7939,                1.296995412,       634.2595198,         1327635.3,      -1286353.625,             5e-05,      -1819415.504,      -1726.636857,                 0,                 0,                 0,       440296.3424,       1726.618663,      -1819415.504,                 0,   0.0009490063449,                2.01237317,       8.006211782e-08,           0.894715159,   2.586321337e-05,           300.9997183,       300.0000862,            1286353.626,    0.0004367240735,              1.023730132,          1.177036443,              -676020.4596,            432.367039,                280.8180324,        7.557787123e-06,             283.2716622,      0.004850861772,                     20.16653198,              0.005946205381,                     0.0175512157,                  411952.7763,                          0.07119149097,                        1.225803921,                334.2594336,            300.0000862,                   1327635.3,          0.000471380863
      -2.589060115,     -0.5033680714,       0.516925384,            -3.4784098,       2.351827715,       2.056679806,      0.9144401752,       600.9998045,       1343630.001,       2.200766575,      -675588.0925,       287.0008295,       289.5133299,         20.61718745,          421810.1376,                1.294170074,       635.7402173,       1386749.503,          -1343630,             5e-05,       -1900947.92,      -1762.752451,                 0,                 0,                 0,       460025.5639,       1762.733442,       -1900947.92,                 0,   0.0009273018122,               2.056679726,       7.921451317e-08,          0.9144143168,    2.58583688e-05,           300.9997183,       300.0000862,                1343630,    0.0004639197526,              1.023730132,          1.177036443,              -676020.4596,            432.367039,                287.0008221,        7.477774057e-06,             289.5084733,      0.004856588991,                     20.61124796,              0.005939492445,                    0.01755121435,                  421810.1201,                          0.07119393683,                        1.222976137,                335.7401311,            300.0000862,                 1386749.503,         0.0004985623051
      -2.579604918,     -0.4843858125,      0.5358403363,          -3.471200546,        2.35903697,       2.101960292,      0.9345723501,       600.9998045,       1403454.599,       2.200766575,      -675588.0925,       293.3195269,        295.887242,         21.07168395,          432329.8105,                1.291377752,       637.2867801,       1448493.682,      -1403454.598,             5e-05,      -1986121.883,       -1799.70176,                 0,                 0,                 0,       480635.9262,       1799.681899,      -1986121.883,                 0,   0.0009061386291,               2.101960213,        7.83356031e-08,          0.9345464967,   2.585337913e-05,           300.9997183,       300.0000862,            1403454.599,    0.0004935766897,              1.023730132,          1.177036443,              -676020.4596,            432.367039,                293.3195195,        7.394805789e-06,             295.8823798,       0.00486222282,                     21.06575115,              0.005932793765,                    0.01755121305,                   432329.793,                           0.0711963692,                        1.220181383,                337.2866938,            300.0000862,                 1448493.682,          0.000528204662
      -2.570142129,     -0.4654104317,      0.5547564823,          -3.464160156,        2.36607736,       2.148236111,      0.9551470629,       600.9998045,       1465940.738,       2.200766575,      -675588.0925,       299.7771187,        302.401262,         21.53618313,          443592.3649,                 1.28861791,       638.9021365,       1512984.787,      -1465940.737,             5e-05,       -2075099.41,      -1837.433177,                 0,                 0,                 0,       502166.6311,       1837.412426,       -2075099.41,                 0,   0.0008854675435,               2.148236033,       7.742290135e-08,          0.9551212146,   2.584824568e-05,           300.9997183,       300.0000862,            1465940.737,    0.0005259275725,              1.023730132,          1.177036443,              -676020.4596,            432.367039,                299.7771114,         7.30864762e-06,             302.3963943,      0.004867764234,                     21.53025702,              0.005926109258,                    0.01755121178,                  443592.3474,                          0.07119878882,                        1.217419121,                338.9020503,            300.0000862,                 1512984.787,         0.0005605406241
      -2.560695223,     -0.4464331861,      0.5736711833,          -3.456809052,       2.373428464,       2.195529135,      0.9761740385,       600.9998045,       1531206.768,       2.200766575,      -675588.0925,       306.3766572,       309.0584689,         22.01090512,          455690.6705,                1.285890026,       640.5893453,       1580344.967,      -1531206.767,             5e-05,      -2168049.805,      -1875.920113,                 0,                 0,                 0,       524658.6421,       1875.898432,      -2168049.805,                 0,   0.0008652569274,               2.195529059,       7.647374912e-08,          0.9761481956,   2.584296977e-05,           300.9997183,       300.0000862,            1531206.768,    0.0005612268643,              1.023730132,          1.177036443,              -676020.4596,            432.367039,                  306.37665,         7.21904856e-06,             309.0535957,      0.004873214188,                     22.00498569,              0.005919438839,                    0.01755121056,                   455690.653,                          0.07120119614,                         1.21468883,                340.5892591,            300.0000862,                 1580344.967,         0.0005958246574
      -2.551261137,     -0.4274515605,      0.5925848645,          -3.448881149,       2.381356367,        2.24386172,       0.997663216,       600.9998045,       1599376.305,       2.200766575,      -675588.0925,       313.1212618,       315.8620094,         22.49607498,          468732.2595,                1.283193591,        642.351601,       1650701.801,      -1599376.304,             5e-05,      -2265148.943,      -1915.243632,                 0,                 0,                 0,       548154.5153,       1915.220981,      -2265148.943,                 0,   0.0008455265769,               2.243861644,       7.548530325e-08,          0.9976373784,   2.583755264e-05,           300.9997183,       300.0000862,            1599376.304,     0.000599752813,              1.023730132,          1.177036443,              -676020.4596,            432.367039,                313.1212547,        7.125740218e-06,             315.8571308,      0.004878573612,                      22.4901622,              0.005912782427,                    0.01755120937,                  468732.2419,                          0.07120359177,                        1.211989999,                342.3515148,            300.0000862,                   1650701.8,         0.0006343350126
      -2.541817478,      -0.408468246,      0.6114960941,          -3.441056191,       2.389181325,       2.293256709,       1.019624753,       600.9998045,       1670578.456,       2.200766575,      -675588.0925,       320.0141205,       322.8150991,         22.99192272,          482842.2195,                 1.28052811,       644.1922403,       1724188.537,      -1670578.454,             5e-05,      -2366583.234,      -1955.425123,                 0,                 0,                 0,       572699.3562,       1955.401457,      -2366583.234,                 0,   0.0008262650959,               2.293256635,       7.445452369e-08,           1.019598921,   2.583199554e-05,           300.9997183,       300.0000862,            1670578.455,    0.0006418096382,              1.023730132,          1.177036443,              -676020.4596,            432.367039,                320.0141135,        7.028435616e-06,             322.8102153,      0.004883843418,                     22.98601658,               0.00590613994,                    0.01755120822,                  482842.2019,                          0.07120597643,                        1.209322133,                 344.192154,            300.0000862,                 1724188.536,          0.000676375912
       -2.53237361,     -0.3894868069,      0.6304067419,          -3.433075621,       2.397161894,       2.343737452,        1.04206903,       600.9998045,       1744948.068,       2.200766575,      -675588.0925,       327.0584914,       329.9210248,         23.49868339,          498166.7884,                1.277893102,       646.1147479,       1800944.349,      -1744948.066,             5e-05,      -2472545.231,      -1996.500949,                 0,                 0,                 0,       598339.7564,       1996.476224,      -2472545.231,                 0,   0.0008074679179,               2.343737378,       7.337816009e-08,           1.042043203,   2.582629967e-05,           300.9997183,       300.0000862,            1744948.067,    0.0006877299111,              1.023730132,          1.177036443,              -676020.4596,            432.367039,                327.0584844,        6.926827925e-06,             329.9161358,       0.00488902449,                     23.49278388,              0.005899511299,                     0.0175512071,                  498166.7708,                          0.07120835066,                        1.206684751,                346.1146617,            300.0000862,                 1800944.348,         0.0007222799291
      -2.522951198,     -0.3705073544,      0.6493169704,          -3.424245986,        2.40599153,       2.395327808,       1.065006655,       600.9998045,       1822625.984,       2.200766575,      -675588.0925,        334.257704,       337.1831451,         24.01659711,          514877.8543,                1.275288099,       648.1227638,       1881114.598,      -1822625.983,             5e-05,      -2583236.133,      -2038.474375,                 0,                 0,                 0,        625124.401,       2038.448543,      -2583236.133,                 0,    0.000789116546,               2.395327736,       7.225273762e-08,           1.064980835,   2.582046617e-05,           300.9997183,       300.0000862,            1822625.984,    0.0007378771445,              1.023730132,          1.177036443,              -676020.4596,            432.367039,                334.2576972,        6.820589123e-06,              337.178251,       0.00489411769,                     24.01070421,              0.005892896426,                    0.01755120602,                  514877.8367,                          0.07121071464,                        1.204077384,                348.1226775,            300.0000862,                 1881114.597,         0.0007724105794
      -2.513521402,     -0.3515294971,      0.6682254928,           -3.41525383,       2.414983685,       2.448052163,       1.088448472,       600.9998045,       1903759.309,       2.200766575,      -675588.0925,       341.6151614,       344.6048927,         24.54590909,          533178.6341,                1.272712646,       650.2200894,       1964851.106,      -1903759.308,             5e-05,      -2698875.641,      -2081.346247,                 0,                 0,                 0,        653106.447,       2081.319258,      -2698875.641,                 0,   0.0007711901263,               2.448052092,       7.107454183e-08,           1.088422658,   2.581449616e-05,           300.9997183,       300.0000862,            1903759.309,    0.0007926486105,              1.023730132,          1.177036443,              -676020.4596,            432.367039,                341.6151547,         6.70936857e-06,             344.5999936,      0.004899123854,                      24.5400228,              0.005886295245,                    0.01755120496,                  533178.6166,                          0.07121306807,                        1.201499578,                350.2200032,            300.0000862,                 1964851.105,         0.0008271651373
      -2.504092255,      -0.332554692,      0.6871332779,          -3.405896316,         2.4243412,       2.501935438,        1.11240556,       600.9998045,       1988501.687,       2.200766575,      -675588.0925,        349.134341,       352.1897755,         25.08686977,          553310.9012,                1.270166302,       652.4106955,       2052312.444,      -1988501.685,             5e-05,      -2819683.042,      -2124.981015,                 0,                 0,                 0,       682338.9552,       2124.952818,      -2819683.042,                 0,   0.0007536240718,               2.501935368,       6.983960261e-08,           1.112379752,   2.580839072e-05,           300.9997183,       300.0000862,            1988501.686,    0.0008524783984,              1.023730132,          1.177036443,              -676020.4596,            432.367039,                349.1343344,        6.592791493e-06,             352.1848715,      0.004904043792,                     25.08099006,              0.005879707679,                    0.01755120392,                  553310.8837,                          0.07121541013,                        1.198950892,                352.4106092,            300.0000862,                 2052312.443,         0.0008869776943
      -2.494665769,      -0.313578163,      0.7060397349,          -3.396376586,        2.43386093,       2.557003102,       1.136889244,       600.9998045,       2077013.587,       2.200766575,      -675588.0925,       356.8187971,       359.9413787,         25.63973507,          575564.2693,                1.267648638,       654.6987289,       2143664.232,      -2077013.586,             5e-05,       -2945889.61,      -2169.515271,                 0,                 0,                 0,       712877.8867,       2169.485812,       -2945889.61,                 0,    0.000736455047,               2.557003034,       6.854367718e-08,           1.136863442,   2.580215087e-05,           300.9997183,       300.0000862,            2077013.587,    0.0009178407381,              1.023730132,          1.177036443,              -676020.4596,            432.367039,                356.8187906,        6.470457376e-06,             359.9364698,      0.004908878285,                     25.63386194,              0.005873133657,                     0.0175512029,                  575564.2518,                          0.07121774004,                        1.196430898,                354.6986427,            300.0000862,                 2143664.231,         0.0009523224827
