"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Grid_Velocity_x","Grid_Velocity_y"
0, 9.997500181200000e-01, 2.510409714103318e-01, 1.223106388484992e-04, 0.000000000000000e+00, -1.277833844569680e-02, 3.386334633989405e+01, 0.000000000000000e+00, -1.043823802161252e+02
1, 9.990000128750000e-01, 2.509409714053316e-01, 1.337387108698320e-04, 0.000000000000000e+00, -1.397257283745358e-02, 3.787551666564772e+01, 0.000000000000000e+00, -1.043823802161252e+02
2, 9.977599978450000e-01, 2.507509713993316e-01, 1.335449145497929e-04, 0.000000000000000e+00, -1.395213482190411e-02, 3.794677167424783e+01, 0.000000000000000e+00, -1.043823802161252e+02
3, 9.960200190539999e-01, 2.505009714163314e-01, 1.384907184444052e-04, 0.000000000000000e+00, -1.447098955262585e-02, 4.025437498446964e+01, 0.000000000000000e+00, -1.043823802161252e+02
4, 9.937800168990000e-01, 2.501809714243314e-01, 1.390851482839565e-04, 0.000000000000000e+00, -1.453299833380601e-02, 4.047496961582878e+01, 0.000000000000000e+00, -1.043823802161252e+02
5, 9.910500049590000e-01, 2.497909713653315e-01, 1.380471155726213e-04, 0.000000000000000e+00, -1.442442990754486e-02, 4.024093305224484e+01, 0.000000000000000e+00, -1.043823802161252e+02
6, 9.878399968150000e-01, 2.493309713553316e-01, 1.376382333282836e-04, 0.000000000000000e+00, -1.438166820795616e-02, 4.016732892142203e+01, 0.000000000000000e+00, -1.043823802161252e+02
7, 9.841300249100000e-01, 2.488009715103317e-01, 1.427468151533361e-04, 0.000000000000000e+00, -1.492315032080941e-02, 4.215024549668880e+01, 0.000000000000000e+00, -1.043823802161252e+02
8, 9.799500107769999e-01, 2.482009713653313e-01, 1.422519072254792e-04, 0.000000000000000e+00, -1.487120938339604e-02, 4.225477247913895e+01, 0.000000000000000e+00, -1.043823802161252e+02
9, 9.752799868580000e-01, 2.475409714623316e-01, 1.439126891406275e-04, 0.000000000000000e+00, -1.504461818626569e-02, 4.289382359034907e+01, 0.000000000000000e+00, -1.043823802161252e+02
10, 9.701499938960000e-01, 2.468209715683315e-01, 1.440228132493682e-04, 0.000000000000000e+00, -1.505612372091287e-02, 4.298557992593413e+01, 0.000000000000000e+00, -1.043823802161252e+02
11, 9.645400047300000e-01, 2.460409712163315e-01, 1.432167430415048e-04, 0.000000000000000e+00, -1.496543743923639e-02, 4.231677518219269e+01, 0.000000000000000e+00, -1.043823802161252e+02
12, 9.584699869160000e-01, 2.452009713393316e-01, 1.436372271656403e-04, 0.000000000000000e+00, -1.500942921500677e-02, 4.212667891732211e+01, 0.000000000000000e+00, -1.043823802161252e+02
13, 9.519400000570000e-01, 2.443109715473314e-01, 1.421388135192866e-04, 0.000000000000000e+00, -1.485196956999910e-02, 4.144133317864431e+01, 0.000000000000000e+00, -1.043823802161252e+02
14, 9.449599981310000e-01, 2.433609712983314e-01, 1.421727302998743e-04, 0.000000000000000e+00, -1.485549616603746e-02, 4.136900745829887e+01, 0.000000000000000e+00, -1.043823802161252e+02
15, 9.375399947170000e-01, 2.423609711353313e-01, 1.446009723495219e-04, 0.000000000000000e+00, -1.510024147906627e-02, 4.183345873445978e+01, 0.000000000000000e+00, -1.043823802161252e+02
16, 9.296900033950000e-01, 2.413109710563311e-01, 1.449229891689779e-04, 0.000000000000000e+00, -1.513378777251295e-02, 4.173026717298126e+01, 0.000000000000000e+00, -1.043823802161252e+02
17, 9.214000105860000e-01, 2.402109710623316e-01, 1.452910386244095e-04, 0.000000000000000e+00, -1.517182173430912e-02, 4.177680798123852e+01, 0.000000000000000e+00, -1.043823802161252e+02
18, 9.126999974250000e-01, 2.390709716943314e-01, 1.451029352657743e-04, 0.000000000000000e+00, -1.515214000899681e-02, 4.180423308908681e+01, 0.000000000000000e+00, -1.043823802161252e+02
19, 9.035800099370001e-01, 2.378909710913314e-01, 1.467514710825475e-04, 0.000000000000000e+00, -1.532512088762705e-02, 4.234846996111400e+01, 0.000000000000000e+00, -1.043823802161252e+02
20, 8.940600156780000e-01, 2.366709711153317e-01, 1.466182341970084e-04, 0.000000000000000e+00, -1.531117261205251e-02, 4.243012904584616e+01, 0.000000000000000e+00, -1.043823802161252e+02
21, 8.841500282290000e-01, 2.354209723073314e-01, 1.477066134184200e-04, 0.000000000000000e+00, -1.542506046632313e-02, 4.274124513272940e+01, 0.000000000000000e+00, -1.043823802161252e+02
22, 8.738499879840000e-01, 2.341309713323317e-01, 1.477665744786776e-04, 0.000000000000000e+00, -1.543129677233767e-02, 4.282122882773277e+01, 0.000000000000000e+00, -1.043823802161252e+02
23, 8.631799817090000e-01, 2.328109705943316e-01, 1.487972307076850e-04, 0.000000000000000e+00, -1.554008624973440e-02, 4.311368461628717e+01, 0.000000000000000e+00, -1.043823802161252e+02
24, 8.521599769590000e-01, 2.314709706353314e-01, 1.486973013638552e-04, 0.000000000000000e+00, -1.552961327021541e-02, 4.317317026943200e+01, 0.000000000000000e+00, -1.043823802161252e+02
25, 8.407700061800000e-01, 2.301109714553314e-01, 1.494159412851548e-04, 0.000000000000000e+00, -1.560493046408000e-02, 4.337320154475578e+01, 0.000000000000000e+00, -1.043823802161252e+02
26, 8.290500044819999e-01, 2.287209706503316e-01, 1.492543954974090e-04, 0.000000000000000e+00, -1.558803460467551e-02, 4.339434556077220e+01, 0.000000000000000e+00, -1.043823802161252e+02
27, 8.170099854470000e-01, 2.273109706233315e-01, 1.502085285710063e-04, 0.000000000000000e+00, -1.568818790010772e-02, 4.370861935377015e+01, 0.000000000000000e+00, -1.043823802161252e+02
