"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Grid_Velocity_x","Grid_Velocity_y"
0, 9.999841595867058e-01, 4.880955918242814e-03, 6.608106566622023e-01, -5.640297755762112e-03, 8.689721109410266e-01, 1.531589510005784e+05, 0.000000000000000e+00, -8.535422668439936e-03, 1.315009344389826e+00
1, 5.223966086459475e-06, -1.609676951760926e-03, 1.120288371789105e+00, 3.153467927538830e-03, -4.858388334159817e-01, 2.606669555017469e+05, 0.000000000000000e+00, 2.814873433208911e-03, -4.336732944264318e-01
2, 9.989892730502264e-01, 4.981954826807503e-03, 8.472478566129309e-01, -7.381260162329152e-03, 1.112665087542423e+00, 1.965363624593005e+05, 0.000000000000000e+00, -8.712041426750928e-03, 1.313269566928560e+00
3, 9.979262063391711e-01, 5.089875251510186e-03, 8.252507295783071e-01, -7.345373183087228e-03, 1.082244175572613e+00, 1.914424663800246e+05, 0.000000000000000e+00, -8.900763975125544e-03, 1.311410561468237e+00
4, 9.967904465268296e-01, 5.205175335722774e-03, 8.254484290994727e-01, -7.513566360585964e-03, 1.080864014616504e+00, 1.914748901579403e+05, 0.000000000000000e+00, -9.102391477800361e-03, 1.309424436166034e+00
5, 9.955772048518681e-01, 5.328341225000973e-03, 8.237606012103224e-01, -7.675627756587401e-03, 1.076906320644278e+00, 1.910519649617841e+05, 0.000000000000000e+00, -9.317774066976082e-03, 1.307302816821746e+00
6, 9.942814031638704e-01, 5.459888443105953e-03, 8.227156368277089e-01, -7.855148173247291e-03, 1.073675966437203e+00, 1.907856444381310e+05, 0.000000000000000e+00, -9.547813249093441e-03, 1.305036823174845e+00
7, 9.928976601989742e-01, 5.600363285275358e-03, 8.212758378295654e-01, -8.043148888476384e-03, 1.069809668135387e+00, 1.904368723362882e+05, 0.000000000000000e+00, -9.793464341273334e-03, 1.302617044904420e+00
8, 9.914202777714869e-01, 5.750344220022885e-03, 8.200046617943297e-01, -8.245766432916919e-03, 1.066035308052133e+00, 1.901311853368216e+05, 0.000000000000000e+00, -1.005573892267105e-02, 1.300033517482179e+00
9, 9.898432269841775e-01, 5.910443289041178e-03, 8.186443515027462e-01, -8.461282550339887e-03, 1.062009200427897e+00, 1.898051268040710e+05, 0.000000000000000e+00, -1.033570728251373e-02, 1.297275698058125e+00
10, 9.881601345787636e-01, 6.081307492874708e-03, 8.173140753480449e-01, -8.691741919710358e-03, 1.057877911379155e+00, 1.894865664696597e+05, 0.000000000000000e+00, -1.063450084325351e-02, 1.294332441591383e+00
11, 9.863642695690173e-01, 6.263620147899364e-03, 8.159395879108420e-01, -8.937258218820356e-03, 1.053536450306950e+00, 1.891567845721031e+05, 0.000000000000000e+00, -1.095331453354415e-02, 1.291191977475255e+00
12, 9.844485303222315e-01, 6.458102197786700e-03, 8.145476241985047e-01, -9.199035320544099e-03, 1.049010349281678e+00, 1.888229712141382e+05, 0.000000000000000e+00, -1.129340908162412e-02, 1.287841886946323e+00
13, 9.824054322803550e-01, 6.665513460029907e-03, 8.131131881171345e-01, -9.477755593057358e-03, 1.044257915778871e+00, 1.884788768856413e+05, 0.000000000000000e+00, -1.165611319514083e-02, 1.284269081612168e+00
14, 9.802270965401669e-01, 6.886653785262316e-03, 8.116403300344421e-01, -9.774459890905933e-03, 1.039274604087528e+00, 1.881263133916123e+05, 0.000000000000000e+00, -1.204282558847349e-02, 1.280459783481287e+00
15, 9.779052395423269e-01, 7.122364104003655e-03, 8.101175690175864e-01, -1.009004605423677e-02, 1.034035521726680e+00, 1.877626709961961e+05, 0.000000000000000e+00, -1.245501681319865e-02, 1.276399506932144e+00
