"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
0	9.997500181200000e-01	-3.632896519016437e-05	1.454020968276584e+00	2.624388087175151e+02	3.540934203805651e+01	3.460574490602594e+05	1.287769083012455e+05	3.085301924653671e+02	6.047528352288765e-01	5.172222766494458e-01	
1	9.990000128750000e-01	-1.452537504052920e-04	1.424733239036030e+00	2.713762280285539e+02	3.858185641157672e+01	3.398692951842640e+05	1.254006746378404e+05	3.066173047352572e+02	5.303759701332440e-01	5.480704853910796e-01	
2	9.977599978450000e-01	-3.251111630156300e-04	1.406431026759111e+00	2.794699101261405e+02	4.007436483211755e+01	3.361629067643269e+05	1.231301759390796e+05	3.049835439577411e+02	4.803579345784332e-01	5.733888493901723e-01	
3	9.960200190539999e-01	-5.769983605901485e-04	1.391433130167295e+00	2.857287906286371e+02	4.099425557987197e+01	3.331225905973563e+05	1.212726833725085e+05	3.036204312408393e+02	4.394382329779642e-01	5.938842152981730e-01	
4	9.937800168990000e-01	-9.004365425509819e-04	1.378641279259887e+00	2.905273932423658e+02	4.174304069775641e+01	3.305110726752838e+05	1.197068129074599e+05	3.024808853676046e+02	4.049428313123417e-01	6.106257876616762e-01	
5	9.910500049590000e-01	-1.293363843462116e-03	1.367571108326157e+00	2.945392041507336e+02	4.223253692577616e+01	3.282505678837649e+05	1.183521721064379e+05	3.014787188242806e+02	3.751007213888719e-01	6.250793277586031e-01	
6	9.878399968150000e-01	-1.753609743384430e-03	1.357434794223662e+00	2.978759225451358e+02	4.255701037357372e+01	3.261661424808325e+05	1.171264181559432e+05	3.005842568834322e+02	3.480979291341329e-01	6.377817680593378e-01	
7	9.841300249100000e-01	-2.283176811071472e-03	1.348178698469190e+00	3.008380678489897e+02	4.279076930318741e+01	3.242625069045143e+05	1.160073240921286e+05	2.997562821197754e+02	3.234448048211345e-01	6.493842733164285e-01	
8	9.799500107769999e-01	-2.876826092032643e-03	1.339543433381726e+00	3.034613914583513e+02	4.294729981485319e+01	3.224817970125405e+05	1.149680467673073e+05	2.989858937122438e+02	3.005500063292478e-01	6.600529325364198e-01	
9	9.752799868580000e-01	-3.536324145770189e-03	1.331429682278972e+00	3.058391231684950e+02	4.303434733999399e+01	3.208064657433722e+05	1.139936997506440e+05	2.982585896104285e+02	2.790855924765615e-01	6.700184806800413e-01	
