"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.310084420907820e+00, 3.117241889004425e+02, 4.295368111347692e+01, 3.163897540171203e+05, 1.114397782354667e+05, 2.963270532381660e+02, 6.960189734709734e-01, 2.228238834431871e-01, 2.379420623019346e+02, 3.278695664796339e+01
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.303210749957812e+00, 3.134768199002366e+02, 4.284240189276233e+01, 3.149624073675306e+05, 1.106224150217519e+05, 2.957051082747363e+02, 7.042567885653078e-01, 2.048177501179010e-01, 2.405419230238737e+02, 3.287450007157265e+01
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.296579250379188e+00, 3.151178513432153e+02, 4.269233968564071e+01, 3.135838976822555e+05, 1.098352998730229e+05, 2.951027239169821e+02, 7.121772243831115e-01, 1.874779676655495e-01, 2.430378638645175e+02, 3.292690336757681e+01
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.290161394420553e+00, 3.166576745974565e+02, 4.250626099416215e+01, 3.122482445611448e+05, 1.090750969846833e+05, 2.945180462228790e+02, 7.198119852091843e-01, 1.707310498546779e-01, 2.454403580566571e+02, 3.294646792097890e+01
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.283928771247546e+00, 3.181094127445896e+02, 4.228673991987475e+01, 3.109497427762739e+05, 1.083382335609506e+05, 2.939484432701090e+02, 7.272015751780885e-01, 1.544982896476721e-01, 2.477625082234853e+02, 3.293542513171217e+01
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.277854536611403e+00, 3.194824833297808e+02, 4.203684294665486e+01, 3.096828389508236e+05, 1.076214965487325e+05, 2.933917874982642e+02, 7.343786705839785e-01, 1.387089049719016e-01, 2.500147506436687e+02, 3.289642266961588e+01
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.271930077525852e+00, 3.207849402657779e+02, 4.175782412413446e+01, 3.084459953702820e+05, 1.069236109509331e+05, 2.928469633836187e+02, 7.413619816450564e-01, 1.233348082314046e-01, 2.522032821880948e+02, 3.283028278202323e+01
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.266131232064847e+00, 3.220189547560727e+02, 4.145191120344154e+01, 3.072338048521738e+05, 1.062420934799036e+05, 2.923130761840828e+02, 7.481667826842668e-01, 1.083212937485383e-01, 2.543330000879246e+02, 3.273903222167615e+01
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.260457634725695e+00, 3.231971410707368e+02, 4.112129500505661e+01, 3.060469721765817e+05, 1.055761199899303e+05, 2.917882433273686e+02, 7.548203339846937e-01, 9.365020597463813e-02, 2.564125379279978e+02, 3.262409927328144e+01
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.254895031470063e+00, 3.243199205651781e+02, 4.076699753994327e+01, 3.048822186064094e+05, 1.049243143293751e+05, 2.912722330326010e+02, 7.613284226472488e-01, 7.929122892599728e-02, 2.584438637750038e+02, 3.248638054785047e+01
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.249418345551410e+00, 3.253878139685715e+02, 4.039020106090954e+01, 3.037338678600457e+05, 1.042841635610456e+05, 2.907641299804616e+02, 7.677051617643212e-01, 6.518900375924393e-02, 2.604314360575257e+02, 3.232720345808914e+01
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.244038201214955e+00, 3.264156196180901e+02, 3.999346222042249e+01, 3.026053156003093e+05, 1.036557415382038e+05, 2.902618717923759e+02, 7.739785865230155e-01, 5.134515742756285e-02, 2.623839198019044e+02, 3.214809817042917e+01
24, 8.521599769590000e-01, -1.960709133914372e-02, 1.238719953249394e+00, 3.273968728328360e+02, 3.957607145413311e+01, 3.014882485149723e+05, 1.030360476175313e+05, 2.897653177584490e+02, 7.801522977686264e-01, 3.769358714733564e-02, 2.643025745843624e+02, 3.194916764706798e+01
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.233461669588870e+00, 3.283412400912738e+02, 3.914059061683298e+01, 3.003829116268913e+05, 1.024242058230445e+05, 2.892725955431458e+02, 7.862511568446059e-01, 2.421499557304262e-02, 2.661949278089157e+02, 3.173231206274865e+01
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.228251799271484e+00, 3.292475280628727e+02, 3.868639041050629e+01, 2.992865681408969e+05, 1.018191808008857e+05, 2.887836058487023e+02, 7.922777396447567e-01, 1.088657433835805e-02, 2.680619138992184e+02, 3.149711682364515e+01
27, 8.170099854470000e-01, -2.376642068849115e-02, 1.223085558636147e+00, 3.301216642457419e+02, 3.821448331882409e+01, 2.981985570672382e+05, 1.012200713514589e+05, 2.882970152005325e+02, 7.982496558692579e-01, -2.311529566747282e-03, 2.699088889691888e+02, 3.124432550854150e+01
28, 8.046399950980000e-01, -2.518763605296113e-02, 1.217954035944340e+00, 3.309622822747556e+02, 3.772505977857649e+01, 2.971167405172665e+05, 1.006261050927632e+05, 2.878128031556978e+02, 8.041681789731320e-01, -1.539633136029648e-02, 2.717362663182476e+02, 3.097412436367222e+01
29, 7.919700145720000e-01, -2.662062628442961e-02, 1.212858508876587e+00, 3.317710127311817e+02, 3.721752358018532e+01, 2.960414770032658e+05, 1.000373407677054e+05, 2.873309075228455e+02, 8.100350442653397e-01, -2.836653696324140e-02, 2.735446965190403e+02, 3.068579171255363e+01
30, 7.790099978450000e-01, -2.806276676215449e-02, 1.207797378620181e+00, 3.325547971484290e+02, 3.669284812991444e+01, 2.949729203834714e+05, 9.945310238742374e+04, 2.868498306865241e+02, 8.158693112254670e-01, -4.123703809735860e-02, 2.753398898152504e+02, 3.037997000112162e+01
31, 7.657799720760000e-01, -2.951033727360171e-02, 1.202747433547473e+00, 3.333120936392032e+02, 3.614989216962935e+01, 2.939057482824584e+05, 9.887113218432148e+04, 2.863686114989385e+02, 8.216832633847996e-01, -5.405757233791808e-02, 2.771255912441297e+02, 3.005609586960926e+01
32, 7.522799968720000e-01, -3.096181144522562e-02, 1.197672620999359e+00, 3.340426153763180e+02, 3.558793058042532e+01, 2.928319013392194e+05, 9.828771595309001e+04, 2.858850641536336e+02, 8.275037060790328e-01, -6.690996190894732e-02, 2.789097867976533e+02, 2.971423906370183e+01
33, 7.385200262070000e-01, -3.241453277608040e-02, 1.192570248752890e+00, 3.347540689400481e+02, 3.500687662694448e+01, 2.917513888449400e+05, 9.770196519052111e+04, 2.853971775615885e+02, 8.333549586929119e-01, -7.981378012492718e-02, 2.806996646865135e+02, 2.935414216776943e+01
34, 7.245299816130000e-01, -3.386376679305321e-02, 1.187449385111300e+00, 3.354472770923746e+02, 3.440543766255121e+01, 2.906662801399587e+05, 9.711477198602133e+04, 2.849053031765606e+02, 8.392328137720866e-01, -9.274937466908718e-02, 2.824939583095856e+02, 2.897423510756746e+01
35, 7.103199958800001e-01, -3.530689307158652e-02, 1.182288119182288e+00, 3.361141159094762e+02, 3.378144162908426e+01, 2.895710433451641e+05, 9.652451283954571e+04, 2.844098533040044e+02, 8.451324070789173e-01, -1.057525104960675e-01, 2.842912065647285e+02, 2.857293504095152e+01
36, 6.958900094030001e-01, -3.674225211597043e-02, 1.177114973637923e+00, 3.367709654045394e+02, 3.313525574569528e+01, 2.884733362197127e+05, 9.593284453109997e+04, 2.839087536153307e+02, 8.510784038437849e-01, -1.187866895090946e-01, 2.860986164875082e+02, 2.814954909909045e+01
37, 6.812700033190000e-01, -3.816515293304169e-02, 1.171875696462182e+00, 3.373984155432535e+02, 3.246272592142330e+01, 2.873595356799045e+05, 9.533567328359628e+04, 2.834028646453834e+02, 8.570604919146623e-01, -1.319420957228271e-01, 2.879131434859839e+02, 2.770150965620859e+01
