"PointID","x","y","Density","X-Momentum","Y-Momentum","Energy","Pressure","Temperature","Mach","C<sub>p</sub>","<greek>m</greek>","C<sub>f</sub>_x","C<sub>f</sub>_y","h","y<sup>+</sup>"
0,2.500000000000000e+00,-2.000000000000000e+00,5.238100693482934e-05,1.751897893605924e-03,9.320980780926267e-05,1.084478563208181e+01,4.326162534116348e+00,2.877128999537402e+02,9.849637840801818e-02,-7.577950469140409e-01,1.787187897550103e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
1,2.500000000000000e+00,2.000000000000000e+00,5.238126168423338e-05,1.752037466466615e-03,-9.332225624521316e-05,1.084486294634793e+01,4.326191569601800e+00,2.877134317051147e+02,9.850396892151603e-02,-7.568413325046529e-01,1.787190465062786e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
2,-1.500000000000000e+00,2.000000000000000e+00,5.281300304718930e-05,1.743879928905442e-03,8.672111975090765e-05,1.096931081896140e+01,4.376179300477025e+00,2.886586591039830e+02,9.706684392986897e-02,8.850812489671039e-01,1.791750808906797e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
3,-1.500000000000000e+00,-2.000000000000000e+00,5.281449132470960e-05,1.744362277305386e-03,-8.651428404696622e-05,1.096977820401475e+01,4.376360343977523e+00,2.886624664291399e+02,9.708967933188509e-02,8.910278964042144e-01,1.791769163195048e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
4,1.464466094067263e-01,3.535533905932738e-01,5.221613561155681e-05,0.000000000000000e+00,0.000000000000000e+00,1.082925345784806e+01,4.331701383139224e+00,2.889908733596226e+02,0.000000000000000e+00,-5.758631782976351e-01,1.793351903708950e-05,3.281747739796492e-01,3.281747739795742e-01,-1.428133736718235e-01,1.690520946956731e+00,
5,1.464466094067262e-01,-3.535533905932737e-01,5.221619187308214e-05,0.000000000000000e+00,0.000000000000000e+00,1.082926956982620e+01,4.331707827930478e+00,2.889909919457148e+02,0.000000000000000e+00,-5.756514893870402e-01,1.793352475072255e-05,3.281752469950608e-01,-3.281752469951504e-01,-1.428138332093651e-01,1.690522537419030e+00,
6,8.535533905932737e-01,-3.535533905932738e-01,5.181229817181392e-05,0.000000000000000e+00,0.000000000000000e+00,1.072218214810242e+01,4.288872859240967e+00,2.883637477260929e+02,0.000000000000000e+00,-1.982630784836545e+00,1.790328751174969e-05,1.582040759560112e-01,1.582040759559976e-01,-3.950510256706416e-02,1.171179843827090e+00,
7,8.535533905932737e-01,3.535533905932737e-01,5.181231708594994e-05,0.000000000000000e+00,0.000000000000000e+00,1.072218732747466e+01,4.288874930989864e+00,2.883637817532838e+02,0.000000000000000e+00,-1.982562735112396e+00,1.790328915293849e-05,1.582046334466093e-01,-1.582046334466520e-01,-3.950734923345316e-02,1.171182013776989e+00,
8,2.400000000000000e+01,-1.000000000000000e+01,5.258046501749545e-05,1.789297365939140e-03,-8.854660690542842e-11,1.090352773288851e+01,4.349233243215537e+00,2.881499984213706e+02,9.999998710306629e-02,-2.733134533093259e-06,1.789297618418362e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
9,2.400000000000000e+01,1.000000000000000e+01,5.258046531566099e-05,1.789297474042089e-03,4.804221311610657e-11,1.090352782272482e+01,4.349233277747636e+00,2.881499990752293e+02,9.999999246418464e-02,-1.598875515320244e-06,1.789297621573158e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
10,-2.400000000000000e+01,1.000000000000000e+01,5.258046489091883e-05,1.789297844671459e-03,-6.617193160370446e-11,1.090352771278874e+01,4.349233228629869e+00,2.881499981486872e+02,1.000000141464330e-01,-3.212222839007300e-06,1.789297617102695e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
11,-2.400000000000000e+01,-1.000000000000000e+01,5.258046588034456e-05,1.789297489835671e-03,5.737562841807077e-11,1.090352798659301e+01,4.349233343210712e+00,2.881500003177950e+02,9.999999205730142e-02,5.513581641667617e-07,1.789297627568399e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
12,1.800000000000000e+01,2.000000000000000e+00,5.258046572069313e-05,1.789297622208513e-03,4.733675698622326e-12,1.090352794496206e+01,4.349233324719516e+00,2.881499999676141e+02,9.999999981973132e-02,-5.601312379585242e-08,1.789297625878815e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
13,1.800000000000000e+01,-2.000000000000000e+00,5.258046571275262e-05,1.789297621094218e-03,-7.178652343507823e-12,1.090352794262705e+01,4.349233323798840e+00,2.881499999501319e+02,9.999999977559093e-02,-8.625411803876692e-08,1.789297625794465e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
14,1.184579659002250e-01,3.231496189306219e-01,5.258245067918281e-05,0.000000000000000e+00,0.000000000000000e+00,1.091031818405175e+01,4.364127273620700e+00,2.891258548480112e+02,0.000000000000000e+00,4.892142091669134e-01,1.794002189169498e-05,2.867479225136552e-01,3.385626323553343e-01,-1.208120538655511e-01,1.555173040761753e+00,
15,9.307564136505508e-02,2.905384077011828e-01,5.282628255073049e-05,0.000000000000000e+00,0.000000000000000e+00,1.096534213217527e+01,4.386136852870108e+00,2.892427443197499e+02,0.000000000000000e+00,1.212152109038785e+00,1.794565196678942e-05,2.418115114736782e-01,3.386780942166610e-01,-1.012034856975744e-01,1.415838983992673e+00,
16,7.047302281520773e-02,2.559425245450528e-01,5.297084288748094e-05,0.000000000000000e+00,0.000000000000000e+00,1.099884433564521e+01,4.399537734258084e+00,2.893346911988058e+02,0.000000000000000e+00,1.652324314843935e+00,1.795007989244027e-05,1.945208486809966e-01,3.264481050261994e-01,-8.238821915439067e-02,1.272316069719887e+00,
17,5.080450905418732e-02,2.195982944240468e-01,5.303799512792211e-05,0.000000000000000e+00,0.000000000000000e+00,1.101533280479061e+01,4.406133121916243e+00,2.894015551300061e+02,0.000000000000000e+00,1.868959791987753e+00,1.795329946234923e-05,1.472135834640775e-01,3.011301980804293e-01,-6.294667131896389e-02,1.125896547406224e+00,
