"PointID","x","y","Density","X-Momentum","Y-Momentum","Energy","Pressure","Temperature","Mach","C<sub>p</sub>","<greek>m</greek>","C<sub>f</sub>_x","C<sub>f</sub>_y","h","y<sup>+</sup>"
0,2.500000000000000e+00,-2.000000000000000e+00,5.239366418937935e-05,1.759394890358510e-03,1.050981894752946e-04,1.084874238786589e+01,4.327638589988225e+00,2.877415361882387e+02,9.892541975620082e-02,-7.093117606132766e-01,1.787326161733970e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
1,2.500000000000000e+00,2.000000000000000e+00,5.239396070549712e-05,1.759577217644541e-03,-1.053102849101962e-04,1.084883311972509e+01,4.327672330337238e+00,2.877421511147419e+02,9.893567986338793e-02,-7.082035078484115e-01,1.787329130707925e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
2,-1.500000000000000e+00,2.000000000000000e+00,5.282308246477971e-05,1.743640276883406e-03,1.046649990888131e-04,1.097222741221569e+01,4.377338302546894e+00,2.886800135493282e+02,9.708608045023776e-02,9.231504238860579e-01,1.791853752548090e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
3,-1.500000000000000e+00,-2.000000000000000e+00,5.282412271538934e-05,1.744359668664854e-03,-1.041451655102346e-04,1.097257792557644e+01,4.377469646017041e+00,2.886829904227404e+02,9.712185287517899e-02,9.274645987003074e-01,1.791868102908004e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
4,1.464466094067263e-01,3.535533905932738e-01,5.212539134528651e-05,0.000000000000000e+00,0.000000000000000e+00,1.080476542820267e+01,4.321906171281065e+00,2.888393445713015e+02,0.000000000000000e+00,-8.976017181076564e-01,1.792621725992634e-05,3.150012818900098e-01,3.150012818899379e-01,-1.506894176056572e-01,1.655477500179443e+00,
5,1.464466094067262e-01,-3.535533905932737e-01,5.212550153504234e-05,0.000000000000000e+00,0.000000000000000e+00,1.080479684621372e+01,4.321918738485487e+00,2.888395738675984e+02,0.000000000000000e+00,-8.971889292819752e-01,1.792622831050911e-05,3.150001543548268e-01,-3.150001543549127e-01,-1.506896306024087e-01,1.655475266585530e+00,
6,8.535533905932737e-01,-3.535533905932738e-01,5.187603548840364e-05,0.000000000000000e+00,0.000000000000000e+00,1.074136716601939e+01,4.296546866407757e+00,2.885247809820272e+02,0.000000000000000e+00,-1.730566419502966e+00,1.791105337485608e-05,1.182611484592969e-01,1.182611484592868e-01,-1.876647232487823e-02,1.012778377452978e+00,
7,8.535533905932737e-01,3.535533905932737e-01,5.187603872987586e-05,0.000000000000000e+00,0.000000000000000e+00,1.074136749540490e+01,4.296546998161960e+00,2.885247718012195e+02,0.000000000000000e+00,-1.730562091837007e+00,1.791105293216910e-05,1.182599065120925e-01,-1.182599065121245e-01,-1.876852613478220e-02,1.012773116147421e+00,
8,2.400000000000000e+01,-1.000000000000000e+01,5.258046372646142e-05,1.789296881725225e-03,-2.553562162774864e-10,1.090352734324048e+01,4.349233093648377e+00,2.881499955871777e+02,9.999996298853076e-02,-7.645893972380503e-06,1.789297604743697e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
9,2.400000000000000e+01,1.000000000000000e+01,5.258046432469882e-05,1.789297104561186e-03,1.641413380883201e-10,1.090352752364778e+01,4.349233162916637e+00,2.881499968979678e+02,9.999997407714883e-02,-5.370673281617889e-06,1.789297611068114e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
10,-2.400000000000000e+01,1.000000000000000e+01,5.258046528656786e-05,1.789297734633777e-03,-5.596341016776097e-11,1.090352782335391e+01,4.349233274445391e+00,2.881499990158808e+02,1.000000070937233e-01,-1.707342763297183e-06,1.789297621286808e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
11,-2.400000000000000e+01,-1.000000000000000e+01,5.258046857052032e-05,1.789296612833496e-03,-1.177522418390777e-11,1.090352873402292e+01,4.349233654743376e+00,2.881500062151598e+02,9.999993690392039e-02,1.078411941144297e-05,1.789297656022527e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
12,1.800000000000000e+01,2.000000000000000e+00,5.258046566761348e-05,1.789297611612205e-03,2.130842340673348e-11,1.090352792925402e+01,4.349233318568243e+00,2.881499998509590e+02,9.999999934871791e-02,-2.580609924941015e-07,1.789297625315967e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
13,1.800000000000000e+01,-2.000000000000000e+00,5.258046564007247e-05,1.789297608828137e-03,-2.922145363571817e-11,1.090352792119494e+01,4.349233315376125e+00,2.881499997904010e+02,9.999999925600919e-02,-3.629109229043277e-07,1.789297625023782e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
14,1.184579659002250e-01,3.231496189306219e-01,5.247828857017187e-05,0.000000000000000e+00,0.000000000000000e+00,1.088169541969484e+01,4.352678167877934e+00,2.889397143369666e+02,0.000000000000000e+00,1.131510247101246e-01,1.793105402322270e-05,2.761023475701506e-01,3.259934257706300e-01,-1.259135272046728e-01,1.525282186963066e+00,
15,9.307564136505508e-02,2.905384077011828e-01,5.270360867150460e-05,0.000000000000000e+00,0.000000000000000e+00,1.093145716266571e+01,4.372582865066283e+00,2.890200960597452e+02,0.000000000000000e+00,7.669508915711710e-01,1.793492699089308e-05,2.333224591374872e-01,3.267884366507118e-01,-1.019958611554253e-01,1.389979618191906e+00,
16,7.047302281520773e-02,2.559425245450528e-01,5.283725873975872e-05,0.000000000000000e+00,0.000000000000000e+00,1.096156944391062e+01,4.384627777564246e+00,2.890831633166745e+02,0.000000000000000e+00,1.162584249516980e+00,1.793796534677057e-05,1.881130407086694e-01,3.156944157218285e-01,-7.984781229583965e-02,1.250449878490684e+00,
17,5.080450905418732e-02,2.195982944240468e-01,5.290034078065504e-05,0.000000000000000e+00,0.000000000000000e+00,1.097646553867072e+01,4.390586215468287e+00,2.891308181509303e+02,0.000000000000000e+00,1.358298149180918e+00,1.794026097542581e-05,1.426735412860439e-01,2.918433933699224e-01,-5.984770481497950e-02,1.107764566759791e+00,
18,3.420445597454874e-02,1.817539852823973e-01,5.291528012588046e-05,0.000000000000000e+00,0.000000000000000e+00,1.098087533051547e+01,4.392350132206186e+00,2.891653145087188e+02,0.000000000000000e+00,1.416236660753331e+00,1.794192262034533e-05,9.969615620782549e-02,2.554993512022138e-01,-4.228031848300112e-02,9.629076898636985e-01,
19,2.078625877105689e-02,1.426681121251681e-01,5.291951133015140e-05,0.000000000000000e+00,0.000000000000000e+00,1.098266676857989e+01,4.393066707431954e+00,2.891893652939780e+02,0.000000000000000e+00,1.439773657210495e+00,1.794308105910825e-05,6.232906680874217e-02,2.093596448975064e-01,-2.933102718731206e-02,8.182862099185718e-01,
20,1.064157733648619e-02,1.026076710985966e-01,5.293919869781552e-05,0.000000000000000e+00,0.000000000000000e+00,1.098748572717562e+01,4.394994290870245e+00,2.892086626055313e+02,0.000000000000000e+00,1.503088048953955e+00,1.794401050682157e-05,3.272779976673990e-02,1.560860343055230e-01,-1.723078421656232e-02,6.719537986069746e-01,
