"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"Pressure"	"Temperature"	"Mach"	"C<sub>p</sub>"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"
0	2.500000000000000e+00	-2.000000000000000e+00	5.241190098345597e-05	1.754850839634554e-03	6.928405310548473e-05	1.085373263869832e+01	4.329723584456497e+00	2.877799976456289e+02	9.853020143909968e-02	-6.408269656493898e-01	1.787511854587058e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1	2.500000000000000e+00	2.000000000000000e+00	5.241206240333620e-05	1.754915306870519e-03	-6.933888254977642e-05	1.085378194582798e+01	4.329742451145115e+00	2.877803653261799e+02	9.853357045585520e-02	-6.402072607430471e-01	1.787513629700163e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
2	-1.500000000000000e+00	2.000000000000000e+00	5.275625189311260e-05	1.754066614935959e-03	5.923992524462404e-05	1.095320460900532e+01	4.369604520259990e+00	2.885350282372482e+02	9.769482768917585e-02	6.691226543769805e-01	1.791154748037376e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
3	-1.500000000000000e+00	-2.000000000000000e+00	5.275779582788476e-05	1.754355804339372e-03	-5.931295738289616e-05	1.095367128009791e+01	4.369787651355806e+00	2.885386765938626e+02	9.770757616992778e-02	6.751378720378939e-01	1.791172339599389e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
4	1.464466094067263e-01	3.535533905932738e-01	5.242872663677336e-05	0.000000000000000e+00	0.000000000000000e+00	1.088745422045299e+01	4.354981688181197e+00	2.893659118391070e+02	0.000000000000000e+00	1.888136310454097e-01	1.795158324428248e-05	3.411790705688725e-01	3.411790705687945e-01	-1.320501229274953e-01	1.725457242870998e+00	
5	1.464466094067262e-01	-3.535533905932737e-01	5.242874575562276e-05	0.000000000000000e+00	0.000000000000000e+00	1.088745975387085e+01	4.354983901548340e+00	2.893659533846197e+02	0.000000000000000e+00	1.888863324349184e-01	1.795158524475071e-05	3.411796281665522e-01	-3.411796281666453e-01	-1.320497987135792e-01	1.725458775176113e+00	
6	8.535533905932737e-01	-3.535533905932738e-01	5.163947739261245e-05	0.000000000000000e+00	0.000000000000000e+00	1.067151799616122e+01	4.268607198464485e+00	2.879616804555076e+02	0.000000000000000e+00	-2.648287046378184e+00	1.788388862427142e-05	2.067452991927577e-01	2.067452991927400e-01	-5.895139600602861e-02	1.338067116426639e+00	
7	8.535533905932737e-01	3.535533905932737e-01	5.163949450361188e-05	0.000000000000000e+00	0.000000000000000e+00	1.067152288202693e+01	4.268609152810771e+00	2.879617168788099e+02	0.000000000000000e+00	-2.648222852920263e+00	1.788389038220750e-05	2.067460289214376e-01	-2.067460289214934e-01	-5.895250227099041e-02	1.338069568006721e+00	
8	2.400000000000000e+01	-1.000000000000000e+01	5.258046554002804e-05	1.789297557346874e-03	-2.295765767444752e-11	1.090352789051049e+01	4.349233303779931e+00	2.881499995703784e+02	9.999999660727969e-02	-7.438054509656953e-07	1.789297623962198e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
9	2.400000000000000e+01	1.000000000000000e+01	5.258046565553919e-05	1.789297598428614e-03	8.389116665977440e-12	1.090352792528801e+01	4.349233317158492e+00	2.881499998237280e+02	9.999999863960390e-02	-3.043663798946384e-07	1.789297625184581e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
10	-2.400000000000000e+01	1.000000000000000e+01	5.258046524392971e-05	1.789297754991536e-03	-3.384213269806336e-11	1.090352781173441e+01	4.349233269510605e+00	2.881499989226006e+02	1.000000083287519e-01	-1.869433265982627e-06	1.789297620836742e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
11	-2.400000000000000e+01	-1.000000000000000e+01	5.258046542131440e-05	1.789297683519207e-03	3.832372037671786e-11	1.090352786055529e+01	4.349233290052916e+00	2.881499993114929e+02	1.000000039294776e-01	-1.194690010871148e-06	1.789297622713103e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
12	1.800000000000000e+01	2.000000000000000e+00	5.258046573407856e-05	1.789297625370027e-03	4.852034674577760e-13	1.090352794894143e+01	4.349233326271328e+00	2.881499999970719e+02	9.999999996585303e-02	-5.041512553299618e-09	1.789297626020946e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
