"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, 2.500000000000000e+00, -2.000000000000000e+00, 5.259085085120684e-05, 1.821166458401380e-03, 9.387056319067662e-05, 1.090785273388740e+01, 4.350494563225005e+00, 2.881766433086718e+02, 1.018913611995581e-01, 4.142722917313788e-02, 3.462895977009256e+01, 1.784921933593750e+00, 1.789426174175525e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1, 2.500000000000000e+00, 2.000000000000000e+00, 5.259169396500274e-05, 1.821532868217915e-03, -9.476776589853551e-05, 1.090811096999391e+01, 4.350592340996888e+00, 2.881785001524715e+02, 1.019124370670190e-01, 4.463888789040144e-02, 3.463537168873201e+01, -1.801953098555809e+00, 1.789435132827995e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
2, -1.500000000000000e+00, 2.000000000000000e+00, 5.269793082489080e-05, 1.777911575403139e-03, 1.248996270393690e-04, 1.093719945141299e+01, 4.362824015046272e+00, 2.884061235721779e+02, 9.934237374202218e-02, 4.464067112992115e-01, 3.373778718771588e+01, 2.370104956386165e+00, 1.790533129811318e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
3, -1.500000000000000e+00, -2.000000000000000e+00, 5.269551363025449e-05, 1.779195007468443e-03, -1.234195899079752e-04, 1.093657515196607e+01, 4.362557810036233e+00, 2.884017546529250e+02, 9.941330463190627e-02, 4.376628053520984e-01, 3.376369039596835e+01, -2.342127088350750e+00, 1.790512059188589e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
4, 1.464466094067263e-01, 3.535533905932738e-01, 5.214488063259353e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.080906317104103e+01, 4.323625268416410e+00, 2.888462369499549e+02, 0.000000000000000e+00, -8.411353741299716e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.792654942568374e-05, 2.775263741339267e-01, 2.775263741338634e-01, -1.591372080152426e-01, 1.554148022409124e+00
5, 1.464466094067262e-01, -3.535533905932737e-01, 5.214495937547326e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.080908695422210e+01, 4.323634781688841e+00, 2.888464363174284e+02, 0.000000000000000e+00, -8.408228963168181e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.792655903378277e-05, 2.775290480461763e-01, -2.775290480462521e-01, -1.591430134704803e-01, 1.554155849813714e+00
6, 8.535533905932737e-01, -3.535533905932738e-01, 5.195591052122298e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.076198521262508e+01, 4.304794085050029e+00, 2.886341856860876e+02, 0.000000000000000e+00, -1.459674056797392e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.791632825090664e-05, 3.750052927690987e-02, 3.750052927690668e-02, -1.672701222201524e-02, 5.705822817356350e-01
7, 8.535533905932737e-01, 3.535533905932737e-01, 5.195588257684640e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.076197596414640e+01, 4.304790385658560e+00, 2.886340928850661e+02, 0.000000000000000e+00, -1.459795568902168e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.791632377697382e-05, 3.750457523512809e-02, -3.750457523513821e-02, -1.672799810388618e-02, 5.706130502031644e-01
8, 2.400000000000000e+01, -1.000000000000000e+01, 5.258046234178662e-05, 1.789296462588734e-03, -3.902192147189892e-10, 1.090352692923582e+01, 4.349232933431050e+00, 2.881499925605461e+02, 9.999994272251429e-02, -1.290847427365804e-05, 3.402968294492818e+01, -7.421372832031474e-06, 1.789297590140537e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
9, 2.400000000000000e+01, 1.000000000000000e+01, 5.258046424313192e-05, 1.789297123512475e-03, 1.873964353351596e-10, 1.090352750107549e+01, 4.349233153610869e+00, 2.881499967284328e+02, 9.999997532084136e-02, -5.676335317781613e-06, 3.402969428415029e+01, 3.563993548414464e-06, 1.789297610250126e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
10, -2.400000000000000e+01, 1.000000000000000e+01, 5.258045730945296e-05, 1.789299800162391e-03, -6.797462194203136e-10, 1.090352558881069e+01, 4.349232350664816e+00, 2.881499815285539e+02, 1.000001407373791e-01, -3.205031214457444e-05, 3.402974967737127e+01, -1.292773502177411e-05, 1.789297536912401e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
