"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Pressure","Temperature","C<sub>p</sub>","Mach","<greek>m</greek>","C<sub>f</sub>_x","C<sub>f</sub>_y","h","y<sup>+</sup>"
0,2.500000000000000e+00,-2.000000000000000e+00,5.227569890731252e-05,1.736209974038055e-03,1.538297906973909e-04,1.081414287042556e+01,4.314033817475623e+00,2.874842407430371e+02,-1.156181078606218e+00,9.809446632077465e-02,1.786083626178746e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
1,2.500000000000000e+00,2.000000000000000e+00,5.227626687400995e-05,1.736612368798931e-03,-1.539660881905709e-04,1.081431484254444e+01,4.314097225720912e+00,2.874853427447953e+02,-1.154098338942559e+00,9.811644728200196e-02,1.786088949123443e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
2,-1.500000000000000e+00,2.000000000000000e+00,5.300424341929618e-05,1.707194157523814e-03,1.583192315135953e-04,1.102359042628492e+01,4.398344315670206e+00,2.890739319762897e+02,1.613124677367371e+00,9.490267652356062e-02,1.793752063359001e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
3,-1.500000000000000e+00,-2.000000000000000e+00,5.300581659403393e-05,1.707883608572481e-03,-1.576867543869942e-04,1.102409594526782e+01,4.398538722552453e+00,2.890781291614263e+02,1.619510265277952e+00,9.493394435132801e-02,1.793772283081110e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
4,1.464466094067263e-01,3.535533905932738e-01,5.195448781061499e-05,0.000000000000000e+00,0.000000000000000e+00,1.075829682882947e+01,4.303318731531785e+00,2.885431651945626e+02,-1.508134273231381e+00,0.000000000000000e+00,1.791193982484235e-05,3.013861041216216e-01,3.013861041215528e-01,-1.733680565895149e-01,1.617937115877506e+00,
5,1.464466094067262e-01,-3.535533905932737e-01,5.195454617131864e-05,0.000000000000000e+00,0.000000000000000e+00,1.075831439382179e+01,4.303325757528716e+00,2.885433121749061e+02,-1.507903493741769e+00,0.000000000000000e+00,1.791194691183132e-05,3.013902633038638e-01,-3.013902633039460e-01,-1.733669893668408e-01,1.617948548320899e+00,
6,8.535533905932737e-01,-3.535533905932738e-01,5.199821217026935e-05,0.000000000000000e+00,0.000000000000000e+00,1.077875035992381e+01,4.311500143969525e+00,2.888486475945884e+02,-1.239403414785550e+00,0.000000000000000e+00,1.792666560145366e-05,7.639578092058362e-02,7.639578092057708e-02,-3.657292155509648e-02,8.142551033105617e-01,
7,8.535533905932737e-01,3.535533905932737e-01,5.199827826403978e-05,0.000000000000000e+00,0.000000000000000e+00,1.077876903256440e+01,4.311507613025759e+00,2.888487808342254e+02,-1.239158082343407e+00,0.000000000000000e+00,1.792667202263428e-05,7.639984626134046e-02,-7.639984626136108e-02,-3.657783959999977e-02,8.142769938287836e-01,
8,2.400000000000000e+01,-1.000000000000000e+01,5.258046551079733e-05,1.789297556144512e-03,-2.135201663995772e-11,1.090352788173883e+01,4.349233300280866e+00,2.881499994987440e+02,-8.587375312756381e-07,9.999999660810467e-02,1.789297623616569e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
9,2.400000000000000e+01,1.000000000000000e+01,5.258046581862650e-05,1.789297663272782e-03,-1.330107399553392e-11,1.090352797431862e+01,4.349233335925856e+00,2.881500001733767e+02,3.120760481504087e-07,1.000000018927667e-01,1.789297626871597e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
