"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Pressure","Temperature","Pressure_Coefficient","Mach"
0,9.997500181200000e-01,-3.632896519016437e-05,1.186903872949609e+00,7.475523350413275e-01,1.005056829993327e-01,3.415596041390886e+00,1.270369509409388e+00,1.070322153598131e+00,6.035033692173841e-01,5.191523711074597e-01,
1,9.990000128750000e-01,-1.452537504052920e-04,1.162738461867258e+00,7.721274179671732e-01,1.098443654523932e-01,3.353701575807171e+00,1.236857526478604e+00,1.063745259180914e+00,5.286998358897405e-01,5.496357164078745e-01,
2,9.977599978450000e-01,-3.251111630156300e-04,1.147865374915582e+00,7.948761051570690e-01,1.139997884173085e-01,3.317279383266032e+00,1.214559906408638e+00,1.058103095494070e+00,4.789283625192804e-01,5.747799655343604e-01,
3,9.960200190539999e-01,-5.769983605901485e-04,1.135662595719289e+00,8.125056143329968e-01,1.165807202468973e-01,3.287368814350547e+00,1.196293192984072e+00,1.053387861406479e+00,4.381544486251615e-01,5.951740251371231e-01,
4,9.937800168990000e-01,-9.004365425509819e-04,1.125261099602244e+00,8.260123416004317e-01,1.186867474269597e-01,3.261692128164007e+00,1.180904167265920e+00,1.049449028037444e+00,4.038039447899999e-01,6.118233689277139e-01,
5,9.910500049590000e-01,-1.293363843462116e-03,1.116258047607317e+00,8.373032604801276e-01,1.200598565066677e-01,3.239461639579513e+00,1.167590082777895e+00,1.045985814194673e+00,3.740850062006592e-01,6.261964564843630e-01,
6,9.878399968150000e-01,-1.753609743384430e-03,1.108016063846340e+00,8.466972352656669e-01,1.209680500055728e-01,3.218967863270566e+00,1.155544027667989e+00,1.042894652318182e+00,3.471964903303329e-01,6.388304674769464e-01,
7,9.841300249100000e-01,-2.283176811071472e-03,1.100490140012857e+00,8.550375471837840e-01,1.216209906364048e-01,3.200252435215932e+00,1.144546670537823e+00,1.040033553162459e+00,3.226488181647837e-01,6.503705781557650e-01,
8,9.799500107769999e-01,-2.876826092032643e-03,1.093469547078161e+00,8.624247211152387e-01,1.220556235806433e-01,3.182747094980703e+00,1.134334301409512e+00,1.037371643719339e+00,2.998533513605178e-01,6.609820970945879e-01,
9,9.752799868580000e-01,-3.536324145770189e-03,1.086873642425618e+00,8.691211172034863e-01,1.222942157507497e-01,3.166279592491650e+00,1.124760788575620e+00,1.034858832408015e+00,2.784839030705806e-01,6.708942047359900e-01,
10,9.701499938960000e-01,-4.256268552403566e-03,1.080619420499819e+00,8.752339441581275e-01,1.223665009458476e-01,3.150640399698362e+00,1.115707949335602e+00,1.032470755355807e+00,2.582766726241124e-01,6.802242029567812e-01,
11,9.645400047300000e-01,-5.038225493362627e-03,1.074648283398629e+00,8.808659894505654e-01,1.222958401490371e-01,3.135687707862068e+00,1.107086244506890e+00,1.030184723327036e+00,2.390317957743077e-01,6.890769079600386e-01,
12,9.584699869160000e-01,-5.878077433056352e-03,1.068920747066441e+00,8.860978968589572e-01,1.220920565137816e-01,3.121328003757168e+00,1.098833301957485e+00,1.027983884654814e+00,2.206100490122437e-01,6.975300647424094e-01,
13,9.519400000570000e-01,-6.774428848839826e-03,1.063400365151779e+00,8.909707661675194e-01,1.217678909391113e-01,3.107468069716278e+00,1.090898447041777e+00,1.025858634989347e+00,2.028983192896800e-01,7.056306096576629e-01,
