"PointID","x","y","Adjoint_Density","Adjoint_X-Momentum","Adjoint_Y-Momentum","Adjoint_Energy","Surface_Sensitivity","Limiter_Adjoint_Density"
2016,1.600000000000001e-01,4.693877551020407e-01,-2.133157841488648e+03,6.127799659231441e+00,4.280865487887048e-02,-3.927252373420421e-03,0.000000000000000e+00,0.000000000000000e+00,
2017,1.400000000000001e-01,4.693877551020407e-01,-2.165738608627683e+03,6.195504385662055e+00,8.778044281672071e-02,-3.987229298420433e-03,0.000000000000000e+00,0.000000000000000e+00,
2018,1.200000000000001e-01,4.693877551020407e-01,-2.204788396936876e+03,6.276652113781790e+00,1.415134142828458e-01,-4.059114844026413e-03,0.000000000000000e+00,0.000000000000000e+00,
2019,1.000000000000000e-01,4.693877551020407e-01,-2.248444951367616e+03,6.367372969489002e+00,2.015452484313394e-01,-4.139480842750248e-03,0.000000000000000e+00,0.000000000000000e+00,
2020,8.000000000000004e-02,4.693877551020407e-01,-2.294260306200148e+03,6.462579937793496e+00,2.645832905698675e-01,-4.223820910197991e-03,0.000000000000000e+00,0.000000000000000e+00,
2021,6.000000000000003e-02,4.693877551020407e-01,-2.339569253671203e+03,6.556734562206306e+00,3.270064284270119e-01,-4.307228748072273e-03,0.000000000000000e+00,0.000000000000000e+00,
2022,4.000000000000001e-02,4.693877551020407e-01,-2.382005050959758e+03,6.644918613652757e+00,3.855722480088565e-01,-4.385347492739083e-03,0.000000000000000e+00,0.000000000000000e+00,
2023,2.000000000000002e-02,4.693877551020409e-01,-2.419868590949499e+03,6.723601248882994e+00,4.379297033067193e-01,-4.455049310606704e-03,0.000000000000000e+00,0.000000000000000e+00,
2024,0.000000000000000e+00,4.693877551020409e-01,-2.452983365718445e+03,6.792415674169348e+00,4.837872249708896e-01,-4.516009273668613e-03,0.000000000000000e+00,0.000000000000000e+00,
2025,1.500000000000000e+00,5.461393567169066e-01,-1.420018707799117e+03,4.531680531883444e+00,7.988379501674945e-01,-2.614137764273607e-03,0.000000000000000e+00,0.000000000000000e+00,
2026,1.479591836734694e+00,5.441565043724107e-01,-1.420299905678733e+03,4.532331573078590e+00,7.986920222926180e-01,-2.614643244280569e-03,0.000000000000000e+00,0.000000000000000e+00,
2027,1.459183673469388e+00,5.421736520279173e-01,-1.419913037359474e+03,4.531383487988128e+00,7.992019321586222e-01,-2.613921592353454e-03,0.000000000000000e+00,0.000000000000000e+00,
2028,1.438775510204082e+00,5.401907996834241e-01,-1.419185731531943e+03,4.529625228101489e+00,8.000201221778701e-01,-2.612574798572377e-03,0.000000000000000e+00,0.000000000000000e+00,
2029,1.418367346938775e+00,5.382079473389308e-01,-1.420010944864403e+03,4.531579505513506e+00,7.993435388478847e-01,-2.614083181183723e-03,0.000000000000000e+00,0.000000000000000e+00,
2030,1.397959183673469e+00,5.362250949944376e-01,-1.423209648961799e+03,4.539206005466959e+00,7.964003283608023e-01,-2.619956963847254e-03,0.000000000000000e+00,0.000000000000000e+00,
2031,1.377551020408163e+00,5.342422426499441e-01,-1.425260226508072e+03,4.544089509686601e+00,7.945510280803031e-01,-2.623720023571056e-03,0.000000000000000e+00,0.000000000000000e+00,
2032,1.357142857142857e+00,5.322593903054510e-01,-1.419980918423159e+03,4.531451867626350e+00,7.997194702123462e-01,-2.614000596142380e-03,0.000000000000000e+00,0.000000000000000e+00,
2033,1.336734693877551e+00,5.302765379609578e-01,-1.405860294158246e+03,4.497664147421804e+00,8.134082678023856e-01,-2.588014479239132e-03,0.000000000000000e+00,0.000000000000000e+00,
2034,1.316326530612245e+00,5.282936856164645e-01,-1.392125187738207e+03,4.464775260907753e+00,8.268429935936937e-01,-2.562734879839420e-03,0.000000000000000e+00,0.000000000000000e+00,
2035,1.295918367346939e+00,5.263108332719713e-01,-1.396034879749796e+03,4.474071723124604e+00,8.234501602396006e-01,-2.569921021531030e-03,0.000000000000000e+00,0.000000000000000e+00,
2036,1.275510204081632e+00,5.243279809274780e-01,-1.431894272656609e+03,4.559738899215411e+00,7.892379570776549e-01,-2.635899820204745e-03,0.000000000000000e+00,0.000000000000000e+00,
2037,1.255102040816327e+00,5.223451285829847e-01,-1.500508552501859e+03,4.723600031158988e+00,7.230032919717695e-01,-2.762165194482941e-03,0.000000000000000e+00,0.000000000000000e+00,
2038,1.234693877551021e+00,5.203622762384914e-01,-1.587515876991518e+03,4.931421940014273e+00,6.385882246481247e-01,-2.922319425612806e-03,0.000000000000000e+00,0.000000000000000e+00,
2039,1.214285714285714e+00,5.183794238939982e-01,-1.671046932780486e+03,5.131440928267090e+00,5.579265504038377e-01,-3.076127248852765e-03,0.000000000000000e+00,0.000000000000000e+00,
2040,1.193877551020408e+00,5.163965715495049e-01,-1.732743468196432e+03,5.279949089245865e+00,4.992756783464474e-01,-3.189749542409987e-03,0.000000000000000e+00,0.000000000000000e+00,
2041,1.173469387755102e+00,5.144137192050117e-01,-1.766234344631052e+03,5.360905775967275e+00,4.678788248422572e-01,-3.251458956951778e-03,0.000000000000000e+00,0.000000000000000e+00,
2042,1.153061224489796e+00,5.124308668605183e-01,-1.778341691510945e+03,5.390156252854991e+00,4.563518684952798e-01,-3.273874662998319e-03,0.000000000000000e+00,0.000000000000000e+00,
2043,1.132653061224489e+00,5.104480145160251e-01,-1.780397020574561e+03,5.395330973635154e+00,4.540414049518992e-01,-3.277838850811866e-03,0.000000000000000e+00,0.000000000000000e+00,
2044,1.112244897959183e+00,5.084651621715318e-01,-1.779339834232105e+03,5.393309083196095e+00,4.544320346243134e-01,-3.276099719887368e-03,0.000000000000000e+00,0.000000000000000e+00,
2045,1.091836734693877e+00,5.064823098270386e-01,-1.777853029551142e+03,5.390295516810064e+00,4.548181549394325e-01,-3.273566219733397e-03,0.000000000000000e+00,0.000000000000000e+00,
2046,1.071428571428571e+00,5.044994574825453e-01,-1.777684134868381e+03,5.389913524892824e+00,4.532461706553421e-01,-3.273375243197975e-03,0.000000000000000e+00,0.000000000000000e+00,
2047,1.051020408163265e+00,5.025166051380520e-01,-1.781428045815661e+03,5.397525518644187e+00,4.466019940934993e-01,-3.280237968270106e-03,0.000000000000000e+00,0.000000000000000e+00,
2048,1.030612244897959e+00,5.005337527935587e-01,-1.792023408828858e+03,5.419355613765905e+00,4.312096655802644e-01,-3.299594111621497e-03,0.000000000000000e+00,0.000000000000000e+00,
2049,1.010204081632653e+00,4.985509004490655e-01,-1.811302540373379e+03,5.459317367523878e+00,4.046653613332850e-01,-3.334879215484521e-03,0.000000000000000e+00,0.000000000000000e+00,
2050,9.897959183673468e-01,4.965680481045722e-01,-1.839346273956085e+03,5.517561676527968e+00,3.666777849487441e-01,-3.386285518130556e-03,0.000000000000000e+00,0.000000000000000e+00,
2051,9.693877551020409e-01,4.945851957600790e-01,-1.874796509781604e+03,5.591202332450545e+00,3.187499042523896e-01,-3.451343910918806e-03,0.000000000000000e+00,0.000000000000000e+00,
2052,9.489795918367345e-01,4.926023434155856e-01,-1.915358678088839e+03,5.675445280512976e+00,2.636485463795755e-01,-3.525862515035283e-03,0.000000000000000e+00,0.000000000000000e+00,
2053,9.285714285714284e-01,4.906194910710924e-01,-1.958176274940850e+03,5.764371530997890e+00,2.050200529781083e-01,-3.604612563453473e-03,0.000000000000000e+00,0.000000000000000e+00,
2054,9.081632653061225e-01,4.886366387265990e-01,-2.000190386423164e+03,5.851649544713560e+00,1.469723952453625e-01,-3.681977994189742e-03,0.000000000000000e+00,0.000000000000000e+00,
2055,8.877551020408162e-01,4.866537863821059e-01,-2.038567201634985e+03,5.931400388611849e+00,9.349892961410051e-02,-3.752735440879187e-03,0.000000000000000e+00,0.000000000000000e+00,
2056,8.673469387755104e-01,4.846709340376125e-01,-2.071110153651139e+03,5.999053022919115e+00,4.785927305057257e-02,-3.812815462639806e-03,0.000000000000000e+00,0.000000000000000e+00,
2057,8.469387755102041e-01,4.826880816931194e-01,-2.096527816502360e+03,6.051909539851952e+00,1.211640620686345e-02,-3.859804273311831e-03,0.000000000000000e+00,0.000000000000000e+00,
2058,8.265306122448980e-01,4.807052293486260e-01,-2.114496772194379e+03,6.089283313003710e+00,-1.304888781456745e-02,-3.893069293658043e-03,0.000000000000000e+00,0.000000000000000e+00,
2059,8.061224489795918e-01,4.787223770041327e-01,-2.125540860493345e+03,6.112251846552065e+00,-2.823990576220132e-02,-3.913544900986657e-03,0.000000000000000e+00,0.000000000000000e+00,
2060,7.857142857142857e-01,4.767395246596395e-01,-2.130792560487710e+03,6.123162206170329e+00,-3.503399761185343e-02,-3.923298040353236e-03,0.000000000000000e+00,0.000000000000000e+00,
2061,7.653061224489796e-01,4.747566723151462e-01,-2.131709381870134e+03,6.125041732478165e+00,-3.556443344682093e-02,-3.925007519455241e-03,0.000000000000000e+00,0.000000000000000e+00,
2062,7.448979591836735e-01,4.727738199706530e-01,-2.129805551276907e+03,6.121039748138725e+00,-3.209725646661676e-02,-3.921468378203247e-03,0.000000000000000e+00,0.000000000000000e+00,
2063,7.244897959183674e-01,4.707909676261597e-01,-2.126439683707298e+03,6.113985007140014e+00,-2.668438689922453e-02,-3.915197225405202e-03,0.000000000000000e+00,0.000000000000000e+00,
2064,7.040816326530615e-01,4.688081152816664e-01,-2.122678840610564e+03,6.106101601420612e+00,-2.093987950034361e-02,-3.908177364164673e-03,0.000000000000000e+00,0.000000000000000e+00,
2065,6.836734693877551e-01,4.668252629371732e-01,-2.119241906800066e+03,6.098889806213546e+00,-1.594859359404282e-02,-3.901750282102103e-03,0.000000000000000e+00,0.000000000000000e+00,
2066,6.632653061224492e-01,4.648424105926798e-01,-2.116512510134809e+03,6.093151843371574e+00,-1.228510335966332e-02,-3.896636330460619e-03,0.000000000000000e+00,0.000000000000000e+00,
2067,6.428571428571428e-01,4.628595582481866e-01,-2.114603819584197e+03,6.089125982516022e+00,-1.010258613978672e-02,-3.893052429319957e-03,0.000000000000000e+00,0.000000000000000e+00,
2068,6.224489795918366e-01,4.608767059036934e-01,-2.113453377582840e+03,6.086683562505483e+00,-9.249050832694904e-03,-3.890886519156169e-03,0.000000000000000e+00,0.000000000000000e+00,
2069,6.020408163265307e-01,4.588938535592000e-01,-2.112924026279921e+03,6.085539062905201e+00,-9.379533311766587e-03,-3.889884343421774e-03,0.000000000000000e+00,0.000000000000000e+00,
2070,5.816326530612246e-01,4.569110012147068e-01,-2.112886708857257e+03,6.085422719776756e+00,-1.005216156852065e-02,-3.889803459637701e-03,0.000000000000000e+00,0.000000000000000e+00,
2071,5.612244897959183e-01,4.549281488702136e-01,-2.113267103676459e+03,6.086178074820038e+00,-1.080780581917876e-02,-3.890500962834685e-03,0.000000000000000e+00,0.000000000000000e+00,
2072,5.408163265306122e-01,4.529452965257204e-01,-2.114029788095544e+03,6.087729505454941e+00,-1.127029693688051e-02,-3.891905478255491e-03,0.000000000000000e+00,0.000000000000000e+00,
2073,5.204081632653060e-01,4.509624441812271e-01,-2.115155333748196e+03,6.090035393147856e+00,-1.118295997567335e-02,-3.893977780468090e-03,0.000000000000000e+00,0.000000000000000e+00,
2074,5.000000000000000e-01,4.489795918367338e-01,-2.116452975983459e+03,6.092697751120471e+00,-1.068936464191654e-02,-3.896360151193426e-03,0.000000000000000e+00,0.000000000000000e+00,
2075,4.800000000000001e-01,4.489795918367338e-01,-2.117629492067950e+03,6.095142996800758e+00,-1.028335324384573e-02,-3.898527873743105e-03,0.000000000000000e+00,0.000000000000000e+00,
2076,4.600000000000001e-01,4.489795918367338e-01,-2.118394622765930e+03,6.096733071833079e+00,-1.005607336235339e-02,-3.899936830225948e-03,0.000000000000000e+00,0.000000000000000e+00,
2077,4.400000000000000e-01,4.489795918367339e-01,-2.118376992851033e+03,6.096696456832671e+00,-1.048079109531680e-02,-3.899904482278810e-03,0.000000000000000e+00,0.000000000000000e+00,
2078,4.200000000000000e-01,4.489795918367340e-01,-2.117179084146746e+03,6.094207137948348e+00,-1.204258776816900e-02,-3.897699314443348e-03,0.000000000000000e+00,0.000000000000000e+00,
2079,4.000000000000000e-01,4.489795918367340e-01,-2.114467490944237e+03,6.088572290935484e+00,-1.511528661360613e-02,-3.892707632395332e-03,0.000000000000000e+00,0.000000000000000e+00,
2080,3.799999999999999e-01,4.489795918367341e-01,-2.110089355552234e+03,6.079474271600335e+00,-1.982864519955374e-02,-3.884648060023872e-03,0.000000000000000e+00,0.000000000000000e+00,
2081,3.599999999999999e-01,4.489795918367341e-01,-2.104186730898460e+03,6.067208274793818e+00,-2.594676419144929e-02,-3.873782101434564e-03,0.000000000000000e+00,0.000000000000000e+00,
2082,3.400000000000001e-01,4.489795918367341e-01,-2.097278857886036e+03,6.052853313489903e+00,-3.278335613662995e-02,-3.861065612106428e-03,0.000000000000000e+00,0.000000000000000e+00,
2083,3.200000000000001e-01,4.489795918367341e-01,-2.090288279048779e+03,6.038326484644958e+00,-3.917694669510512e-02,-3.848196872065382e-03,0.000000000000000e+00,0.000000000000000e+00,
2084,3.000000000000000e-01,4.489795918367341e-01,-2.084498948011260e+03,6.026295918509859e+00,-4.353935968707900e-02,-3.837539471919034e-03,0.000000000000000e+00,0.000000000000000e+00,
2085,2.800000000000000e-01,4.489795918367342e-01,-2.081448867365576e+03,6.019957673775349e+00,-4.397754682130023e-02,-3.831924672933426e-03,0.000000000000000e+00,0.000000000000000e+00,
2086,2.600000000000000e-01,4.489795918367343e-01,-2.082771099602452e+03,6.022705349159227e+00,-3.847750152131815e-02,-3.834358729299028e-03,0.000000000000000e+00,0.000000000000000e+00,
2087,2.400000000000000e-01,4.489795918367343e-01,-2.090001830046836e+03,6.037731226989435e+00,-2.513363728531313e-02,-3.847669556995361e-03,0.000000000000000e+00,0.000000000000000e+00,
2088,2.200000000000000e-01,4.489795918367343e-01,-2.104373320664639e+03,6.067596019188206e+00,-2.406744525640013e-03,-3.874125588865613e-03,0.000000000000000e+00,0.000000000000000e+00,
2089,2.000000000000000e-01,4.489795918367344e-01,-2.126608241332437e+03,6.113801475757077e+00,3.060766351480616e-02,-3.915057165571374e-03,0.000000000000000e+00,0.000000000000000e+00,
2090,1.800000000000000e-01,4.489795918367344e-01,-2.156736324998674e+03,6.176409383454474e+00,7.392855870391316e-02,-3.970519021474746e-03,0.000000000000000e+00,0.000000000000000e+00,
2091,1.600000000000001e-01,4.489795918367344e-01,-2.193966732898488e+03,6.253776333438231e+00,1.265041729181145e-01,-4.039055326116406e-03,0.000000000000000e+00,0.000000000000000e+00,
2092,1.400000000000001e-01,4.489795918367345e-01,-2.236664114577403e+03,6.342503972433498e+00,1.861621436800826e-01,-4.117655613363348e-03,0.000000000000000e+00,0.000000000000000e+00,
2093,1.200000000000001e-01,4.489795918367346e-01,-2.282479068737332e+03,6.437710108139634e+00,2.497690410163240e-01,-4.201994943290265e-03,0.000000000000000e+00,0.000000000000000e+00,
2094,1.000000000000000e-01,4.489795918367346e-01,-2.328663745572943e+03,6.533684549015199e+00,3.136454453300107e-01,-4.287014884168055e-03,0.000000000000000e+00,0.000000000000000e+00,
2095,8.000000000000004e-02,4.489795918367346e-01,-2.372544216562961e+03,6.624870716336059e+00,3.742006035891791e-01,-4.367793083944689e-03,0.000000000000000e+00,0.000000000000000e+00,
2096,6.000000000000003e-02,4.489795918367346e-01,-2.412073628793407e+03,6.707015130825600e+00,4.286841811403911e-01,-4.440561554383417e-03,0.000000000000000e+00,0.000000000000000e+00,
2097,4.000000000000001e-02,4.489795918367346e-01,-2.446281122383599e+03,6.778100289295215e+00,4.758016911705722e-01,-4.503533069694627e-03,0.000000000000000e+00,0.000000000000000e+00,
