"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Pressure","Temperature","Pressure_Coefficient","Mach"
0,1.500000000000000e+00,1.000000000000000e+00,1.161245722025715e+00,8.075570346833789e+02,-2.425433968168141e-02,5.308090049303115e+05,1.000048476403960e+05,3.000041557513699e+02,1.731300141436805e-05,2.002795455164331e+00,
1,1.479591836734694e+00,1.000000000000000e+00,1.161352483892910e+00,8.076127828794724e+02,1.415942219507337e-03,5.308541370033437e+05,1.000177193694355e+05,3.000151869969821e+02,6.328346226956846e-05,2.002712766161511e+00,
2,1.459183673469388e+00,1.000000000000000e+00,1.161285196624069e+00,8.075776764162985e+02,1.053099716007306e-02,5.308257118079154e+05,1.000096066584179e+05,3.000082340349906e+02,3.430949434961285e-05,2.002764953377474e+00,
3,1.438775510204082e+00,1.000000000000000e+00,1.161207423287955e+00,8.075370801687706e+02,4.788416925044477e-03,5.307928442297415e+05,1.000002298264667e+05,3.000001970163023e+02,8.208088097619893e-07,2.002825234263216e+00,
4,1.418367346938776e+00,1.000000000000000e+00,1.161189240045590e+00,8.075275854000103e+02,4.432937734858196e-04,5.307851575450172e+05,9.999803756868991e+04,2.999983179003849e+02,-7.008683250335579e-06,2.002839320434706e+00,
5,1.397959183673469e+00,1.000000000000000e+00,1.161193481716162e+00,8.075297974947414e+02,-9.538657975965474e-04,5.307869487018300e+05,9.999854896261997e+04,2.999987562479386e+02,-5.182276357248027e-06,2.002836027560573e+00,
6,1.377551020408163e+00,1.000000000000000e+00,1.161202066156975e+00,8.075342780015520e+02,-7.860462349393302e-04,5.307905762007835e+05,9.999958393725574e+04,2.999996433745074e+02,-1.485938372362788e-06,2.002829372348063e+00,
7,1.357142857142857e+00,1.000000000000000e+00,1.161206573102332e+00,8.075366308565838e+02,-2.418141574253197e-04,5.307924810578161e+05,1.000001273139254e+05,3.000001091262288e+02,4.546925908341240e-07,2.002825879622279e+00,
8,1.336734693877551e+00,1.000000000000000e+00,1.161207100779648e+00,8.075369065992726e+02,4.557028122059691e-05,5.307927042669001e+05,1.000001909329977e+05,3.000001636567262e+02,6.819035632880905e-07,2.002825471357948e+00,
9,1.316326530612245e+00,1.000000000000000e+00,1.161206319830874e+00,8.075364990833061e+02,9.439931405439440e-05,5.307923743237322e+05,1.000000967783808e+05,3.000000829528751e+02,3.456370741852360e-07,2.002826077007773e+00,
10,1.295918367346939e+00,1.000000000000000e+00,1.161205641390285e+00,8.075361449523081e+02,5.143835901927311e-05,5.307920876155632e+05,1.000000149826100e+05,3.000000128422375e+02,5.350932156683745e-08,2.002826602897110e+00,
11,1.275510204081633e+00,1.000000000000000e+00,1.161205393866094e+00,8.075360157172296e+02,9.903354518127599e-06,5.307919829892624e+05,9.999998514001357e+04,2.999999872628676e+02,-5.307138011890598e-08,2.002826794682566e+00,
12,1.255102040816326e+00,1.000000000000000e+00,1.161205402236009e+00,8.075360200638012e+02,-6.487698859617614e-06,5.307919865108421e+05,9.999998614912695e+04,2.999999881278217e+02,-4.946740373270587e-08,2.002826788139263e+00,
13,1.234693877551021e+00,1.000000000000000e+00,1.161205470608208e+00,8.075360557457127e+02,-6.845530098264088e-06,5.307920154000703e+05,9.999999439237721e+04,2.999999951934656e+02,-2.002722425718925e-08,2.002826735123870e+00,
14,1.214285714285714e+00,1.000000000000000e+00,1.161205514371362e+00,8.075360785901343e+02,-2.935198072387756e-06,5.307920338950336e+05,9.999999966865387e+04,2.999999997159887e+02,-1.183379052755689e-09,2.002826701203621e+00,
15,1.193877551020408e+00,1.000000000000000e+00,1.161205526554817e+00,8.075360849520397e+02,-2.586277672288248e-07,5.307920390454227e+05,1.000000011375442e+05,3.000000009750374e+02,4.062658003281936e-09,2.002826691765660e+00,
16,1.173469387755102e+00,1.000000000000000e+00,1.161205523961889e+00,8.075360835999693e+02,5.397293955055384e-07,5.307920379506150e+05,1.000000008249296e+05,3.000000007070823e+02,2.946177223098598e-09,2.002826693778978e+00,
17,1.153061224489796e+00,1.000000000000000e+00,1.161205519342748e+00,8.075360811892218e+02,4.102861142347640e-07,5.307920359988102e+05,1.000000002680260e+05,3.000000002297365e+02,9.572356897738897e-10,2.002826697360328e+00,
18,1.132653061224490e+00,1.000000000000000e+00,1.161205516968328e+00,8.075360799497272e+02,1.351192453269489e-07,5.307920349953143e+05,9.999999998175577e+04,2.999999999843624e+02,-6.515796745329033e-11,2.002826699200597e+00,
19,1.112244897959184e+00,1.000000000000000e+00,1.161205516526351e+00,8.075360797188802e+02,-9.641684365978485e-09,5.307920348084344e+05,9.999999992846898e+04,2.999999999386877e+02,-2.554679148098720e-10,2.002826699542836e+00,
20,1.091836734693878e+00,1.000000000000000e+00,1.161205516790301e+00,8.075360798565855e+02,-3.632793756295135e-08,5.307920349199303e+05,9.999999996029197e+04,2.999999999659647e+02,-1.418143905799038e-10,2.002826699338061e+00,
21,1.071428571428571e+00,1.000000000000000e+00,1.161205517050712e+00,8.075360799925026e+02,-1.960585445853041e-08,5.307920350299709e+05,9.999999999168803e+04,2.999999999928751e+02,-2.968559523911349e-11,2.002826699136178e+00,
22,1.051020408163265e+00,1.000000000000000e+00,1.161205517148773e+00,8.075360800436960e+02,-3.575101573058301e-09,5.307920350714166e+05,1.000000000035106e+05,3.000000000030086e+02,1.253777424738344e-11,2.002826699060187e+00,
23,1.030612244897959e+00,1.000000000000000e+00,1.161205517150124e+00,8.075360800444085e+02,2.116799122907784e-09,5.307920350719930e+05,1.000000000036736e+05,3.000000000031486e+02,1.312011071214719e-11,2.002826699059156e+00,
24,1.010204081632653e+00,1.000000000000000e+00,1.161205517130365e+00,8.075360800340974e+02,1.890743566725919e-09,5.307920350636446e+05,1.000000000012914e+05,3.000000000011067e+02,4.612125589379243e-12,2.002826699074479e+00,
25,9.897959183673468e-01,1.000000000000000e+00,1.161205517119312e+00,8.075360800283280e+02,5.673989228980982e-10,5.307920350589738e+05,9.999999999995879e+04,2.999999999999645e+02,-1.471822283097676e-13,2.002826699083047e+00,
