"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Grid_Velocity_x","Grid_Velocity_y"
0, 2.025000000000000e+01, 0.000000000000000e+00, 1.224657562526830e+00, 3.316922539230058e+02, 3.000572791784458e-01, 2.981685996472287e+05, 0.000000000000000e+00, 0.000000000000000e+00
1, 2.018168986013340e+01, 1.651586909446646e+00, 1.225524993531468e+00, 3.326070272396931e+02, 3.739843649133781e-01, 2.986193670988468e+05, 0.000000000000000e+00, 0.000000000000000e+00
2, 1.997722606805445e+01, 3.291891805614678e+00, 1.225863971732912e+00, 3.326979324908020e+02, 4.722045741306167e-01, 2.987126888797731e+05, 0.000000000000000e+00, 0.000000000000000e+00
3, 1.963800531878661e+01, 4.909709742815982e+00, 1.225515201256654e+00, 3.321501063577119e+02, 3.363576442307925e-01, 2.984793222069581e+05, 0.000000000000000e+00, 0.000000000000000e+00
4, 1.916634483401269e+01, 6.493989384093669e+00, 1.225041373981134e+00, 3.317455584180959e+02, 1.188395698954965e-01, 2.982533933592420e+05, 0.000000000000000e+00, 0.000000000000000e+00
5, 1.856546653310115e+01, 8.033908493059389e+00, 1.224786805235769e+00, 3.316360706760424e+02, 4.882946989994234e-03, 2.981585582825206e+05, 0.000000000000000e+00, 0.000000000000000e+00
6, 1.783947502412978e+01, 9.518947860741470e+00, 1.224655283868765e+00, 3.315848376445118e+02, -6.033171499890450e-02, 2.981118392576503e+05, 0.000000000000000e+00, 0.000000000000000e+00
7, 1.699332956525057e+01, 1.093896316244854e+01, 1.224519527658074e+00, 3.315293329496564e+02, -1.413275797492725e-01, 2.980621034963498e+05, 0.000000000000000e+00, 0.000000000000000e+00
8, 1.603281018792787e+01, 1.228425425379336e+01, 1.224377552057840e+00, 3.314934607948651e+02, -2.306801479340748e-01, 2.980145307041443e+05, 0.000000000000000e+00, 0.000000000000000e+00
9, 1.496447821346263e+01, 1.354563143251482e+01, 1.224234308169252e+00, 3.314812859874672e+02, -3.159754679085403e-01, 2.979746897872121e+05, 0.000000000000000e+00, 0.000000000000000e+00
10, 1.379563143251482e+01, 1.471447821346263e+01, 1.224138651791230e+00, 3.315125442340228e+02, -3.851957544513195e-01, 2.979566999552539e+05, 0.000000000000000e+00, 0.000000000000000e+00
11, 1.253425425379335e+01, 1.578281018792787e+01, 1.224133462756419e+00, 3.315895286055722e+02, -4.074631210630739e-01, 2.979702528138135e+05, 0.000000000000000e+00, 0.000000000000000e+00
12, 1.118896316244854e+01, 1.674332956525057e+01, 1.224308607615823e+00, 3.317191742401272e+02, -3.033724908863109e-01, 2.980441015007907e+05, 0.000000000000000e+00, 0.000000000000000e+00
13, 9.768947860741472e+00, 1.758947502412978e+01, 1.224791568585665e+00, 3.318692578726273e+02, 4.926107815649657e-03, 2.982156191078598e+05, 0.000000000000000e+00, 0.000000000000000e+00
14, 8.283908493059387e+00, 1.831546653310115e+01, 1.225476679351292e+00, 3.319645846377991e+02, 3.813901114925967e-01, 2.984351470754998e+05, 0.000000000000000e+00, 0.000000000000000e+00
15, 6.743989384093672e+00, 1.891634483401269e+01, 1.225945575105592e+00, 3.319748973539967e+02, 5.146962197580845e-01, 2.985615863722943e+05, 0.000000000000000e+00, 0.000000000000000e+00
16, 5.159709742815985e+00, 1.938800531878661e+01, 1.225761412654973e+00, 3.319165667594576e+02, 3.046754450677278e-01, 2.984873446211109e+05, 0.000000000000000e+00, 0.000000000000000e+00
17, 3.541891805614680e+00, 1.972722606805445e+01, 1.225140099868100e+00, 3.318809756960432e+02, -3.062547865316024e-02, 2.983029169056375e+05, 0.000000000000000e+00, 0.000000000000000e+00
